Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
82.1887,0.0003,82.1888,,,,12 578.950,-,134 250.1,4p65p,2P°,1/2,4p<sup>5</sup>5s5p,4S,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6831&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=6831&amp;type=
82.3496,0.0003,82.3496,,,,12 816.545,-,134 250.1,4p65p,2P°,3/2,4p<sup>5</sup>5s5p,4S,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6831&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=6831&amp;type=
85.1419,0.0003,85.1421,,,,19 355.649,-,136 806.4,4p64d,2D,3/2,4p<sup>5</sup>5s4d,4P°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6831&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=6831&amp;type=
85.1419,0.0003,85.1417,,,,19 355.203,-,136 806.4,4p64d,2D,5/2,4p<sup>5</sup>5s4d,4P°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6831&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=6831&amp;type=
90.53,0.03,90.4691,,,,23 715.081,-,134 250.1,4p66p,2P°,1/2,4p<sup>5</sup>5s5p,4S,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11806&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=11806&amp;type=
296.9045,0.0005,296.9042,,,,0.000,-,33 671.07,4p65s,2S,1/2,4p<sup>6</sup>77p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9045,0.0005,296.9042,,,,0.000,-,33 671.07,4p65s,2S,1/2,4p<sup>6</sup>77p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9085,0.0005,296.9082,,,,0.000,-,33 670.61,4p65s,2S,1/2,4p<sup>6</sup>76p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9085,0.0005,296.9082,,,,0.000,-,33 670.61,4p65s,2S,1/2,4p<sup>6</sup>76p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9138,0.0005,296.9135,,,,0.000,-,33 670.01,4p65s,2S,1/2,4p<sup>6</sup>75p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9138,0.0005,296.9135,,,,0.000,-,33 670.01,4p65s,2S,1/2,4p<sup>6</sup>75p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9195,0.0005,296.9192,,,,0.000,-,33 669.36,4p65s,2S,1/2,4p<sup>6</sup>74p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9195,0.0005,296.9192,,,,0.000,-,33 669.36,4p65s,2S,1/2,4p<sup>6</sup>74p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9245,0.0005,296.9243,,,,0.000,-,33 668.79,4p65s,2S,1/2,4p<sup>6</sup>73p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9245,0.0005,296.9243,,,,0.000,-,33 668.79,4p65s,2S,1/2,4p<sup>6</sup>73p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9305,0.0005,296.9303,,,,0.000,-,33 668.11,4p65s,2S,1/2,4p<sup>6</sup>72p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9305,0.0005,296.9303,,,,0.000,-,33 668.11,4p65s,2S,1/2,4p<sup>6</sup>72p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9359,0.0005,296.9357,,,,0.000,-,33 667.49,4p65s,2S,1/2,4p<sup>6</sup>71p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9359,0.0005,296.9357,,,,0.000,-,33 667.49,4p65s,2S,1/2,4p<sup>6</sup>71p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9422,0.0005,296.9420,,,,0.000,-,33 666.78,4p65s,2S,1/2,4p<sup>6</sup>70p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9422,0.0005,296.9420,,,,0.000,-,33 666.78,4p65s,2S,1/2,4p<sup>6</sup>70p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9487,0.0005,296.9485,,,,0.000,-,33 666.04,4p65s,2S,1/2,4p<sup>6</sup>69p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
296.9487,0.0005,296.9485,,,,0.000,-,33 666.04,4p65s,2S,1/2,4p<sup>6</sup>69p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=&amp;element=Rb&amp;spectr_charge=1&amp;ref=3287&amp;type=
