Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
95.4825,0.0003,95.48267+,1000,5.98e+08,B+,0.000,-,104 731.05,2s22p5,2P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
95.5545,0.0003,95.55466+,750,4.74e+08,B+,404.141,-,105 056.28,2s22p5,2P°,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3s,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
95.8524,0.0003,95.85255+,500,1.15e+08,B+,404.141,-,104 731.05,2s22p5,2P°,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
97.2401,0.0003,97.23807+,20,,,0.000,-,102 840.38,2s22p5,2P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3s,4P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
97.3895,0.0003,97.38953+,350,,,0.000,-,102 680.44,2s22p5,2P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3s,4P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
97.6217,0.0003,97.62170+,100,,,404.141,-,102 840.38,2s22p5,2P°,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3s,4P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
97.6505,0.0003,97.65080+,40,,,0.000,-,102 405.71,2s22p5,2P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3s,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
97.7745,0.0003,97.77436+,100,,,404.141,-,102 680.44,2s22p5,2P°,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3s,4P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
359.4103,0.0010,359.4104+,6,,,102 405.71,-,130 221.12,2s22p4(3P)3s,4P,5/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4p,4S°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
366.8174,0.0010,366.8170+,12,,,102 405.71,-,129 659.50,2s22p4(3P)3s,4P,5/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4p,4D°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
389.8478,0.0010,389.8472+,5,,,104 731.05,-,130 374.86,2s22p4(3P)3s,2P,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
393.0689,0.0010,393.0686+,8,,,105 056.28,-,130 489.93,2s22p4(3P)3s,2P,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
393.4262,0.0010,393.4252+,5,,,104 731.05,-,130 141.65,2s22p4(3P)3s,2P,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4p,2D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
394.8563,0.0010,394.8551+,5,,,105 056.28,-,130 374.86,2s22p4(3P)3s,2P,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
496.065,0.003,496.066+,6,,,115 917.91,-,136 070.88,2s22p4(3P)3p,4P°,5/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)5d,4D,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
523.041,0.003,523.040+,15,,,116 987.39,-,136 101.06,2s22p4(3P)3p,4D°,7/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)5d,4F,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
