Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
240.9233,0.0006,240.9232+,5a,8.6e+04,C+,0.000,-,41 494.39,6s2,1S,0,6s18p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3039&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=3039&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=570&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=570&amp;type=
241.4080,0.0006,241.4081+,6a,1.5e+05,C+,0.000,-,41 411.04,6s2,1S,0,6s17p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3039&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=3039&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=570&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=570&amp;type=
242.0111,0.0006,242.0110+,8a,2.3e+05,C+,0.000,-,41 307.88,6s2,1S,0,6s16p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3039&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=3039&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=570&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=570&amp;type=
242.7410,0.0006,242.7414+,6a,5.6e+05,C+,0.000,-,41 183.60,6s2,1S,0,6s15p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3039&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=3039&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=570&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=570&amp;type=
243.2519,0.0020,243.2518+,15a,7.2e+05,D,0.000,-,41 097.20,6s2,1S,0,5d8p,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=570&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=570&amp;type=
243.8809,0.0012,243.8807+,6a,1.4e+05,C+,0.000,-,40 991.23,6s2,1S,0,6s14p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3039&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=3039&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16234&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=16234&amp;type=
244.4642,0.0012,244.4620+,10a,4.5e+05,D,0.000,-,40 893.76,6s2,1S,0,5d8p,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16234&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=16234&amp;type=
245.2378,0.0012,245.2328+,2a,8.1e+04,C+,0.000,-,40 765.23,6s2,1S,0,6s13p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3039&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=3039&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16234&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=16234&amp;type=
247.3,0.2,247.2744+,,4.6e+05,C+,0.000,-,40 428.68,6s2,1S,0,6s12p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3039&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=3039&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16231&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=16231&amp;type=
250.02,0.02,250.0363+,,1.5e+06,E,0.000,-,39 982.14,6s2,1S,0,6s11p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7361&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=7361&amp;type=
254.32,0.02,254.2992+,,4.1e+06,E,0.000,-,39 311.95,6s2,1S,0,6s10p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7361&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=7361&amp;type=
259.66357,0.00010,259.66357+,120,1.2e+07,E,0.000,-,38 499.860,6s2,1S,0,5d7p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9224&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=9224&amp;type=
264.650,0.005,264.6446+,1h,1.1e+06,E,0.000,-,37 775.28,6s2,1S,0,6s9p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7361&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=7361&amp;type=
270.26331,0.00010,270.26331+,78,2.5e+06,E,0.000,-,36 989.981,6s2,1S,0,5d7p,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9224&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=9224&amp;type=
273.92363,0.00010,273.92359+,39,9.1e+05,E,0.000,-,36 495.732,6s2,1S,0,5d7p,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9224&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=9224&amp;type=
278.52784,0.00010,278.52784+,95,2.8e+06,E,0.000,-,35 892.465,6s2,1S,0,6s8p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9224&amp;comment_code=&amp;element=Ba&amp;spectr_charge=1&amp;ref=9224&amp;type=
