Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
215.805,215.8047+,7900,,,2 834.98,-,49 158.61,5d8(3F)6s,b 4F,9/2,,4915°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=3475&amp;type=
216.288,216.2871+,2100,,,0.00,-,46 220.32,5d76s2,a 4F,9/2,,4622°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=3475&amp;type=
217.524,217.5250+,4500,,,0.00,-,45 957.33,5d76s2,a 4F,9/2,,4595°,11/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=3475&amp;type=
217.817,217.8164+,2700,,,0.00,-,45 895.85,5d76s2,a 4F,9/2,,4589°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=3475&amp;type=
219.164,219.1640+,740,,,2 834.98,-,48 448.65,5d8(3F)6s,b 4F,9/2,,4844°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=3475&amp;type=
222.037,222.0372+,1300,,,2 834.98,-,47 858.47,5d8(3F)6s,b 4F,9/2,,4785°,11/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=3475&amp;type=
225.3375,225.3375+,600,,,7 106.61,-,51 470.74,5d8(3F)6s,b 4F,7/2,,5147°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14858&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=14858&amp;type=
225.3487,225.3489+,1500,,,4 078.94,-,48 440.83,5d76s2,a 4F,3/2,,4844°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14858&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=14858&amp;type=
225.510,225.5103+,2100,,,2 834.98,-,47 165.12,5d8(3F)6s,b 4F,9/2,,4716°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=3475&amp;type=
225.581,225.5818+,1400,,,5 784.62,-,50 100.71,5d76s2,a 4F,5/2,,5010°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=3475&amp;type=
225.851,225.8509+,350,,,9 877.54,-,54 140.83,5d8(3F)6s,b 4F,5/2,,5414°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=3475&amp;type=
225.886,225.8857+,1400,,,6 323.91,-,50 580.39,5d76s2,a 4F,7/2,,5058°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=3475&amp;type=
226.461,226.4611+,830,,,2 834.98,-,46 979.02,5d8(3F)6s,b 4F,9/2,,4697°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=3475&amp;type=
226.633,226.6330+,1100,,,6 323.91,-,50 434.46,5d76s2,a 4F,7/2,,5043°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ir&amp;spectr_charge=1&amp;ref=3475&amp;type=
