Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
248.6496,248.6491,20,,,3 700.54,-,43 905.73,4d6(5D)5s,6D,5/2,4d<sup>6</sup>(<sup>3</sup>H)5p,4H°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=149&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=149&amp;type=
249.2721,249.2721,25*,,,3 700.54,-,43 805.25,4d6(5D)5s,6D,5/2,4d<sup>6</sup>(<sup>3</sup>F2)5p,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=149&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=149&amp;type=
249.2721,249.2727,25*,,,4 002.57,-,44 107.18,4d6(5D)5s,6D,3/2,4d<sup>6</sup>(<sup>3</sup>D)5p,4P°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=149&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=149&amp;type=
249.3432,249.3426,20,,,3 700.54,-,43 793.91,4d6(5D)5s,6D,5/2,4d<sup>5</sup>(<sup>4</sup>D)5s(<sup>5</sup>D)5p,6D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
251.0167,251.0140,30,,,3 250.91,-,43 077.33,4d6(5D)5s,6D,7/2,4d<sup>6</sup>(<sup>3</sup>G)5p,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
257.8791,257.8795,"300h,l",,,0.00,-,38 766.20,4d55s2,6S,5/2,4d<sup>5</sup>(<sup>4</sup>P)5s(<sup>5</sup>P)5p,6D°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=149&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=149&amp;type=
258.9861,258.9860,200,,,0.00,-,38 600.58,4d55s2,6S,5/2,4d<sup>5</sup>(<sup>4</sup>P)5s(<sup>5</sup>P)5p,6D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=149&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=149&amp;type=
259.0189,259.0205,"20w,s",,,17 522.92,-,56 118.36,4d5(6S)5s(7S)5p,8P°,9/2,,9,11/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
259.2816,259.2807,100,,,0.00,-,38 556.71,4d55s2,6S,5/2,4d<sup>6</sup>(<sup>5</sup>D)5p,6P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=149&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=149&amp;type=
260.8855,260.8851,500,,,0.00,-,38 319.60,4d55s2,6S,5/2,4d<sup>5</sup>(<sup>4</sup>P)5s(<sup>5</sup>P)5p,6D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=149&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=149&amp;type=
