Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
235.41710,235.417493,0.000013,50,,,530.351,-,42 995.085,4d5s2,a 2D,5/2,4d<sup>2</sup>(<sup>1</sup>G)5p,v 2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
249.0403,249.040390,0.000014,25,,,530.351,-,40 672.369,4d5s2,a 2D,5/2,4d<sup>2</sup>(<sup>3</sup>P)5p,v 2D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
268.1664,268.16656,0.00009,20,,,0.000,-,37 279.183,4d5s2,a 2D,3/2,4d<sup>2</sup>(<sup>1</sup>D)5p,w 2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
269.4200,269.42024,0.00008,60,,,0.000,-,37 105.723,4d5s2,a 2D,3/2,5s<sup>2</sup>(<sup>1</sup>S)6p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
269.5381,269.538256,0.000016,26,,,530.351,-,37 619.829,4d5s2,a 2D,5/2,4d<sup>2</sup>(<sup>1</sup>D)5p,w 2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
272.2992,272.299226,0.000023,95,,,530.351,-,37 243.782,4d5s2,a 2D,5/2,4d<sup>2</sup>(<sup>1</sup>D)5p,w 2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
273.00873,273.008716,0.000024,22,,,530.351,-,37 148.377,4d5s2,a 2D,5/2,4d<sup>2</sup>(<sup>3</sup>P)5p,y 4P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
274.25018,274.25002,0.00008,70,6.6e+05,B,0.000,-,36 452.295,4d5s2,a 2D,3/2,4d<sup>2</sup>(<sup>1</sup>D)5p,w 2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9421&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=9421&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
276.0073,276.006945,0.000017,140,,,530.351,-,36 750.621,4d5s2,a 2D,5/2,4d<sup>2</sup>(<sup>1</sup>D)5p,w 2D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
279.1194,279.11934,0.00008,12,,,0.000,-,35 816.407,4d5s2,a 2D,3/2,4d<sup>2</sup>(<sup>3</sup>P)5p,x 4D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7610&amp;comment_code=&amp;element=Y&amp;spectr_charge=1&amp;ref=7610&amp;type=
