Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
228.812,228.811+,350r,2.8e+08,D,10 914.6,-,54 605.3,4s24p3,2D°,5/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>3</sup>P)5s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
234.403,234.402+,35,3.5e+07,D,18 186.1,-,60 834.8,4s24p3,2P°,1/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>1</sup>D)5s,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
234.984,234.984+,350r,3.1e+08,D,10 592.5,-,53 135.6,4s24p3,2D°,3/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>3</sup>P)5s,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
236.967,236.966+,6r,6.0e+07,D,18 647.5,-,60 834.8,4s24p3,2P°,3/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>1</sup>D)5s,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
237.077,237.077+,100r,4.2e+07,D,18 647.5,-,60 815.0,4s24p3,2P°,3/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>1</sup>D)5s,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
238.118,238.117+,135r,,,10 914.6,-,52 897.9,4s24p3,2D°,5/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>3</sup>P)5s,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
245.653,245.652+,170r,7.2e+06,D,10 914.6,-,51 610.2,4s24p3,2D°,5/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>3</sup>P)5s,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
249.291,249.293+,40,1.2e+07,D,10 592.5,-,50 693.8,4s24p3,2D°,3/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>3</sup>P)5s,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
274.500,274.499+,40r,2.6e+07,D,18 186.1,-,54 605.3,4s24p3,2P°,1/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>3</sup>P)5s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
278.022,278.022+,170r,7.8e+07,D,18 647.5,-,54 605.3,4s24p3,2P°,3/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>3</sup>P)5s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2177&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=2177&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
