Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,77.0260,,2.11e+08,C+,158.265,-,129 984.553,2s22p4,3P,1,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>3/2</sub>)4d,3P°,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5713&amp;comment_code=LS&amp;element=O&amp;spectr_charge=1&amp;ref=5713&amp;type=,
,77.0291,,5.29e+07,C+,158.265,-,129 979.384,2s22p4,3P,1,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>3/2</sub>)4d,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5713&amp;comment_code=LS&amp;element=O&amp;spectr_charge=1&amp;ref=5713&amp;type=,
,77.0346,,5.29e+07,C+,158.265,-,129 970.000,2s22p4,3P,1,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>3/2</sub>)4d,3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5713&amp;comment_code=LS&amp;element=O&amp;spectr_charge=1&amp;ref=5713&amp;type=,
,77.0699,,7.04e+07,C+,226.977,-,129 979.384,2s22p4,3P,0,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>3/2</sub>)4d,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5713&amp;comment_code=LS&amp;element=O&amp;spectr_charge=1&amp;ref=5713&amp;type=,
77.0793,77.0793,70,2.58e+07,C,0.000,-,129 736.6,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>3/2</sub>)4d,3S°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3760&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=3760&amp;type=
,77.0992,,4.83e+05,C,0.000,-,129 703.0,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>5/2</sub>)4d,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,77.1025,,4.40e+06,C,0.000,-,129 697.5,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>5/2</sub>)4d,3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
77.1056,77.1056,90,1.79e+07,C+,0.000,-,129 692.3,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>5/2</sub>)4d,3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3760&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=3760&amp;type=
,77.1734,,1.54e+07,C,158.265,-,129 736.6,2s22p4,3P,1,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>3/2</sub>)4d,3S°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,77.1934,,7.20e+06,C,158.265,-,129 703.0,2s22p4,3P,1,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>5/2</sub>)4d,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,77.1967,,1.31e+07,C+,158.265,-,129 697.5,2s22p4,3P,1,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>5/2</sub>)4d,3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,77.2143,,5.12e+06,C,226.977,-,129 736.6,2s22p4,3P,0,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>3/2</sub>)4d,3S°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,77.2344,,9.58e+06,C,226.977,-,129 703.0,2s22p4,3P,0,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>5/2</sub>)4d,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
77.5321,77.5321+,70,,,0.000,-,128 978.8,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°)5s,3D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3760&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=3760&amp;type=
,79.1514,,2.75e+08,B,0.000,-,126 340.225,2s22p4,3P,2,2s2p<sup>5</sup>,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5713&amp;comment_code=LS&amp;element=O&amp;spectr_charge=1&amp;ref=5713&amp;type=,
79.1973,79.1973,70,4.94e+08,B,0.000,-,126 266.896,2s22p4,3P,2,2s2p<sup>5</sup>,3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5713&amp;comment_code=LS&amp;element=O&amp;spectr_charge=1&amp;ref=5713&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3760&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=3760&amp;type=
,79.2233,,6.59e+08,B,158.265,-,126 383.751,2s22p4,3P,1,2s2p<sup>5</sup>,3P°,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5713&amp;comment_code=LS&amp;element=O&amp;spectr_charge=1&amp;ref=5713&amp;type=,
,79.2506,,1.64e+08,B,158.265,-,126 340.225,2s22p4,3P,1,2s2p<sup>5</sup>,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5713&amp;comment_code=LS&amp;element=O&amp;spectr_charge=1&amp;ref=5713&amp;type=,
,79.2938,,2.19e+08,B,226.977,-,126 340.225,2s22p4,3P,0,2s2p<sup>5</sup>,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5713&amp;comment_code=LS&amp;element=O&amp;spectr_charge=1&amp;ref=5713&amp;type=,
,79.2967,,1.64e+08,B,158.265,-,126 266.896,2s22p4,3P,1,2s2p<sup>5</sup>,3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5713&amp;comment_code=LS&amp;element=O&amp;spectr_charge=1&amp;ref=5713&amp;type=,
80.4267,80.4270,90,7.02e+07,C,0.000,-,124 336.3,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>3/2</sub>)3d,3S°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3760&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=3760&amp;type=
,80.4738,,1.21e+06,D,0.000,-,124 264.0,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>5/2</sub>)3d,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,80.4779,,1.10e+07,C+,0.000,-,124 257.7,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>5/2</sub>)3d,3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
80.4848,80.4848,70,4.47e+07,B,0.000,-,124 247.1,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>5/2</sub>)3d,3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3760&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=3760&amp;type=
80.5295,80.5295,70,4.21e+07,C,158.265,-,124 336.3,2s22p4,3P,1,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>D°<sub>3/2</sub>)3d,3S°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3760&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=3760&amp;type=
