Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
203.9,,,,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1614&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=1614&amp;type=
217.34,217.0,0.7,*,,,463 520,-,509 580,1s2s2p,4P°,3/2,1s2s4s,4S,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1560&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=1560&amp;type=
217.34,217.0,0.7,*,,,463 520,-,509 580,1s2s2p,4P°,5/2,1s2s4s,4S,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1560&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=1560&amp;type=
217.34,217.0,0.7,*,,,463 520,-,509 580,1s2s2p,4P°,1/2,1s2s4s,4S,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1560&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=1560&amp;type=
230.459,230.4590,0.0010,*,,,0.00,-,43 378.31,1s22s,2S,1/2,1s<sup>2</sup>32p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.459,230.4590,0.0010,*,,,0.00,-,43 378.31,1s22s,2S,1/2,1s<sup>2</sup>32p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.492,230.4922,0.0010,*,,,0.00,-,43 372.06,1s22s,2S,1/2,1s<sup>2</sup>31p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.492,230.4922,0.0010,*,,,0.00,-,43 372.06,1s22s,2S,1/2,1s<sup>2</sup>31p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.536,230.5366,0.0010,*,,,0.00,-,43 363.71,1s22s,2S,1/2,1s<sup>2</sup>30p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.536,230.5366,0.0010,*,,,0.00,-,43 363.71,1s22s,2S,1/2,1s<sup>2</sup>30p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.583,230.5834,0.0010,*,,,0.00,-,43 354.91,1s22s,2S,1/2,1s<sup>2</sup>29p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.583,230.5834,0.0010,*,,,0.00,-,43 354.91,1s22s,2S,1/2,1s<sup>2</sup>29p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.629,230.6287,0.0010,*,,,0.00,-,43 346.39,1s22s,2S,1/2,1s<sup>2</sup>28p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.629,230.6287,0.0010,*,,,0.00,-,43 346.39,1s22s,2S,1/2,1s<sup>2</sup>28p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.682,230.6819,0.0010,*,,,0.00,-,43 336.40,1s22s,2S,1/2,1s<sup>2</sup>27p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.682,230.6819,0.0010,*,,,0.00,-,43 336.40,1s22s,2S,1/2,1s<sup>2</sup>27p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.744,230.7436,0.0010,*,,,0.00,-,43 324.81,1s22s,2S,1/2,1s<sup>2</sup>26p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.744,230.7436,0.0010,*,,,0.00,-,43 324.81,1s22s,2S,1/2,1s<sup>2</sup>26p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.897,230.8970,0.0010,*,,,0.00,-,43 296.03,1s22s,2S,1/2,1s<sup>2</sup>24p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.897,230.8970,0.0010,*,,,0.00,-,43 296.03,1s22s,2S,1/2,1s<sup>2</sup>24p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.988,230.9881,0.0010,*,,,0.00,-,43 278.96,1s22s,2S,1/2,1s<sup>2</sup>23p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
230.988,230.9881,0.0010,*,,,0.00,-,43 278.96,1s22s,2S,1/2,1s<sup>2</sup>23p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
231.094,231.0939,0.0010,*,,,0.00,-,43 259.14,1s22s,2S,1/2,1s<sup>2</sup>22p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
231.094,231.0939,0.0010,*,,,0.00,-,43 259.14,1s22s,2S,1/2,1s<sup>2</sup>22p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
231.211,231.2114,0.0010,*,,,0.00,-,43 237.16,1s22s,2S,1/2,1s<sup>2</sup>21p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
231.211,231.2114,0.0010,*,,,0.00,-,43 237.16,1s22s,2S,1/2,1s<sup>2</sup>21p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
231.349,231.3493,0.0010,*,,,0.00,-,43 211.39,1s22s,2S,1/2,1s<sup>2</sup>20p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
231.349,231.3493,0.0010,*,,,0.00,-,43 211.39,1s22s,2S,1/2,1s<sup>2</sup>20p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
231.508,231.5077,0.0010,*,,,0.00,-,43 181.84,1s22s,2S,1/2,1s<sup>2</sup>19p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
231.508,231.5077,0.0010,*,,,0.00,-,43 181.84,1s22s,2S,1/2,1s<sup>2</sup>19p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=1&amp;ref=7397&amp;type=
