Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
143.076,143.0758,0.0010,10,,,0.000,-,69 893.0,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)9d,,1/2?,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
146.419,,,10w?,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
148.657,148.658005,0.000010,20r,,,0.000,-,67 268.493,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)6d,2D?,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
149.136,149.135465,0.000010,40w,,,0.000,-,67 053.132,5p3,4S°,3/2,,67053,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
151.257,151.255686,0.000010,50r,,,0.000,-,66 113.217,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)8s,4P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
153.274,153.272561,0.000010,120r,,,0.000,-,65 243.250,5p3,4S°,3/2,5p<sup>2</sup>(<sup>1</sup>D)5d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
153.506,153.50702,0.00010,80r,,,0.000,-,65 143.60,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)6d,4D,3/2?,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
159.996,159.995576,0.000010,80r,,,0.000,-,62 501.728,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)6d,4F,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
161.28,,,200w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
162.33,,,100w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
165.120,,,50w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
166.26,166.2821,0.0010,100w,,,8 512.125,-,68 650.9,5p3,2D°,3/2,5p<sup>2</sup>(<sup>3</sup>P)8s,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
169.885,169.886327,0.000010,50,,,0.000,-,58 862.889,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
171.693,,,80r,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
171.745,171.745531,0.000010,150r,,,9 854.018,-,68 079.696,5p3,2D°,5/2,5p<sup>2</sup>(<sup>3</sup>P)6d,2F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
172.343,172.34526,0.00010,150r,,,8 512.125,-,66 535.19,5p3,2D°,3/2,,66535,"3/2,5/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
173.619,173.619542,0.000010,100r,,,0.000,-,57 597.203,5p3,4S°,3/2,5p<sup>2</sup>(<sup>3</sup>P)5d,4D,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7406&amp;comment_code=&amp;element=Sb&amp;spectr_charge=1&amp;ref=7406&amp;type=
