Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
321.2831,0.0005,321.284326,0.000003,,1.19e+03,C,0.0000,-,31 116.0904,5p66s,2S,1/2,5p<sup>6</sup>23p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
,,321.294374,0.000003,m,,,0.0000,-,31 115.11733,5p66s,2S,1/2,5p<sup>6</sup>23p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
321.6171,0.0005,321.6184,0.0003,,1.49e+03,C,0.0000,-,31 083.77,5p66s,2S,1/2,5p<sup>6</sup>22p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
,,321.630532,0.000003,m,,,0.0000,-,[31 082.5979],5p66s,2S,1/2,5p<sup>6</sup>22p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
322.0116,0.0005,322.01318,0.00003,,1.7e+03,C,0.0000,-,31 045.664,5p66s,2S,1/2,5p<sup>6</sup>21p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
322.0258,0.0005,322.027191,0.000003,,1.07e+01,C,0.0000,-,31 044.31315,5p66s,2S,1/2,5p<sup>6</sup>21p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
322.4817,0.0005,322.4834,0.0003,,2.0e+03,C,0.0000,-,31 000.40,5p66s,2S,1/2,5p<sup>6</sup>20p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
322.4982,0.0005,322.5001,0.0003,,1.43e+01,C,0.0000,-,30 998.79,5p66s,2S,1/2,5p<sup>6</sup>20p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
323.0477,0.0005,323.04910,0.00003,,2.5e+03,C,0.0000,-,30 946.113,5p66s,2S,1/2,5p<sup>6</sup>19p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
323.0680,0.0005,323.069404,0.000003,,1.97e+01,C,0.0000,-,30 944.16859,5p66s,2S,1/2,5p<sup>6</sup>19p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
