Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
122.1870,0.0004,122.18662+,900,,,0.00,-,81 842.02,4s24p5,2P°,3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)4d,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
122.3240,0.0004,122.32402+,1000,,,3 685.24,-,85 435.33,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>1</sub>)6s,2[1],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
122.4408,0.0004,122.44056+,1200,,,0.00,-,81 672.28,4s24p5,2P°,3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)4d,2[2],5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
122.6899,0.0004,122.68983+,1200,,,3 685.24,-,85 191.59,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>0</sub>)4d,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
122.8049,0.0004,122.80491+,750,,,0.00,-,81 429.97,4s24p5,2P°,3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)4d,2[0],1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
123.2431,0.0004,123.24323+,7500,,,3 685.24,-,84 825.60,4s24p5,2P°,1/2,4s4p<sup>6</sup>,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
124.3897,0.0004,124.39005+,1200,,,3 685.24,-,84 077.52,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>1</sub>)4d,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
124.9589,0.0004,124.95876+,800,,,0.00,-,80 026.40,4s24p5,2P°,3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)4d,2[1],1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
125.1664,0.0004,125.16700+,1500,,,3 685.24,-,83 578.50,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>1</sub>)4d,2[1],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
125.5799,0.0004,125.57975+,1000,,,0.00,-,79 630.67,4s24p5,2P°,3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)4d,2[1],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
