Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,,91.3825609,0.0000008,,3.0769e+03,AAA,0.0000000000,-,[109 430.0696],1s,2S,1/2,21,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.4038537,0.0000008,,3.9276e+03,AAA,0.0000000000,-,[109 404.5776],1s,2S,1/2,20,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.4286086,0.0000008,,5.0767e+03,AAA,0.0000000000,-,[109 374.9555],1s,2S,1/2,19,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.4576201,0.0000008,,6.6540e+03,AAA,0.0000000000,-,[109 340.2604],1s,2S,1/2,18,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.4919242,0.0000008,,8.8574e+03,AAA,0.0000000000,-,[109 299.2642],1s,2S,1/2,17,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.5328932,0.0000008,,1.1997e+04,AAA,0.0000000000,-,[109 250.3433],1s,2S,1/2,16,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.5823751,0.0000008,,1.6572e+04,AAA,0.0000000000,-,[109 191.3154],1s,2S,1/2,15,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.6429076,0.0000008,,2.3409e+04,AAA,0.0000000000,-,[109 119.1917],1s,2S,1/2,14,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.7180514,0.0000008,,3.3927e+04,AAA,0.0000000000,-,[109 029.7913],1s,2S,1/2,13,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
91.8125,0.0013,91.8129300,0.0000004,5600,5.0659e+04,AAA,0.0000000000,-,108 917.1209,1s,2S,1/2,12,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=8834&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8834&amp;type=
