Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
240.0881,0.0010,240.0881+,8000,5.8e+07,C+,15 437.501,-,57 076.20,6p3,2D°,5/2,6p<sup>2</sup>(<sup>3</sup>P<sub>1</sub>)6d,5707,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4088&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=4088&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
251.56326,0.00020,251.56336+,500,2.13e+06,C,11 419.039,-,51 158.494,6p3,2D°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)7d,2[2],5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
252.44907,0.00020,252.44900+,1600,8.6e+06,C+,11 419.039,-,51 019.090,6p3,2D°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)7d,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
262.79044,0.00020,262.78988+,16000,4.56e+07,B,11 419.039,-,49 460.910,6p3,2D°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>2</sub>)7s,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3401&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
269.6748,0.0010,269.67385+,5000,6.2e+06,C+,11 419.039,-,48 489.869,6p3,2D°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>2</sub>)7s,2[2],5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
273.04918,0.00020,273.04941+,1700hfs,2.02e+07,C+,21 660.914,-,58 273.483,6p3,2P°,1/2,6p<sup>2</sup>(<sup>3</sup>P<sub>1</sub>)6d,5827,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4088&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=4088&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
278.04764,0.00020,278.04773+,5000,3.09e+07,B,11 419.039,-,47 373.477,6p3,2D°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)8s,2[0],1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3401&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
279.8649,0.0010,279.86493+,120,1.75e+06,D+,15 437.501,-,51 158.494,6p3,2D°,5/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)7d,2[2],5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
280.96153,0.00020,280.96146+,2500,1.34e+07,C+,15 437.501,-,51 019.090,6p3,2D°,5/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)7d,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
286.37868,0.00020,286.3787+,350hfs,1.07e+07,C+,21 660.914,-,56 569.46,6p3,2P°,1/2,6p<sup>2</sup>(<sup>3</sup>P<sub>1</sub>)6d,5657,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4088&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=4088&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
