Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
273.2598,273.2603+,40,4.2e+06,C+,0.00,-,36 584.31,4f76s2,a 8S°,7/2,4f<sup>7</sup>(<sup>8</sup>S°)5d (<sup>7</sup>D°)6p,y 8D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
273.5248,273.5256+,80,5.4e+06,C+,0.00,-,36 548.83,4f76s2,a 8S°,7/2,,,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
273.8568,273.8573+,15,1.44e+06,C+,0.00,-,36 504.56,4f76s2,a 8S°,7/2,,,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
274.3286,274.3292+,70,1.19e+07,C+,0.00,-,36 441.77,4f76s2,a 8S°,7/2,4f<sup>7</sup>(<sup>8</sup>S°)6s7p(<sup>1</sup>P°)?,8P?,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
274.5609,274.5614+,40,5.7e+06,C+,0.00,-,36 410.96,4f76s2,a 8S°,7/2,,,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
274.7830,274.7836+,80,6.0e+06,C+,0.00,-,36 381.51,4f76s2,a 8S°,7/2,,,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
277.2898,277.2903+,10,1.2e+06,E,0.00,-,36 052.65,4f76s2,a 8S°,7/2,,128,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
287.8848,287.8858+,100,3.2e+06,C+,0.00,-,34 725.81,4f76s2,a 8S°,7/2,4f<sup>7</sup>(<sup>8</sup>S°)5d (<sup>9</sup>D°)6p,x 8P,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
289.2502,289.2514+,200,1.16e+07,C+,0.00,-,34 561.87,4f76s2,a 8S°,7/2,4f<sup>7</sup>(<sup>8</sup>S°)6s7p(<sup>3</sup>P°)?,8P?,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
289.3013,289.3020+,140,1.15e+07,C+,0.00,-,34 555.82,4f76s2,a 8S°,7/2,4f<sup>7</sup>(<sup>8</sup>S°)6s7p(<sup>3</sup>P°)?,8P?,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
289.3838,289.3838+,360,1.7e+06,C+,0.00,-,34 546.06,4f76s2,a 8S°,7/2,4f<sup>6</sup>(<sup>7</sup>F)5d<sup>2</sup>6s?,10P?,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
290.8993,290.8990+,160,8.1e+06,C+,0.00,-,34 366.13,4f76s2,a 8S°,7/2,4f<sup>7</sup>(<sup>8</sup>S°)6s7p(<sup>3</sup>P°)?,8P?,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
295.8885,295.8893+,30,1.8e+06,C+,0.00,-,33 786.55,4f76s2,a 8S°,7/2,4f<sup>7</sup>(<sup>8</sup>S°)5d (<sup>9</sup>D°)6p,x 8P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
302.2148,,35,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7586&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7586&amp;type=
