Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
242.768,242.7683,130,,,2 598.03,-,43 777.07,4d8(3F)5s,a 4F,5/2,4d<sup>8</sup>(<sup>1</sup>G)5p,x 2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
242.952,242.9517,230,,,3 472.68,-,44 620.63,4d8(3F)5s,a 4F,3/2,,18°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
243.266,243.2655,40,,,5 657.97,-,46 752.86,4d9,a 2D,3/2,,23°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
243.708,243.7082,18,,,7 791.23,-,48 811.47,4d8(3F)5s,a 2F,5/2,,26°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
243.790,243.7898,110,,,7 791.23,-,48 797.74,4d8(3F)5s,a 2F,5/2,,25°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
244.034,244.0338,330,,,1 529.97,-,42 495.48,4d8(3F)5s,a 4F,7/2,,14°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
244.427,,50w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
244.884,244.8836,65,,,2 598.03,-,43 421.40,4d8(3F)5s,a 4F,5/2,4d<sup>8</sup>(<sup>1</sup>D)5p,x 2D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
244.904,244.9030,50,,,5 690.97,-,46 511.10,4d8(3F)5s,a 2F,7/2,,22°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
245.056,245.0509,75,,,1 529.97,-,42 325.46,4d8(3F)5s,a 4F,7/2,,13°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
246.361,,30,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
247.039,247.0390,75,,,3 309.86,-,43 777.07,4d9,a 2D,5/2,4d<sup>8</sup>(<sup>1</sup>G)5p,x 2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
247.147,247.1471,90,,,2 598.03,-,43 047.54,4d8(3F)5s,a 4F,5/2,,16°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
247.251,,30,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
