Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
164.800,164.88,0.10,2h,,,0.000,-,60 652,5s25p,2P°,1/2,5s5p<sup>2</sup>,2P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=611&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=611&amp;type=
167.616,167.62,0.10,1w,,,0.000,-,59 657,5s25p,2P°,1/2,5s5p<sup>2</sup>,2P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=611&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=611&amp;type=
171.154,171.12,0.10,5w,,,2 212.599,-,60 652,5s25p,2P°,3/2,5s5p<sup>2</sup>,2P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=611&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=611&amp;type=
174.123,174.08,0.10,2w,,,2 212.599,-,59 657,5s25p,2P°,3/2,5s5p<sup>2</sup>,2P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=611&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=611&amp;type=
175.849,,,1w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=611&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=611&amp;type=
217.990,217.9900,0.0010,2,,,0.000,-,45 859.30,5s25p,2P°,1/2,5s<sup>2</sup>14d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
218.240,218.2395,0.0010,2,,,0.000,-,45 806.88,5s25p,2P°,1/2,5s<sup>2</sup>15s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
218.740,218.7400,0.0010,2,,,0.000,-,45 702.08,5s25p,2P°,1/2,5s<sup>2</sup>13d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
219.084,219.0835,0.0010,2,,,0.000,-,45 630.44,5s25p,2P°,1/2,5s<sup>2</sup>14s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
219.7407,219.7407,0.0010,2,,,0.000,-,45 493.98,5s25p,2P°,1/2,5s<sup>2</sup>12d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
220.2240,220.2241,0.0010,2,,,0.000,-,45 394.13,5s25p,2P°,1/2,5s<sup>2</sup>13s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3547&amp;comment_code=&amp;element=In&amp;spectr_charge=1&amp;ref=3547&amp;type=
