Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
308.6287,0.0005,308.6287,,8.00e+03,,0.000,-,32 391.99,7s,2S,1/2,20p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
308.6843,0.0005,308.6843,,8.01e+03,,0.000,-,32 386.15,7s,2S,1/2,20p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
309.2514,0.0005,309.2514,,1.00e+04,,0.000,-,32 326.77,7s,2S,1/2,19p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
309.3197,0.0005,309.3197,,9.82e+03,,0.000,-,32 319.63,7s,2S,1/2,19p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
310.0211,0.0005,310.0211,,1.23e+04,,0.000,-,32 246.51,7s,2S,1/2,18p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
310.1063,0.0005,310.1063,,1.23e+04,,0.000,-,32 237.65,7s,2S,1/2,18p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
310.9885,0.0005,310.9885,,1.57e+04,,0.000,-,32 146.20,7s,2S,1/2,17p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
311.0966,0.0005,311.0966,,1.57e+04,,0.000,-,32 135.03,7s,2S,1/2,17p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
312.2284,0.0005,312.2284,,2.10e+04,,0.000,-,32 018.55,7s,2S,1/2,16p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
312.3684,0.0005,312.3684,,2.11e+04,,0.000,-,32 004.20,7s,2S,1/2,16p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
