Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
57.36679,0.00006,57.36679,0.00006,a,,,0.0000,-,174 316.88,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)18s,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.37873,0.00006,57.37873,0.00006,a,,,0.0000,-,174 280.61,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)16d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.38383,0.00006,57.38383,0.00006,a,,,0.0000,-,174 265.12,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)17s,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.39821,0.00006,57.39821,0.00006,a,,,0.0000,-,174 221.46,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)15d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.40447,0.00006,57.40447,0.00006,a,,,0.0000,-,174 202.46,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)16s,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.42208,0.00006,57.42208,0.00006,a,,,0.0000,-,174 149.04,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)14d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.42982,0.00006,57.42982,0.00006,a,,,0.0000,-,174 125.57,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)15s,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.45172,0.00006,57.45172,0.00006,a,,,0.0000,-,174 059.19,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)13d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.46144,0.00006,57.46144,0.00006,a,,,0.0000,-,174 029.75,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)14s,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.48912,0.00006,57.48912,0.00006,a,,,0.0000,-,173 945.96,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)12d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.50158,0.00006,57.50158,0.00006,a,,,0.0000,-,173 908.26,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)13s,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.53703,0.00006,57.53703,0.00006,a,,,0.0000,-,173 801.12,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)11d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.55347,0.00006,57.55347,0.00006,a,,,0.0000,-,173 751.47,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)12s,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.58544,0.00006,57.58544,0.00006,a,,,0.0000,-,173 655.01,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>3/2</sub>)20d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.59530,0.00006,57.59530,0.00006,a,,,0.0000,-,173 625.28,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>3/2</sub>)19d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.59822,0.00006,57.59822,0.00006,a,,,0.0000,-,173 616.48,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>3/2</sub>)20s,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
57.60045,0.00006,57.60050,0.00004,a,,,0.0000,-,173 609.59,2s22p6,1S,0,2s<sup>2</sup>2p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)10d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10092&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=10092&amp;type=
