Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
80.2859,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
80.6471,,,100,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
80.6869,,,60,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
80.7218,,,30,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
80.7653,,,40,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
80.9927,,,50,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
81.6232,,,120,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
81.6464,,,70,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
82.0124,,,80,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
82.5346,,,120,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
82.6365,,,120,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
83.4392,,,150,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
83.5002,,,100,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
84.2805,,,100,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
86.6800,86.6800,0.0010,180,3.13e+08,C+,0.0000,-,115 366.866,3s23p6,1S,0,3s<sup>2</sup>3p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)3d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1355&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=1355&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2131&amp;comment_code=&amp;element=Ar&amp;spectr_charge=1&amp;ref=2131&amp;type=
