Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,203.3546,,3.0e+06,D,879.816,-,50 039.191,3d9(2D)4s,3D,2,3d<sup>9</sup>(<sup>2</sup>D)5p,3F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,204.1144,,3.2e+06,D,1 713.087,-,50 689.489,3d9(2D)4s,3D,1,3d<sup>9</sup>(<sup>2</sup>D)5p,3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,204.7343,,1.8e+07,C,204.787,-,49 032.926,3d9(2D)4s,3D,3,3d<sup>9</sup>(<sup>2</sup>D)5p,1D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,205.0831,,7.6e+06,E,1 713.087,-,50 458.192,3d9(2D)4s,3D,1,3d<sup>9</sup>(<sup>2</sup>D)5p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,205.2074,,9.7e+06,C,0.000,-,48 715.586,3d8(3F)4s2,3F,4,3d<sup>9</sup>(<sup>2</sup>D)5p,3F°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,205.2434,,3.2e+06,C,1 332.164,-,50 039.191,3d8(3F)4s2,3F,3,3d<sup>9</sup>(<sup>2</sup>D)5p,3F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,205.391,,7.5e+05,D,0.000,-,48 672.049,3d8(3F)4s2,3F,4,3d<sup>9</sup>(<sup>2</sup>D)5p,1F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,205.5489,,3.3e+07,C,2 216.550,-,50 851.199,3d8(3F)4s2,3F,2,3d<sup>9</sup>(<sup>2</sup>D)5p,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,205.9901,,2.1e+07,D,204.787,-,48 735.290,3d9(2D)4s,3D,3,3d<sup>9</sup>(<sup>2</sup>D)5p,3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,206.0195,,2.3e+07,E,879.816,-,49 403.386,3d9(2D)4s,3D,2,3d<sup>8</sup>(<sup>3</sup>P)4s4p(<sup>3</sup>P°),3S°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,206.2347,,4.6e+06,E,2 216.550,-,50 689.489,3d8(3F)4s2,3F,2,3d<sup>9</sup>(<sup>2</sup>D)5p,3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,206.3395,,5.0e+06,D,879.816,-,49 328.140,3d9(2D)4s,3D,2,3d<sup>9</sup>(<sup>2</sup>D)5p,3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,206.4373,,4.0e+07,D,1 713.087,-,50 138.458,3d9(2D)4s,3D,1,3d<sup>9</sup>(<sup>2</sup>D)5p,3P°,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,206.9505,,1.1e+07,D,879.816,-,49 185.138,3d9(2D)4s,3D,2,3d<sup>8</sup>(<sup>3</sup>P)4s4p(<sup>3</sup>P°),1D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,208.0619,,8.2e+01,E,3 409.937,-,51 457.250,3d9(2D)4s,1D,2,3d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)4d,2[1/2],0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=848&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=1&amp;ref=848&amp;type=E2,
,208.2845,,8.5e+06,C,1 332.164,-,49 328.140,3d8(3F)4s2,3F,3,3d<sup>9</sup>(<sup>2</sup>D)5p,3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,208.5352,,7.7e+06,C,879.816,-,48 818.097,3d9(2D)4s,3D,2,3d<sup>8</sup>(<sup>3</sup>P)4s4p(<sup>3</sup>P°),1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,208.5555,,2.6e+08,D,3 409.937,-,51 343.547,3d9(2D)4s,1D,2,3d<sup>8</sup>(<sup>1</sup>G)4s4p(<sup>3</sup>P°),3F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
