Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
254.8224,0.0010,254.82240+,330,1.60e+07,B,10 768.332,-,49 999.575,4d5(6S)5s,a 5S,2,4d<sup>4</sup>5s(<sup>4</sup>D)5p,v 5P°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
255.085,0.010,255.0834+,110h,,,11 858.498,-,51 049.60?,4d45s2,a 5D,3,4d<sup>4</sup>5s(<sup>4</sup>D)5p,v 5P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=3475&amp;type=
256.7049,0.0010,256.70492+,250,5.9e+07,B,10 768.332,-,49 711.894,4d5(6S)5s,a 5S,2,4d<sup>4</sup>5s(<sup>4</sup>P)5p,w 5P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
257.2345,0.0010,257.23457+,320,,,12 346.280,-,51 209.662,4d45s2,a 5D,4,4d<sup>4</sup>5s(<sup>4</sup>P)5p,w 5P°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
258.216,0.010,258.21562+,250,,,10 768.332,-,49 484.068,4d5(6S)5s,a 5S,2,4d<sup>4</sup>5s(<sup>4</sup>P)5p,w 5P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=3475&amp;type=
259.540,0.010,259.54046+,100,,,10 965.947,-,49 484.068,4d45s2,a 5D,0,4d<sup>4</sup>5s(<sup>4</sup>P)5p,w 5P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=3475&amp;type=
260.737,0.010,260.73759+,250,,,11 142.784,-,49 484.068,4d45s2,a 5D,1,4d<sup>4</sup>5s(<sup>4</sup>P)5p,w 5P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=3475&amp;type=
261.1201,0.0010,261.12016+,190,3.7e+07,B,12 346.280,-,50 631.392,4d45s2,a 5D,4,4d<sup>4</sup>5s(<sup>4</sup>G)5p,w 3G°,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
261.3084,0.0010,261.30842+,290,8.5e+07,B,11 454.362,-,49 711.894,4d45s2,a 5D,2,4d<sup>4</sup>5s(<sup>4</sup>P)5p,w 5P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5293&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=5293&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10250&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=10250&amp;type=
261.539,0.010,261.53935+,130,,,10 965.947,-,49 189.701,4d45s2,a 5D,0,4d<sup>4</sup>5s(<sup>4</sup>G)5p,t 5F°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Mo&amp;spectr_charge=1&amp;ref=3475&amp;type=
