obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
155.332,0.002,155.3321,0.0020,"g,a",,,0.0000,64378.2,3d.4s2,2D,3/2,4s2.20f,2F*,5/2,,,L2110,
155.405,0.002,155.4052,0.0016,"g,a",,,0.0000,64347.9,3d.4s2,2D,3/2,4s2.19f,2F*,5/2,,,L2110,
155.491,0.002,155.4910,0.0016,"g,a",,,0.0000,64312.4,3d.4s2,2D,3/2,4s2.18f,2F*,5/2,,,L2110,
155.576,0.002,155.576,0.003,"g,a*",,,168.3371,64445.6,3d.4s2,2D,5/2,4s2.23f,2F*,5/2,,,L2110,
155.576,0.002,155.576,0.003,"g,a*",,,168.3371,64445.6,3d.4s2,2D,5/2,4s2.23f,2F*,7/2,,,L2110,
155.590,0.002,155.5904,0.0016,"g,a",,,0.0000,64271.3,3d.4s2,2D,3/2,4s2.17f,2F*,5/2,,,L2110,
155.622,0.002,155.622,0.003,"g,a*",,,168.3371,64426.6,3d.4s2,2D,5/2,4s2.22f,2F*,5/2,,,L2110,
155.622,0.002,155.622,0.003,"g,a*",,,168.3371,64426.6,3d.4s2,2D,5/2,4s2.22f,2F*,7/2,,,L2110,
155.675,0.002,155.675,0.003,"g,a*",,,168.3371,64404.7,3d.4s2,2D,5/2,4s2.21f,2F*,5/2,,,L2110,
155.675,0.002,155.675,0.003,"g,a*",,,168.3371,64404.7,3d.4s2,2D,5/2,4s2.21f,2F*,7/2,,,L2110,
155.813,0.002,155.8128,0.0016,"g,a*",,,168.3371,64347.9,3d.4s2,2D,5/2,4s2.19f,2F*,5/2,,,L2110,
155.813,0.002,155.813,0.003,"g,a*",,,168.3371,64347.8,3d.4s2,2D,5/2,4s2.19f,2F*,7/2,,,L2110,
155.862,0.002,155.8608,0.0017,"g,a",,,0.0000,64159.8,3d.4s2,2D,3/2,4s2.15f,2F*,5/2,,,L2110,
155.899,0.002,155.899,0.003,"g,a*",,,168.3371,64312.4,3d.4s2,2D,5/2,4s2.18f,2F*,7/2,,,L2110,
155.899,0.002,155.8991,0.0016,"g,a*",,,168.3371,64312.4,3d.4s2,2D,5/2,4s2.18f,2F*,5/2,,,L2110,
156.000,0.002,155.9990,0.0016,"g,a*",,,168.3371,64271.3,3d.4s2,2D,5/2,4s2.17f,2F*,5/2,,,L2110,
156.000,0.002,156.000,0.003,"g,a*",,,168.3371,64270.9,3d.4s2,2D,5/2,4s2.17f,2F*,7/2,,,L2110,
156.039,0.002,156.0396,0.0016,"g,a",,,0.0000,64086.3,3d.4s2,2D,3/2,4s2.14f,2F*,5/2,,,L2110,
156.267,0.002,156.2644,0.0022,"g,a*",,,0.0000,63994.1,3d.4s2,2D,3/2,4s2.13f,2F*,5/2,,,L2110,
156.267,0.002,156.267,0.003,"g,a*",,,168.3371,64161.4,3d.4s2,2D,5/2,4s2.15f,2F*,7/2,,,L2110,
156.267,0.002,156.2708,0.0017,"g,a*",,,168.3371,64159.8,3d.4s2,2D,5/2,4s2.15f,2F*,5/2,,,L2110,
156.452,0.002,156.4505,0.0016,"g,a*",,,168.3371,64086.3,3d.4s2,2D,5/2,4s2.14f,2F*,5/2,,,L2110,
156.452,0.002,156.452,0.003,"g,a*",,,168.3371,64085.7,3d.4s2,2D,5/2,4s2.14f,2F*,7/2,,,L2110,
156.547,0.002,156.5472,0.0016,"g,a",,,0.0000,63878.5,3d.4s2,2D,3/2,4s2.12f,2F*,5/2,,,L2110,
156.675,0.002,156.675,0.003,"g,a*",,,168.3371,63994.7,3d.4s2,2D,5/2,4s2.13f,2F*,7/2,,,L2110,
156.675,0.002,156.6765,0.0022,"g,a*",,,168.3371,63994.1,3d.4s2,2D,5/2,4s2.13f,2F*,5/2,,,L2110,
156.913,0.002,156.9127,0.0016,"g,a",,,0.0000,63729.7,3d.4s2,2D,3/2,4s2.11f,2F*,5/2,,,L2110,
