obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
161.5571,0.0005,161.5568,3r,,,557.1341,62454.86,4s2.4p2,3P,1,4s2.4p.7d,"(3/2,5/2)*",2,,,L3476,
162.41300,0.00010,162.4130,2r,,,0.0000,61571.41,4s2.4p2,3P,0,4s2.4p.8d,"(1/2,3/2)*",1,,,L187,
163.0173,0.0005,163.017328,2r,,,0.0000,61343.172,4s2.4p2,3P,0,4s2.4p.8s,"(3/2,1/2)*",1,,,L3476,
163.6312,0.0005,163.6313,3r,,,1409.9609,62522.98,4s2.4p2,3P,2,4s2.4p.7d,"(3/2,5/2)*",3,,,L3476,
163.8958,0.0005,163.8961,2,,,557.1341,61571.41,4s2.4p2,3P,1,4s2.4p.8d,"(1/2,3/2)*",1,,,L3476,
163.97300,0.00010,163.9732,4r,,,557.1341,61542.72,4s2.4p2,3P,1,4s2.4p.8d,"(1/2,5/2)*",2,,,L187,
164.7530,0.0005,164.7531,2,,,557.1341,61254.02,4s2.4p2,3P,1,4s2.4p.8s,"(3/2,1/2)*",2,,,L3476,
165.1527,0.0005,165.152881,2,,,0.0000,60549.958,4s2.4p2,3P,0,4s2.4p.6d,"(3/2,3/2)*",1,,,L3476,
165.1953,0.0005,165.1955,4r,,,557.1341,61091.48,4s2.4p2,3P,1,4s2.4p.6d,"(3/2,5/2)*",2,,,L3476,
166.1344,0.0005,166.134527,3,,,557.1341,60749.318,4s2.4p2,3P,1,4s2.4p.9s,"(1/2,1/2)*",1,,,L3476,
166.35393,0.00010,166.3540,4r,,,1409.9609,61522.73,4s2.4p2,3P,2,4s2.4p.8d,"(1/2,5/2)*",3,,,L187,
166.5275,0.0005,166.527511,10h,,,557.1341,60607.272,4s2.4p2,3P,1,4s2.4p.6d,"(3/2,3/2)*",0,,,L3476,
166.7799,0.0005,166.780150,4,,,557.1341,60516.308,4s2.4p2,3P,1,4s2.4p.7d,"(1/2,5/2)*",2,,,L3476,
167.0606,0.0005,167.0608,3r,,,1409.9609,61268.39,4s2.4p2,3P,2,4s2.4p.6d,"(3/2,5/2)*",3,,,L3476,
169.1092,0.0005,169.108967,100r,,,557.1341,59690.604,4s2.4p2,3P,1,4s2.4p.6d,"(1/2,5/2)*",2,,,L3476,
171.6781,0.0005,171.678447,200r,,,1409.9609,59658.391,4s2.4p2,3P,2,4s2.4p.6d,"(1/2,5/2)*",3,,,L3476,
173.9102,0.0005,173.910243,100h,,,557.1341,58058.060,4s2.4p2,3P,1,4s2.4p.5d,1P*,1,,,L3476,
174.2194,0.0005,174.219512,100,,,0.0000,57398.852,4s2.4p2,3P,0,4s2.4p.5d,3P*,1,,,L3476,
174.60651,0.00010,174.6059,50,,,557.1341,57828.98,4s2.4p2,3P,1,4s2.4p.5d,3P*,0,,,L187,
175.0044,0.0005,175.004321,200,,,1409.9609,58551.407,4s2.4p2,3P,2,4s2.4p.5d,*,2,,,L3476,
175.8279,0.0005,175.827917,100,,,557.1341,57430.924,4s2.4p2,3P,1,4s2.4p.5d,3P*,2,,,L3476,
176.4187,0.0005,176.418521,100h,,,1409.9609,58093.352,4s2.4p2,3P,2,4s2.4p.5d,1F*,3,,,L3476,
176.5284,0.0005,176.528430,100h,,,1409.9609,58058.060,4s2.4p2,3P,2,4s2.4p.5d,1P*,1,,,L3476,
176.64330,0.00010,176.6433,50,,,557.1341,57168.39,4s2.4p2,3P,1,4s2.4p.7s,"(1/2,1/2)*",0,,,L187,
177.4175,0.0005,177.417546,200,,,557.1341,56921.345,4s2.4p2,3P,1,4s2.4p.5d,*,2,,,L3476,
178.5045,0.0005,178.504607,200,,,1409.9609,57430.924,4s2.4p2,3P,2,4s2.4p.5d,3P*,2,,,L3476,
179.3071,0.0005,179.307109,100h,,,1409.9609,57180.198,4s2.4p2,3P,2,4s2.4p.7s,"(1/2,1/2)*",1,,,L3476,
180.1434,0.0005,180.143229,75h,,,1409.9609,56921.345,4s2.4p2,3P,2,4s2.4p.5d,*,2,,,L3476,
184.1327,0.0005,184.132754,200h,,,1409.9609,55718.604,4s2.4p2,3P,2,4s2.4p.5d,3D*,3,,,L3476,
184.2408,0.0005,184.2410,200h,,,1409.9609,55686.70,4s2.4p2,3P,2,4s2.4p.5d,3F*,2,,,L3476,
