obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
520.5930,0.0020,520.5948,0.0015,10,,,13993.94,33197.39,7s.6d,3D,2,6d.7p,3D*,3,,,L3527,
526.396,0.005,,,4,,,,,,,,,,,,,L3527,
527.791,0.005,527.7849,0.0008,2,,,13999.3569,32941.20,7s.7p,3P*,1,7p2?,3P,2,,,L3527,
528.3280,0.0020,528.3277,0.0014,10,,,13078.40,32000.78,7s.7p,3P*,0,7s.7d,3D,1,,,L3527,
532.0290,0.0020,532.0290,0.0014,10,,,13715.779,32506.52,7s.6d,3D,1,6d.7p,3D*,2,,,L3527,
539.9800,0.0020,539.9784,0.0014,10,,,13715.779,32229.89,7s.6d,3D,1,6d.7p,3D*,1,,,L3527,
540.0230,0.0020,540.0231,0.0013,20,3.4e+07,D+,13993.94,32506.52,7s.6d,3D,2,6d.7p,3D*,2,,T8060,L3527,
540.6810,0.0020,540.6796,0.0016,20,4.2e+07,D+,14707.29,33197.39,7s.6d,3D,3,6d.7p,3D*,3,,T8060,L3527,
548.2130,0.0020,548.2150,0.0015,8,,,13993.94,32229.89,7s.6d,3D,2,6d.7p,3D*,1,,,L3527,
548.832,0.005,548.8334,0.0017,4,,,13999.3569,32214.76,7s.7p,3P*,1,7p2?,1D,2,,,L3527,
549.783,0.005,,,2,,,,,,,,,,,,,L3527,
550.1980,0.0020,550.1985,0.0018,10,,,13078.40,31248.61,7s.7p,3P*,0,7p2?,3P,1,,,L3527,
550.550,0.005,550.5542,0.0024,4,,,13715.779,31874.25,7s.6d,3D,1,7s.8p,3P*,2,,,"L3527,L15862",
554.425,0.005,,,3,,,,,,,,,,,,,L3527,
555.3570,0.0020,555.3574,0.0015,10,,,13999.3569,32000.78,7s.7p,3P*,1,7s.7d,3D,1,,,L3527,
555.5850,0.0020,555.5852,0.0018,20,4.3e+07,D+,13999.3569,31993.40,7s.7p,3P*,1,7s.7d,3D,2,,T8060,L3527,
559.115,0.005,559.1192,0.0024,2,,,13993.94,31874.25,7s.6d,3D,2,7s.8p,3P*,2,,,"L3527,L15862",
560.150,0.005,560.143,0.003,5,,,13715.779,31563.40,7s.6d,3D,1,7s.8p,3P*,1,,,L3527,
