obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
78.0390,0.0015,78.03935+,15,,,0.000,128140.48,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2D,5/2,,,L7481,
78.0519,0.0030,78.05422+,10*,,,404.141,128520.22,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3d,2P,1/2,,,L7481,
78.0519,0.0030,78.05235+,10*,,,404.141,128523.28,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3d,4P,3/2,,,L7481,
78.0519,0.0030,78.05017+,10*,,,0.000,128122.72,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4D,3/2,,,L7481,
78.2378,0.0015,78.23766+,10,,,404.141,128219.83,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3d,2D,3/2,,,L7481,
79.1875,0.0015,79.18749+,12,,,0.000,126282.58,2s2.2p5,2P*,3/2,2s2.2p4.(3P).4s,2P,3/2,,,L7481,
79.2536,0.0015,79.25372+,10,,,404.141,126581.18,2s2.2p5,2P*,1/2,2s2.2p4.(3P).4s,2P,1/2,,,L7481,
79.4417,0.0030,79.44245+,10*,,,0.000,125877.28,2s2.2p5,2P*,3/2,2s2.2p4.(3P).4s,4P,3/2,,,L7481,
79.4417,0.0030,79.44172+,10*,,,404.141,126282.58,2s2.2p5,2P*,1/2,2s2.2p4.(3P).4s,2P,3/2,,,L7481,
80.6970,0.0005,80.696474+,150*,,,0.000,123921.152,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3s,2D,3/2,,,L7481,
80.6970,0.0005,80.697051+,150*,3.13e+08,B,0.000,123920.265,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3s,2D,5/2,,"T7663,T2177",L7481,
80.9607,0.0005,80.960508+,125,2.64e+08,B,404.141,123921.152,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3s,2D,3/2,,"T7663,T2177",L7481,
95.1871,0.0003,95.18707+,500,2.42e+08,B+,0.000,105056.28,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,2P,1/2,,"T7663,T7574",L7481,
95.4825,0.0003,95.48267+,1000,5.98e+08,B+,0.000,104731.05,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,2P,3/2,,"T7663,T7574",L7481,
95.5545,0.0003,95.55466+,750,4.74e+08,B+,404.141,105056.28,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,2P,1/2,,"T7663,T7574",L7481,
95.8524,0.0003,95.85255+,500,1.15e+08,B+,404.141,104731.05,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,2P,3/2,,"T7663,T7574",L7481,
97.2401,0.0003,97.23807+,20,,,0.000,102840.38,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,4P,1/2,,,L7481,
97.3895,0.0003,97.38953+,350,,,0.000,102680.44,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,4P,3/2,,,L7481,
97.6217,0.0003,97.62170+,100,,,404.141,102840.38,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,4P,1/2,,,L7481,
97.6505,0.0003,97.65080+,40,,,0.000,102405.71,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,4P,5/2,,,L7481,
97.7745,0.0003,97.77436+,100,,,404.141,102680.44,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,4P,3/2,,,L7481,
obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
359.4103,0.0010,359.4104+,6,,,102405.71,130221.12,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).4p,4S*,3/2,,,L7481,
366.8174,0.0010,366.8170+,12,,,102405.71,129659.50,2s2.2p4.(3P).3s,4P,5/2,2s2.2p4.(3P).4p,4D*,7/2,,,L7481,
389.8478,0.0010,389.8472+,5,,,104731.05,130374.86,2s2.2p4.(3P).3s,2P,3/2,2s2.2p4.(3P).4p,2P*,3/2,,,L7481,
393.0689,0.0010,393.0686+,8,,,105056.28,130489.93,2s2.2p4.(3P).3s,2P,1/2,2s2.2p4.(3P).4p,2P*,1/2,,,L7481,
393.4262,0.0010,393.4252+,5,,,104731.05,130141.65,2s2.2p4.(3P).3s,2P,3/2,2s2.2p4.(3P).4p,2D*,3/2,,,L7481,
394.8563,0.0010,394.8551+,5,,,105056.28,130374.86,2s2.2p4.(3P).3s,2P,1/2,2s2.2p4.(3P).4p,2P*,3/2,,,L7481,
496.065,0.003,496.066+,6,,,115917.91,136070.88,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).5d,4D,7/2,,,L7481,
523.041,0.003,523.040+,15,,,116987.39,136101.06,2s2.2p4.(3P).3p,4D*,7/2,2s2.2p4.(3P).5d,4F,9/2,,,L7481,
527.901,0.003,527.902+,12,,,117164.01,136101.65,2s2.2p4.(3P).3p,4D*,5/2,2s2.2p4.(3P).5d,2F,7/2,,,L7481,
554.052,0.003,554.051+,18,,,116040.88,134084.75,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).4d,2F,5/2,,,L7481,
555.243,0.003,555.242+,12,,,115917.91,133923.07,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).4d,4F,7/2,,,L7481,
557.733,0.003,557.731+,10,,,116040.88,133965.68,2s2.2p4.(3P).3p,4P*,3/2,2s2.2p4.(3P).4d,4P,5/2,,,L7481,
562.406,0.003,562.403+,20,,,116143.58,133919.49,2s2.2p4.(3P).3p,4P*,1/2,2s2.2p4.(3P).4d,4P,3/2,,,L7481,
562.693,0.003,562.691+,12,,,116143.58,133910.39,2s2.2p4.(3P).3p,4P*,1/2,2s2.2p4.(3P).4d,2P,1/2,,,L7481,
565.915,0.003,565.913+,15,,,115917.91,133583.57,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).4d,2D,5/2,,,L7481,
566.7532,0.0010,566.752+,40,,,115917.91,133557.43,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).4d,4D,5/2,,,L7481,
567.1668,0.0010,567.166+,90,,,115917.91,133544.54,2s2.2p4.(3P).3p,4P*,5/2,2s2.2p4.(3P).4d,4D,7/2,,,L7481,
