obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
351.47134,0.00012,351.47119,0.00005,530,6.0e+05,C+,15501.8344,43945.534,5d8.6s2,3F,2,5d8.6s.(4P).6p,a 5P*,3,,T3313n,L11529,
351.61820,0.00020,351.61830,0.00012,17,,,38536.1439,66967.944,5d8.6s.(4F).6p,b 5F*,5,5d8.(3F<4>).6s.8s.(3S<1>),"(4,1)",5,,,L11529,
352.35752,0.00021,352.35751,0.00010,95hfs,,,36296.294,64668.449,5d8.6s.(4F).6p,a 5G*,4,5d8.(3F<4>).6s.6d.(3D<?>),"b (4,?)",4,,,L11529,
352.85348,0.00020,352.85380,0.00004,480,,,21967.101,50299.3510,5d8.6s2,1G,4,5d7.(4F).6s2.6p,a 3G*,5,,,L11529,
353.17516,0.00012,353.17513,0.00005,44l,1.2e+05,C,13496.2595,41802.733,5d9.6s,b 1D,2,5d8.6s.(2D).6p,a 3D*,1,,T3313,L11529,
354.38873,0.00013,354.38883,0.00006,20,,,36296.294,64505.827,5d8.6s.(4F).6p,a 5G*,4,5d8.(3F<3>).6s.7s.(3S<1>),"(3,1)",3,,,L6581,
354.50094,0.00013,354.50095,0.00004,21,,,26638.576,54839.1873,5d8.6s2,1D,2,5d8.6s.(4P).6p,a 3D*,3,,,L11529,
354.88143,0.00013,354.88146,0.00005,24,,,32620.0047,60790.380,5d9.6p,a 3P*,2,5d8.(3F<4>).6s.7s.(3S<1>),"(4,1)",3,,,L11529,
355.01696,0.00020,355.01705,0.00011,31,,,40787.8417,68947.458,5d8.6s.(4P).6p,5P*,2,,,3,,,L11529,
355.9871,0.0003,355.98746,0.00010,220hfs,,,36296.294,64379.150,5d8.6s.(4F).6p,a 5G*,4,5d8.(3F<4>).6s.6d,"b (4,?)",5,,,L11529,
356.35851,0.00020,356.35829,0.00014,21,,,37342.089,65395.723,5d9.6p,b 3P*,2,5d9.7d,1D,2,,,L11529,
356.46881,0.00020,356.46878,0.00011,60,,,37342.089,65387.028,5d9.6p,b 3P*,2,5d9.7d,3D,3,,,L11529,
356.49264,0.00020,356.49280,0.00004,24,,,21967.101,50010.1497,5d8.6s2,1G,4,5d8.6s.(2F).6p,a 3F*,4,,,L11529,
356.8316,0.0004,356.83094,0.00014,330hfs,,,36296.294,64312.770,5d8.6s.(4F).6p,a 5G*,4,5d8.(3F<4>).6s.6d.(3D<?>),"a (4,?)",4,,,L11529,
357.33068,0.00020,357.33060,0.00011,37,,,40970.1568,68947.458,5d8.6s.(4F).6p,5G*,3,,,3,,,L11529,
357.78151,0.00020,357.78149,0.00012,46,,,40970.1568,68912.201,5d8.6s.(4F).6p,5G*,3,,z,4,,,L11529,
358.74045,0.00013,358.74045,0.00009,190,5.00e+06,B,18566.5450,46433.898,5d8.6s2,3P,1,5d8.6s.(4P).6p,5D*,0,,T3313,L11529,
358.91981,0.00020,358.92008,0.00006,24,,,18566.5450,46419.952,5d8.6s2,3P,1,5d8.6s.(4P).6p,a 5D*,2,,,L11529,
359.19077,0.00013,359.19079,0.00008,9,,,36296.294,64128.709,5d8.6s.(4F).6p,a 5G*,4,,,5 or 4,,,L11529,
359.65531,0.00020,359.65538,0.00012,10,,,37590.5647,65387.028,5d9.6p,3F*,4,5d9.7d,3D,3,,,L11529,
359.72858,0.00020,359.72871,0.00017,71,,,37342.089,65132.886,5d9.6p,b 3P*,2,5d9.7d,3P,2,,,L11529,
359.75403,0.00020,359.75406,0.00014,15,,,40970.1568,68758.996,5d8.6s.(4F).6p,5G*,3,,y,4,,,L11529,
360.14005,0.00020,360.14004,0.00012,7,,,40516.229,68275.286,5d8.6s.(4F).6p,5D*,2,,,2,,,L11529,
360.41641,0.00013,360.41623,0.00006,10,,,32620.0047,60357.790,5d9.6p,a 3P*,2,5d9.7s,3D,1,,,L11529,
360.4759,0.0020,360.47472,0.00013,4,,,40970.1568,68703.442,5d8.6s.(4F).6p,5G*,3,,x,4,,,L11529,
360.67395,0.00020,360.67400,0.00012,24,,,37590.5647,65308.527,5d9.6p,3F*,4,5d9.7d,3G,4,,,L11529,
361.09063,0.00013,361.09046,0.00005,66,4.8e+05,C,15501.8344,43187.829,5d8.6s2,3F,2,5d8.6s.(4F).6p,5D*,1,,T3313,L11529,
361.5171,0.0020,361.51874,0.00020,3,,,40516.229,68169.426,5d8.6s.(4F).6p,5D*,2,5d9.6d,b 1D,2,,,L11529,
361.5279,0.0020,361.52979,0.00003,10,,,10116.7158,37769.0673,5d8.6s2,3F,3,5d9.6p,3D*,3,,,L11529,
361.98007,0.00020,361.98000,0.00012,42,,,37769.0673,65387.028,5d9.6p,3D*,3,5d9.7d,3D,3,,,L11529,
362.16546,0.00013,362.16529,0.00004,79,4.1e+05,C,18566.5450,46170.3757,5d8.6s2,3P,1,5d9.6p,3F*,2,,T3313,L11529,
362.24709,0.00020,362.24699,0.00012,62,,,36781.545,64379.150,5d8.6s.(4F).6p,5G*,6,5d8.(3F<4>).6s.6d,"b (4,?)",5,,,L11529,
