obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
615.271,0.006,615.26549,0.00003,10*,,,27820.1975,44068.8470,3d4.(5D).4s.4p.(3P*),y 7P*,3,3d5.(6S).4d,e 5D,3,,,L808,
615.271,0.006,615.26820,0.00023,10*,,,33935.613,50184.191,3d4.4s2,c 3D,2,3d5.(4D).4p,w 3D*,2,,,L808,
615.4453,0.0004,615.44432,0.00015,25,,,38730.6379,54974.566,3d4.(5D).4s.4p.(3P*),z 3D*,2,3d4.4s.5s,e 3D,2,,,L9190,
615.9424,0.0013,615.94284,0.00003,1,,,27820.1975,44050.9786,3d4.(5D).4s.4p.(3P*),y 7P*,3,3d5.(6S).4d,e 5D,4,,,L14866,
616.821,0.008,616.8223,0.0019,10w,,,38596.9917,54804.63,3d4.(5D).4s.4p.(3P*),z 3D*,1,3d4.4s.5s,e 3D,1,,,L808,
617.156,0.004,617.1531,0.0004,7,,,33906.539,50105.4904,3d4.4s2,c 3D,1,3d5.(4D).4p,w 3D*,1,,,L808,
617.2040,0.0003,617.20393,0.00011,5,,,33113.212,49310.830,3d5.(2F1).4s,b 3F,4,3d4.(3P1).4s.4p.(3P*),x 3D*,3,,,L14866,
618.7137,0.0004,618.7136,0.0004,3,,,41224.7429,57382.838,3d4.(5D).4s.4p.(1P*),y 5F*,4,3d5.(4G).5s,e 5G,5,,,L14866,
621.952,0.004,621.9509,0.0019,4,,,38730.6379,54804.63,3d4.(5D).4s.4p.(3P*),z 3D*,2,3d4.4s.5s,e 3D,1,,,L808,
622.371,0.004,622.36641,0.00016,7,,,38911.3046,54974.566,3d4.(5D).4s.4p.(3P*),z 3D*,3,3d4.4s.5s,e 3D,2,,,L808,
622.491,0.004,622.48776,0.00009,1,,,31028.2590,47088.389,3d5.(2D3).4s,b 3D,2,3d4.(3P1).4s.4p.(3P*),z 3S*,1,,,L808,
624.992,0.004,624.98771,0.00023,8,,,41393.446,57389.3358,3d4.(5D).4s.4p.(1P*),y 5F*,5,3d5.(4G).5s,e 5G,6,,,L808,
