obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
297.0568,0.0005,297.0565,,,,0.000,33653.80,4p6.5s,2S,1/2,4p6.57p,2P*,3/2,,,L3287,
297.0690,0.0005,297.0688,,,,0.000,33652.41,4p6.5s,2S,1/2,4p6.56p,2P*,3/2,,,L3287,
297.0690,0.0005,297.0688,,,,0.000,33652.41,4p6.5s,2S,1/2,4p6.56p,2P*,1/2,,,L3287,
297.0819,0.0005,297.0817,,,,0.000,33650.95,4p6.5s,2S,1/2,4p6.55p,2P*,3/2,,,L3287,
297.0819,0.0005,297.0817,,,,0.000,33650.95,4p6.5s,2S,1/2,4p6.55p,2P*,1/2,,,L3287,
297.0962,0.0005,297.0960,,,,0.000,33649.33,4p6.5s,2S,1/2,4p6.54p,2P*,1/2,,,L3287,
297.0962,0.0005,297.0960,,,,0.000,33649.33,4p6.5s,2S,1/2,4p6.54p,2P*,3/2,,,L3287,
297.1105,0.0005,297.1102,,,,0.000,33647.72,4p6.5s,2S,1/2,4p6.53p,2P*,3/2,,,L3287,
297.1105,0.0005,297.1102,,,,0.000,33647.72,4p6.5s,2S,1/2,4p6.53p,2P*,1/2,,,L3287,
297.1264,0.0005,297.1258,,,,0.000,33645.96,4p6.5s,2S,1/2,4p6.52p,2P*,3/2,,,L3287,
297.1264,0.0005,297.1258,,,,0.000,33645.96,4p6.5s,2S,1/2,4p6.52p,2P*,1/2,,,L3287,
297.1431,0.0005,297.1429,,,,0.000,33644.02,4p6.5s,2S,1/2,4p6.51p,2P*,3/2,,,L3287,
297.1431,0.0005,297.1429,,,,0.000,33644.02,4p6.5s,2S,1/2,4p6.51p,2P*,1/2,,,L3287,
297.1609,0.0005,297.1606,,,,0.000,33642.01,4p6.5s,2S,1/2,4p6.50p,2P*,1/2,,,L3287,
297.1609,0.0005,297.1606,,,,0.000,33642.01,4p6.5s,2S,1/2,4p6.50p,2P*,3/2,,,L3287,
297.1796,0.0005,297.1794,,,,0.000,33639.89,4p6.5s,2S,1/2,4p6.49p,2P*,3/2,,,L3287,
297.1796,0.0005,297.1794,,,,0.000,33639.89,4p6.5s,2S,1/2,4p6.49p,2P*,1/2,,,L3287,
297.1996,0.0005,297.1993,,,,0.000,33637.63,4p6.5s,2S,1/2,4p6.48p,2P*,3/2,,,L3287,
297.1996,0.0005,297.1993,,,,0.000,33637.63,4p6.5s,2S,1/2,4p6.48p,2P*,1/2,,,L3287,
297.2210,0.0005,297.2207,,,,0.000,33635.21,4p6.5s,2S,1/2,4p6.47p,2P*,1/2,,,L3287,
297.2210,0.0005,297.2207,,,,0.000,33635.21,4p6.5s,2S,1/2,4p6.47p,2P*,3/2,,,L3287,
297.2441,0.0005,297.2491,,,,0.000,33632.00,4p6.5s,2S,1/2,4p6.46p,2P*,3/2,,,L3287,
297.2441,0.0005,297.2491,,,,0.000,33632.00,4p6.5s,2S,1/2,4p6.46p,2P*,1/2,,,L3287,
297.2688,0.0005,297.2685,,,,0.000,33629.80,4p6.5s,2S,1/2,4p6.45p,2P*,3/2,,,L3287,
297.2688,0.0005,297.2685,,,,0.000,33629.80,4p6.5s,2S,1/2,4p6.45p,2P*,1/2,,,L3287,
297.2951,0.0005,297.2948,,,,0.000,33626.83,4p6.5s,2S,1/2,4p6.44p,2P*,1/2,,,L3287,
297.2951,0.0005,297.2948,,,,0.000,33626.83,4p6.5s,2S,1/2,4p6.44p,2P*,3/2,,,L3287,
297.3236,0.0005,297.3233,,,,0.000,33623.61,4p6.5s,2S,1/2,4p6.43p,2P*,3/2,,,L3287,
297.3236,0.0005,297.3233,,,,0.000,33623.61,4p6.5s,2S,1/2,4p6.43p,2P*,1/2,,,L3287,
297.3541,0.0005,297.3539,,,,0.000,33620.15,4p6.5s,2S,1/2,4p6.42p,2P*,1/2,,,L3287,
297.3541,0.0005,297.3539,,,,0.000,33620.15,4p6.5s,2S,1/2,4p6.42p,2P*,3/2,,,L3287,
297.3874,0.0005,297.3872,,,,0.000,33616.38,4p6.5s,2S,1/2,4p6.41p,2P*,3/2,,,L3287,
297.3874,0.0005,297.3872,,,,0.000,33616.38,4p6.5s,2S,1/2,4p6.41p,2P*,1/2,,,L3287,
297.4232,0.0005,297.4230,,,,0.000,33612.34,4p6.5s,2S,1/2,4p6.40p,2P*,3/2,,,L3287,
297.4232,0.0005,297.4230,,,,0.000,33612.34,4p6.5s,2S,1/2,4p6.40p,2P*,1/2,,,L3287,
297.4620,0.0005,297.4617,,,,0.000,33607.96,4p6.5s,2S,1/2,4p6.39p,2P*,1/2,,,L3287,
297.4620,0.0005,297.4617,,,,0.000,33607.96,4p6.5s,2S,1/2,4p6.39p,2P*,3/2,,,L3287,
297.5046,0.0005,297.5044,,,,0.000,33603.14,4p6.5s,2S,1/2,4p6.38p,2P*,1/2,,,L3287,
297.5046,0.0005,297.5044,,,,0.000,33603.14,4p6.5s,2S,1/2,4p6.38p,2P*,3/2,,,L3287,
297.5505,0.0005,297.5503,,,,0.000,33597.96,4p6.5s,2S,1/2,4p6.37p,2P*,3/2,,,L3287,
297.5505,0.0005,297.5503,,,,0.000,33597.96,4p6.5s,2S,1/2,4p6.37p,2P*,1/2,,,L3287,
297.6006,0.0005,297.6003,,,,0.000,33592.31,4p6.5s,2S,1/2,4p6.36p,2P*,3/2,,,L3287,
297.6006,0.0005,297.6003,,,,0.000,33592.31,4p6.5s,2S,1/2,4p6.36p,2P*,1/2,,,L3287,
297.6555,0.0005,297.6553,,,,0.000,33586.11,4p6.5s,2S,1/2,4p6.35p,2P*,1/2,,,L3287,
297.6555,0.0005,297.6553,,,,0.000,33586.11,4p6.5s,2S,1/2,4p6.35p,2P*,3/2,,,L3287,
297.7156,0.0005,297.7153,,,,0.000,33579.34,4p6.5s,2S,1/2,4p6.34p,2P*,3/2,,,L3287,
297.7156,0.0005,297.7153,,,,0.000,33579.34,4p6.5s,2S,1/2,4p6.34p,2P*,1/2,,,L3287,
297.7819,0.0005,297.7817,,,,0.000,33571.85,4p6.5s,2S,1/2,4p6.33p,2P*,3/2,,,L3287,
297.7819,0.0005,297.7817,,,,0.000,33571.85,4p6.5s,2S,1/2,4p6.33p,2P*,1/2,,,L3287,
297.8554,0.0005,297.8552,,,,0.000,33563.57,4p6.5s,2S,1/2,4p6.32p,2P*,1/2,,,L3287,
297.8554,0.0005,297.8552,,,,0.000,33563.57,4p6.5s,2S,1/2,4p6.32p,2P*,3/2,,,L3287,
297.9362,0.0005,297.9359,,,,0.000,33554.47,4p6.5s,2S,1/2,4p6.31p,2P*,3/2,,,L3287,
297.9362,0.0005,297.9359,,,,0.000,33554.47,4p6.5s,2S,1/2,4p6.31p,2P*,1/2,,,L3287,
298.0269,0.0005,298.0266,,,,0.000,33544.26,4p6.5s,2S,1/2,4p6.30p,2P*,3/2,,,L3287,
298.0269,0.0005,298.0266,,,,0.000,33544.26,4p6.5s,2S,1/2,4p6.30p,2P*,1/2,,,L3287,
298.1278,0.0005,298.1275,,,,0.000,33532.91,4p6.5s,2S,1/2,4p6.29p,2P*,1/2,,,L3287,
298.1278,0.0005,298.1275,,,,0.000,33532.91,4p6.5s,2S,1/2,4p6.29p,2P*,3/2,,,L3287,
298.2406,0.0005,298.2404,,,,0.000,33520.22,4p6.5s,2S,1/2,4p6.28p,2P*,3/2,,,L3287,
298.2406,0.0005,298.2404,,,,0.000,33520.22,4p6.5s,2S,1/2,4p6.28p,2P*,1/2,,,L3287,
298.3679,0.0005,298.3677,,,,0.000,33505.92,4p6.5s,2S,1/2,4p6.27p,2P*,3/2,,,L3287,
298.3679,0.0005,298.3677,,,,0.000,33505.92,4p6.5s,2S,1/2,4p6.27p,2P*,1/2,,,L3287,
298.5117,0.0005,298.5114,,,,0.000,33489.79,4p6.5s,2S,1/2,4p6.26p,2P*,3/2,,,L3287,
298.5140,0.0005,298.5137,,,,0.000,33489.53,4p6.5s,2S,1/2,4p6.26p,2P*,1/2,,,L3287,
