obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
125.528,,10,,,,,,,,,,,,,L3521,
125.649,,40,,,,,,,,,,,,,L3521,
125.880,,50,,,,,,,,,,,,,L3521,
157.387,,50,,,,,,,,,,,,,L3521,
157.482,,50,,,,,,,,,,,,,L3521,
,158.9173,,4.44e+07,E,0.000,62925.80,3s2.3p2,3P,0,3s2.3p.6d,3D*,1,,T6066LS,,
,159.1123,,3.32e+07,E,77.115,62925.80,3s2.3p2,3P,1,3s2.3p.6d,3D*,1,,T6066LS,,
159.241,,50,,,,,,,,,,,,,L3521,
159.455,,150,,,,,,,,,,,,,L3521,
,159.4566,,7.91e+07,D,223.157,62936.14,3s2.3p2,3P,2,3s2.3p.6d,3D*,3,,T6066LS,,
,159.4829,,2.19e+06,E,223.157,62925.80,3s2.3p2,3P,2,3s2.3p.6d,3D*,1,,T6066LS,,
159.493,,50,,,,,,,,,,,,,L3521,
,159.4950,,5.92e+07,E,77.115,62774.99,3s2.3p2,3P,1,3s2.3p.6d,3D*,2,,T6066LS,,
159.795,,30,,,,,,,,,,,,,L3521,
,159.8674,,1.96e+07,E,223.157,62774.99,3s2.3p2,3P,2,3s2.3p.6d,3D*,2,,T6066LS,,
162.287,,100,,,,,,,,,,,,,L3521,
162.571,162.5705,30,7.16e+07,E,0.000,61511.77,3s2.3p2,3P,0,3s2.3p.5d,3D*,1,,T8363,L3521,
,162.7746,,5.34e+07,E,77.115,61511.77,3s2.3p2,3P,1,3s2.3p.5d,3D*,1,,T8363,,
162.943,162.9441,300,8.73e+07,C,77.115,61447.86,3s2.3p2,3P,1,3s2.3p.5d,3D*,2,,T5071,L3521,
162.992,,200,,,,,,,,,,,,,L3521,
,162.9948,,2.11e+08,C,223.157,61574.814,3s2.3p2,3P,2,3s2.3p.5d,3D*,3,,T5071,,
163.113,,75,,,,,,,,,,,,,L3521,
,163.1624,,3.54e+06,E,223.157,61511.77,3s2.3p2,3P,2,3s2.3p.5d,3D*,1,,T8363,,
,163.3328,,1.12e+07,D,223.157,61447.86,3s2.3p2,3P,2,3s2.3p.5d,3D*,2,,T5071,,
163.398,,50,,,,,,,,,,,,,L3521,
165.335,,30w,,,,,,,,,,,,,L3521,
,166.0475,,7.67e+06,D,77.115,60300.860,3s2.3p2,3P,1,3s2.3p.5d,1D*,2,,T5071,,
166.452,,30,,,,,,,,,,,,,L3521,
166.637,166.6376,50,1.75e+07,D,0.000,60010.458,3s2.3p2,3P,0,3s2.3p.nd,a 3P*,1,,T5071,L3521,
166.762,166.7629,100,8.27e+07,E,77.115,60042.50,3s2.3p2,3P,1,3s2.3p.nd,a 3P*,0,,T8363,L3521,
166.852,166.8520,100,2.58e+07,D,77.115,60010.458,3s2.3p2,3P,1,3s2.3p.nd,a 3P*,1,,T5071,L3521,
,167.1117,,8.30e+06,D,77.115,59917.336,3s2.3p2,3P,1,3s2.3p.nd,a 3P*,2,,T5071,,
167.259,167.2596,100,3.09e+07,D+,223.157,60010.458,3s2.3p2,3P,2,3s2.3p.nd,a 3P*,1,,T5071,L3521,
167.520,167.5205,200,6.41e+07,C,223.157,59917.336,3s2.3p2,3P,2,3s2.3p.nd,a 3P*,2,,T5071,L3521,
168.268,,30,,,,,,,,,,,,,L3521,
168.682,,30,,,,,,,,,,,,,L3521,
168.929,,50w,,,,,,,,,,,,,L3521,
,168.944,,2.20e+01,D,0.000,59191.072,3s2.3p2,3P,0,3s2.3p.(2P*<3/2>).4f,2[3/2],2,E2,T5785,,
169.079,,30w,,,,,,,,,,,,,L3521,
,169.1648,,4.38e+00,D,77.115,59191.072,3s2.3p2,3P,1,3s2.3p.(2P*<3/2>).4f,2[3/2],2,E2,T5785,,
,169.1665,,8.62e+01,D+,77.115,59190.46,3s2.3p2,3P,1,3s2.3p.(2P*<3/2>).4f,2[3/2],1,E2,T5785,,
,169.174,,1.31e-02,E,0.000,59110.892,3s2.3p2,3P,0,3s2.3p.(2P*<3/2>).4f,2[5/2],2,E2,T5785,,
169.329,169.3293,50,6.75e+07,D+,0.000,59056.508,3s2.3p2,3P,0,3s2.3p.4d,3D*,1,,T5071,L3521,
,169.3945,,3.20e+01,D+,77.115,59110.892,3s2.3p2,3P,1,3s2.3p.(2P*<3/2>).4f,2[5/2],2,E2,T5785,,
,169.3972,,4.31e+00,D,77.115,59109.959,3s2.3p2,3P,1,3s2.3p.(2P*<3/2>).4f,2[5/2],3,E2,T5785,,
169.551,169.5507,50,3.97e+07,D+,77.115,59056.508,3s2.3p2,3P,1,3s2.3p.4d,3D*,1,,T5071,L3521,
,169.5837,,3.55e+01,D+,223.157,59191.072,3s2.3p2,3P,2,3s2.3p.(2P*<3/2>).4f,2[3/2],2,E2,T5785,,
,169.5855,,2.84e+01,D,223.157,59190.46,3s2.3p2,3P,2,3s2.3p.(2P*<3/2>).4f,2[3/2],1,E2,T5785,,
,169.6126,,1.97e+01,D,77.115,59034.988,3s2.3p2,3P,1,3s2.3p.(2P*<3/2>).4f,2[7/2],3,E2,T5785,,
169.620,169.6207,200,1.22e+08,C,77.115,59032.19,3s2.3p2,3P,1,3s2.3p.4d,3D*,2,,T5071,L3521,
169.794,169.7941,200,1.38e+08,C,223.157,59118.03,3s2.3p2,3P,2,3s2.3p.4d,3D*,3,,T5071,L3521,
