obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
53.028,0.004,53.028,0.004,15a,,,0.0000,188580,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).14d,1P*,1,,,L4256,
53.057,0.004,53.057,0.004,15a,,,0.0000,188477,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).13d,1P*,1,,,L4256,
53.100,0.004,53.100,0.004,15a,,,0.0000,188324,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).12d,1P*,1,,,L4256,
53.155,0.004,53.155,0.004,2a,,,0.0000,188129,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).11d,1P*,1,,,L4256,
53.231,0.004,53.231,0.004,2a,,,0.0000,187860,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).10d,1P*,1,,,L4256,
53.301,0.004,53.301,0.004,70a,,,0.0000,187614,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).11s,1P*,1,,,L4256,
53.333,0.004,53.333,0.004,2a,,,0.0000,187501,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).9d,1P*,1,,,L4256,
53.437,0.004,53.437,0.004,2a,,,0.0000,187136,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).10s,1P*,1,,,L4256,
53.496,0.004,53.496,0.004,2a,,,0.0000,186930,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).8d,1P*,1,,,L4256,
53.673,0.004,53.673,0.004,2a,,,0.0000,186313,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).9s,1P*,1,,,L4256,
53.735,0.004,53.735,0.004,2a,,,0.0000,186098,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).7d,1P*,1,,,L4256,
53.992,0.010,53.992,0.009,2aBq,,,0.0000,185213,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).8s,1P*,1,,,L4256,
54.157,0.004,54.157,0.004,2a,,,0.0000,184648,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).6d,1P*,1,,,L4256,
