obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
40.5774,,,"a,w",,,,,,,,,,,,,L6851,
40.6170,,,a,,,,,,,,,,,,,L6851,
40.6764,,,a,,,,,,,,,,,,,L6851,
40.9259,,,"a,w",,,,,,,,,,,,,L6851,
40.9760,,,a,,,,,,,,,,,,,L6851,
41.1016,,,"a,w",,,,,,,,,,,,,L6851,
42.2514,42.2515,0.0007,a,,,0.0000,236678,3p6.4s,2S,1/2,3p5.3d.(1P*).23s,2P*,"1/2,3/2",,,L6851,
42.2567,42.2567,0.0007,a,,,0.0000,236649,3p6.4s,2S,1/2,3p5.3d.(1P*).22s,2P*,"1/2,3/2",,,L6851,
42.2634,42.2633,0.0007,a,,,0.0000,236612,3p6.4s,2S,1/2,3p5.3d.(1P*).21s,2P*,"1/2,3/2",,,L6851,
42.2710,42.2710,0.0007,a,,,0.0000,236569,3p6.4s,2S,1/2,3p5.3d.(1P*).20s,2P*,"1/2,3/2",,,L6851,
42.2803,42.2803,0.0007,a,,,0.0000,236517,3p6.4s,2S,1/2,3p5.3d.(1P*).19s,2P*,"1/2,3/2",,,L6851,
42.2909,42.2910,0.0007,a,,,0.0000,236457,3p6.4s,2S,1/2,3p5.3d.(1P*).18s,2P*,"1/2,3/2",,,L6851,
42.3042,42.3042,0.0007,a,,,0.0000,236383,3p6.4s,2S,1/2,3p5.3d.(1P*).17s,2P*,"1/2,3/2",,,L6851,
42.3191,42.3191,0.0007,a,,,0.0000,236300,3p6.4s,2S,1/2,3p5.3d.(1P*).16s,2P*,"1/2,3/2",,,L6851,
42.3374,42.3374,0.0007,"a,w",,,0.0000,236198,3p6.4s,2S,1/2,3p5.3d.(1P*).15s,2P*,"1/2,3/2",,,L6851,
42.3603,42.3603,0.0007,"a,w",,,0.0000,236070,3p6.4s,2S,1/2,3p5.3d.(1P*).14s,2P*,"1/2,3/2",,,L6851,
42.3862,42.3862,0.0007,"a,w",,,0.0000,235926,3p6.4s,2S,1/2,3p5.3d.(1P*).13s,2P*,"1/2,3/2",,,L6851,
42.4227,42.4227,0.0007,"a,w",,,0.0000,235723,3p6.4s,2S,1/2,3p5.3d.(1P*).12s,2P*,"1/2,3/2",,,L6851,
42.4715,42.4715,0.0007,"a,w",,,0.0000,235452,3p6.4s,2S,1/2,3p5.3d.(1P*).11s,2P*,"1/2,3/2",,,L6851,
43.6251,,,a,,,,,,,,,,,,,L6851,
43.6424,,,a,,,,,,,,,,,,,L6851,
43.6626,,,a,,,,,,,,,,,,,L6851,
43.6901,,,"a,w",,,,,,,,,,,,,L6851,
43.7230,,,"a,w",,,,,,,,,,,,,L6851,
43.7645,,,"a,w",,,,,,,,,,,,,L6851,
43.7880,,,a,,,,,,,,,,,,,L6851,
44.8920,,,"a,w",,,,,,,,,,,,,L6851,
45.0074,,,"a,w",,,,,,,,,,,,,L6851,
45.1493,,,a,,,,,,,,,,,,,L6851,
45.1798,,,a,,,,,,,,,,,,,L6851,
45.2631,,,"a,w",,,,,,,,,,,,,L6851,
45.3085,,,a,,,,,,,,,,,,,L6851,
45.3208,,,a,,,,,,,,,,,,,L6851,
45.3311,,,a,,,,,,,,,,,,,L6851,
45.3467,,,a,,,,,,,,,,,,,L6851,
45.3667,,,a,,,,,,,,,,,,,L6851,
45.4033,,,a,,,,,,,,,,,,,L6851,
45.4518,,,a,,,,,,,,,,,,,L6851,
45.4548,,,a,,,,,,,,,,,,,L6851,
45.5097,,,"a,w",,,,,,,,,,,,,L6851,
45.5503,,,"a,w",,,,,,,,,,,,,L6851,
45.5629,,,a,,,,,,,,,,,,,L6851,
45.8586,,,a,,,,,,,,,,,,,L6851,
45.8613,,,a,,,,,,,,,,,,,L6851,
45.8646,,,a,,,,,,,,,,,,,L6851,
45.8683,,,a,,,,,,,,,,,,,L6851,
45.8719,,,a,,,,,,,,,,,,,L6851,
45.8766,,,a,,,,,,,,,,,,,L6851,
45.8816,,,a,,,,,,,,,,,,,L6851,
45.8875,,,a,,,,,,,,,,,,,L6851,
45.8945,,,a,,,,,,,,,,,,,L6851,
45.9029,,,a,,,,,,,,,,,,,L6851,
45.9128,,,a,,,,,,,,,,,,,L6851,
45.9251,,,a,,,,,,,,,,,,,L6851,
45.9401,,,a,,,,,,,,,,,,,L6851,
45.9581,,,a,,,,,,,,,,,,,L6851,
45.9800,,,a,,,,,,,,,,,,,L6851,
46.0079,,,a,,,,,,,,,,,,,L6851,
46.0365,,,"a,d",,,,,,,,,,,,,L6851,
46.0568,,,"a,w",,,,,,,,,,,,,L6851,
46.1030,,,a,,,,,,,,,,,,,L6851,
46.1765,,,a,,,,,,,,,,,,,L6851,
46.2763,,,a,,,,,,,,,,,,,L6851,
46.4441,,,"a,w",,,,,,,,,,,,,L6851,
46.6246,,,a,,,,,,,,,,,,,L6851,
46.6695,,,a,,,,,,,,,,,,,L6851,
46.7160,46.7161,0.0007,"a,w",,,0.0000,214059,3p6.4s,2S,1/2,3p5.3d.(1P*).5s,2P*,"1/2,3/2",,,L6851,
46.7416,,,a,,,,,,,,,,,,,L6851,
46.8420,,,a,,,,,,,,,,,,,L6851,
46.8666,,,a,,,,,,,,,,,,,L6851,
46.8729,,,a,,,,,,,,,,,,,L6851,
46.9028,,,a,,,,,,,,,,,,,L6851,
46.9875,,,a,,,,,,,,,,,,,L6851,
46.9988,,,a,,,,,,,,,,,,,L6851,
47.0244,,,a,,,,,,,,,,,,,L6851,
47.0590,,,a,,,,,,,,,,,,,L6851,
47.1105,,,a,,,,,,,,,,,,,L6851,
47.1669,,,"a,w",,,,,,,,,,,,,L6851,
47.2145,,,"a,w",,,,,,,,,,,,,L6851,
47.2271,,,"a,w",,,,,,,,,,,,,L6851,
47.2955,,,"a,w",,,,,,,,,,,,,L6851,
47.3533,,,"a,w",,,,,,,,,,,,,L6851,
47.4460,,,"a,w",,,,,,,,,,,,,L6851,
47.5540,,,"a,w",,,,,,,,,,,,,L6851,
47.5988,,,"a,w",,,,,,,,,,,,,L6851,
47.6603,,,"a,w",,,,,,,,,,,,,L6851,
48.3941,,,"a,w",,,,,,,,,,,,,L6851,
48.8166,,,a,,,,,,,,,,,,,L6851,
48.8209,,,a,,,,,,,,,,,,,L6851,
48.8255,,,a,,,,,,,,,,,,,L6851,
48.8312,,,a,,,,,,,,,,,,,L6851,
48.8335,,,a,,,,,,,,,,,,,L6851,
48.8378,,,a,,,,,,,,,,,,,L6851,
48.8451,,,a,,,,,,,,,,,,,L6851,
48.8574,,,"a,w",,,,,,,,,,,,,L6851,
48.8677,,,"a,w",,,,,,,,,,,,,L6851,
48.8819,,,"a,w",,,,,,,,,,,,,L6851,
48.9208,,,"a,w",,,,,,,,,,,,,L6851,
48.9433,,,"a,w",,,,,,,,,,,,,L6851,
49.2303,,,"a,w",,,,,,,,,,,,,L6851,
49.3166,,,"a,w",,,,,,,,,,,,,L6851,
49.6632,49.6633,0.0007,a*,,,0.0000,201356,3p6.4s,2S,1/2,3p5.4s.(1P*).32d,2P*,"1/2,3/2",,,L6851,
49.6632,49.6633,0.0007,a*,,,0.0000,201356,3p6.4s,2S,1/2,3p5.4s.(1P*).33s,2P*,"1/2,3/2",,,L6851,
