obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 10
237.442,,60,,,,,,,L3475,
238.417,,60,,,,,,,L3475,
238.801,,50,,,,,,,L3475,
238.921,,50,,,,,,,L3475,
240.552,,45,,,,,,,L3475,
253.965,,90,,,,,,,L3475,
255.051,,45,,,,,,,L3475,
255.643,,45,,,,,,,L3475,
256.745,,60,,,,,,,L3475,
258.965,,22,,,,,,,L3475,
260.943,,45,,,,,,,L3475,
263.542,,80,,,,,,,L3475,
264.778,,55,,,,,,,L3475,
265.869,,70,,,,,,,L3475,
268.775,,90,,,,,,,L3475,
269.292,,22,,,,,,,L3475,
272.547,,140,,,,,,,L3475,
277.404,,170bl,,,,,,,L3475,
279.014,,200,,,,,,,L3475,
279.204,,120,,,,,,,L3475,
281.490,,620,,,,,,,L3475,
283.723,,710,,,,,,,L3475,
284.852,,350,,,,,,,L3475,
287.598,,490,,,,,,,L3475,
289.226,,120,,,,,,,L3475,
296.087,,320,,,,,,,L3475,
296.919,,120,,,,,,,L3475,
298.539,,820,,,,,,,L3475,
300.537,,100,,,,,,,L3475,
300.550,,160,,,,,,,L3475,
301.175,,820,,,,,,,L3475,
302.952,,880,,,,,,,L3475,
304.583,,100,,,,,,,L3475,
308.534,,110,,,,,,,L3475,
309.480,,110,,,,,,,L3475,
309.582,,110,,,,,,,L3475,
310.837,,110,,,,,,,L3475,
312.074,,350,,,,,,,L3475,
313.111,,140,,,,,,,L3475,
313.207,,350,,,,,,,L3475,
313.323,,110,,,,,,,L3475,
313.696,,180,,,,,,,L3475,
313.980,,140,,,,,,,L3475,
314.882,,180,,,,,,,L3475,
315.782,,320,,,,,,,L3475,
319.121,,540,,,,,,,L3475,
321.201,,540,,,,,,,L3475,
323.412,,630,,,,,,,L3475,
325.039,,320,,,,,,,L3475,
325.428,,200,,,,,,,L3475,
326.011,,200,,,,,,,L3475,
326.966,,190,,,,,,,L3475,
328.273,,320bl,,,,,,,L3475,
335.366,,130,,,,,,,L3475,
336.046,,150,,,,,,,L3475,
337.059,,150,,,,,,,L3475,
341.466,,380,,,,,,,L3475,
344.736,,600,,,,,,,L3475,
345.591,,200,,,,,,,L3475,
347.119,,600,,,,,,,L3475,
347.879,,200,,,,,,,L3475,
350.932,,1000,,,,,,,L3475,
351.960,,2000,,,,,,,L3475,
353.322,,440,,,,,,,L3475,
353.516,,210,,,,,,,L3475,
354.768,,1800,,,,,,,L3475,
354.974,,210,,,,,,,L3475,
355.046,,630,,,,,,,L3475,
356.610,,1100,,,,,,,L3475,
356.888,,210,,,,,,,L3475,
357.579,,1100,,,,,,,L3475,
358.629,,880,,,,,,,L3475,
360.119,,3500,,,,,,,L3475,
362.386,,1100,,,,,,,L3475,
363.415,,320,,,,,,,L3475,
366.120,,260,,,,,,,L3475,
366.365,,1100,,,,,,,L3475,
376.439,,480,,,,,,,L3475,
376.672,,480,,,,,,,L3475,
378.054,,720,,,,,,,L3475,
379.140,,560,,,,,,,L3475,
382.241,,560,,,,,,,L3475,
383.596,,2200,,,,,,,L3475,
384.701,,550,,,,,,,L3475,
384.925,,550,,,,,,,L3475,
386.387,,2900,,,,,,,L3475,
386.434,,770,,,,,,,L3475,
387.760,,990,,,,,,,L3475,
387.905,,200,,,,,,,L3475,
388.542,,1500,,,,,,,L3475,
389.032,,2900,,,,,,,L3475,
389.138,,2000,,,,,,,L3475,
390.052,,400,,,,,,,L3475,
392.179,,610,,,,,,,L3475,
392.953,,1200,,,,,,,L3475,
396.666,,490,,,,,,,L3475,
396.826,,990,,,,,,,L3475,
397.350,,660,,,,,,,L3475,
397.529,,200,,,,,,,L3475,
398.160,,200w,,,,,,,L3475,
400.760,,200,,,,,,,L3475,
401.225,,200,,,,,,,L3475,
402.398,,400,,,,,,,L3475,
402.492,,770,,,,,,,L3475,
402.720,,990,,,,,,,L3475,
402.895,,240,,,,,,,L3475,
403.004,,490,,,,,,,L3475,
403.589,,400,,,,,,,L3475,
404.222,,240,,,,,,,L3475,
404.358,,610,,,,,,,L3475,
404.456,,490,,,,,,,L3475,
405.048,,200,,,,,,,L3475,
405.503,,770,,,,,,,L3475,
405.571,,600,,,,,,,L3475,
406.153,,330,,,,,,,L3475,
406.416,,1500,,,,,,,L3475,
407.270,,2000,,,,,,,L3475,
407.493,,310,,,,,,,L3475,
407.653,,200,,,,,,,L3475,
407.831,,240,,,,,,,L3475,
408.122,,2000,,,,,,,L3475,
410.840,,200,,,,,,,L3475,
412.146,,400,,,,,,,L3475,
415.264,,200,,,,,,,L3475,
416.636,,400,,,,,,,L3475,
418.332,,200,,,,,,,L3475,
418.756,,660,,,,,,,L3475,
419.476,,400,,,,,,,L3475,
419.909,,610,,,,,,,L3475,
420.146,,610,,,,,,,L3475,
421.386,,400,,,,,,,L3475,
422.776,,2000,,,,,,,L3475,
423.606,,200,,,,,,,L3475,
423.931,,2000,,,,,,,L3475,
424.034,,770,,,,,,,L3475,
424.120,,770,,,,,,,L3475,
424.169,,1200,,,,,,,L3475,
426.802,,310,,,,,,,L3475,
428.220,,550,,,,,,,L3475,
429.479,,550,,,,,,,L3475,
430.289,,310,,,,,,,L3475,
434.113,,550,,,,,,,L3475,
434.789,,1000,,,,,,,L3475,
436.081,,310,,,,,,,L3475,
436.645,,350,,,,,,,L3475,
441.304,,190,,,,,,,L3475,
442.046,,240,,,,,,,L3475,
442.724,,120,,,,,,,L3475,
443.149,,160,,,,,,,L3475,
445.743,,110,,,,,,,L3475,
446.691,,110,,,,,,,L3475,
447.031,,110,,,,,,,L3475,
447.056,,190,,,,,,,L3475,
450.712,,550,,,,,,,L3475,
453.575,,610,,,,,,,L3475,
454.222,,490,,,,,,,L3475,
