obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
425.376,0.003,425.3707,0.0009,5*,,,62053.7385,85556.03,1s2.2s.3d,3D,1,1s2.2p.3s,3P*,1,,,L7412,
425.412,0.003,425.4085,0.0016,2*,,,62053.7385,85553.94,1s2.2s.3d,3D,1,1s2.2p.3s,3P*,0,,,L7412,
440.7935,0.0010,440.7936,0.0004,19,1.01e+07,B,42565.4502,65245.437,1s2.2s.2p,1P*,1,1s2.2s.4s,1S,0,,u28,L4743,
452.6409,0.0020,452.6406,0.0010,7,,,67034.80,89121.19,1s2.2s.4p,1P*,1,1s2.2p.3p,1P,1,,,L2771,
,,454.8055,0.0014,,1.65e-04,B,0.0000,21981.26,1s2.2s2,1S,0,1s2.2s.2p,3P*,2,M2,T7096c75,,
454.8538,0.0002,454.85379,0.00021,,4.2e-01,E,0.0000,21978.925,1s2.2s2,1S,0,1s2.2s.2p,3P*,1,,T7096c74,L7430,
457.266605,0.000029,457.266603,0.000021,30,7.62e+07,B,42565.4502,64428.4032,1s2.2s.2p,1P*,1,1s2.2s.3d,1D,2,,T7096c74,"L21345,L4743",
470.937,0.002,470.9391,0.0016,2*,,,52080.943,73309.17,1s2.2s.3s,3S,1,1s2.2s.8p,3P*,0,,,L483,
470.937,0.002,470.9394,0.0011,2*,,,52080.943,73309.16,1s2.2s.3s,3S,1,1s2.2s.8p,3P*,1,,,L483,
470.937,0.002,470.9396,0.0009,2*,,,52080.943,73309.15,1s2.2s.3s,3S,1,1s2.2s.8p,3P*,2,,,L483,
484.916,0.002,484.9153,0.0007,3*,,,52080.943,72697.34,1s2.2s.3s,3S,1,1s2.2s.7p,3P*,2,,,L483,
484.916,0.002,484.9153,0.0009,3*,,,52080.943,72697.34,1s2.2s.3s,3S,1,1s2.2s.7p,3P*,1,,,L483,
484.916,0.002,484.9156,0.0014,3*,,,52080.943,72697.33,1s2.2s.3s,3S,1,1s2.2s.7p,3P*,0,,,L483,
,,485.6045,0.0019,,1.03e-06,B,21978.31,42565.4502,1s2.2s.2p,3P*,0,1s2.2s.2p,1P*,1,M1,T7096c75,L5964,
,,485.61897,0.00024,,2.75e-07,B,21978.925,42565.4502,1s2.2s.2p,3P*,1,1s2.2s.2p,1P*,1,E2,T7096c75,,
,,485.61897,0.00024,,7.68e-07,B,21978.925,42565.4502,1s2.2s.2p,3P*,1,1s2.2s.2p,1P*,1,M1,T7096c75,L5964,
,,485.6741,0.0017,,2.41e-07,B,21981.26,42565.4502,1s2.2s.2p,3P*,2,1s2.2s.2p,1P*,1,E2,T7096c75,,
,,485.6741,0.0017,,1.28e-06,B,21981.26,42565.4502,1s2.2s.2p,3P*,2,1s2.2s.2p,1P*,1,M1,T7096c75,L5964,
508.775,0.002,508.7714,0.0008,5*,,,52080.943,71730.66,1s2.2s.3s,3S,1,1s2.2s.6p,3P*,2,,,L483,
508.775,0.002,508.7714,0.0008,5*,,,52080.943,71730.66,1s2.2s.3s,3S,1,1s2.2s.6p,3P*,1,,,L483,
508.775,0.002,508.7719,0.0013,5*,,,52080.943,71730.64,1s2.2s.3s,3S,1,1s2.2s.6p,3P*,0,,,L483,
,,525.007,0.014,,3.1e+05,C,54677.349,[73719.4],1s2.2s.3s,1S,0,1s2.2s.9p,1P*,1,,u28,,
526.1525,0.0020,526.1527,0.0014,5,,,70120.59,89121.19,1s2.2s.5p,1P*,1,1s2.2p.3p,1P,1,,,L2771,
,,536.552,0.014,,3.7e+05,C,54677.349,[73309.7],1s2.2s.3s,1S,0,1s2.2s.8p,1P*,1,,u28,,
,,554.648,0.015,,5.46e+05,C,54677.349,[72701.8],1s2.2s.3s,1S,0,1s2.2s.7p,1P*,1,,u28,,
555.78,0.10,555.881,0.003,*,,,52080.943,[70065.40],1s2.2s.3s,3S,1,1s2.2s.5p,3P*,0,,,L2031,
555.78,0.10,555.881,0.005,*,,,52080.943,[70065.40],1s2.2s.3s,3S,1,1s2.2s.5p,3P*,2,,,L2031,
555.78,0.10,555.881,0.005,*,,,52080.943,[70065.40],1s2.2s.3s,3S,1,1s2.2s.5p,3P*,1,,,L2031,
585.701,0.002,585.7012,0.0021,3,6.99e+05,C,54677.349,71746.17,1s2.2s.3s,1S,0,1s2.2s.6p,1P*,1,,u28,L483,
,,593.771,0.018,,1.2e+05,D,56882.5474,[73719.4],1s2.2p2,1D,2,1s2.2s.9p,1P*,1,,u28,,
,,608.580,0.019,,1.4e+05,D,56882.5474,[73309.7],1s2.2p2,1D,2,1s2.2s.8p,1P*,1,,u28,,
,,608.600,0.003,,1.9e+04,D,56882.5474,73309.16,1s2.2p2,1D,2,1s2.2s.8p,3P*,1,,u28,,
622.9110,0.0020,622.9108,0.0019,3,2.26e+06,B,56882.5474,72931.77,1s2.2p2,1D,2,1s2.2s.7f,1F*,3,,u28,L4743,
