obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
246.055,246.055+,100,,,9253.43,49882.5?,5d3.6s2,a 4P,5/2,,498*,7/2,,,L3475,
247.138,,120,,,,,,,,,,,,,L3475,
247.213,247.2135+,120,,,3963.92,44402.56,5d3.6s2,a 4F,7/2,,444*,9/2,,,L3475,
247.313,247.3124+,150,,,3963.92,44386.40,5d3.6s2,a 4F,7/2,,443*,5/2,,,L3475,
247.462,247.4619+,600*,,,2010.10,42408.16,5d3.6s2,a 4F,5/2,,424*,3/2,,,L3475,
247.462,247.4621+,600*,,,17993.74,58391.76,,179*,5/2,,583,3/2,,,L3475,
247.533,247.5322+,120,,,9758.97,50145.55,5d4.(5D).6s,a 6D,1/2,,501*,3/2,,,L3475,
247.822,247.823+,150,,,0.00,40339.2,5d3.6s2,a 4F,3/2,,403*,3/2,,,L3475,
248.210,248.2122+,100,,,9705.38,49981.32,5d3.6s2,a 2G,7/2,,499*,5/2,,,L3475,
248.495,248.4956+,500,,,0.00,40230.01,5d3.6s2,a 4F,3/2,,402*,3/2,,,L3475,
248.670,248.6709+,120,,,3963.92,44165.58,5d3.6s2,a 4F,7/2,,441*,7/2,,,L3475,
249.046,,500,,,,,,,,,,,,,L3475,
250.445,250.4449+,600,,,3963.92,43880.84,5d3.6s2,a 4F,7/2,,438*,5/2,,,L3475,
250.745,250.7451+,600,,,2010.10,41879.23,5d3.6s2,a 4F,5/2,,418*,5/2,,,L3475,
251.265,251.2658+,240,,,0.00,39786.52,5d3.6s2,a 4F,3/2,,397*,5/2,,,L3475,
252.635,252.6351+,1200D,4.5e+07,D+,2010.10,41580.98,5d3.6s2,a 4F,5/2,5d4.(5D).6p,y 6F*,5/2,,T7871,L3475,
254.680,254.6807+,240,,,0.00,39253.07,5d3.6s2,a 4F,3/2,,392*,3/2,,,L3475,
255.107,255.1064+,460D,,,2010.10,41197.67,5d3.6s2,a 4F,5/2,,411*,3/2,,,L3475,
255.107,255.1097+,460D,5.0e+07,D+,6068.91,45255.98,5d3.6s2,a 4P,3/2,5d4.(5D).6p,x 6D*,5/2,,T7871,L3475,
255.505,255.5055+,240,,,3963.92,43090.28,5d3.6s2,a 4F,7/2,,430*,9/2,,,L3475,
255.943,255.9428+,1200,,,0.00,39059.52,5d3.6s2,a 4F,3/2,,390*,5/2,,,L3475,
256.210,256.209+,460,,,3963.92,42982.8,5d3.6s2,a 4F,7/2,,429*,5/2,,,L3475,
257.354,257.3546+,430,,,0.00,38845.25,5d3.6s2,a 4F,3/2,,388*,1/2,,,L3475,
257.379,257.3794+,390,,,2010.10,40851.61,5d3.6s2,a 4F,5/2,,408*,5/2,,,L3475,
257.778,257.7776+,340,,,5621.04,44402.56,5d3.6s2,a 4F,9/2,,444*,9/2,,,L3475,
258.016,258.0153+,210,,,2010.10,40755.90,5d3.6s2,a 4F,5/2,,407*,7/2,,,L3475,
259.308,259.3085+,430,,,5621.04,44173.62,5d3.6s2,a 4F,9/2,,441*,9/2,,,L3475,
259.526,259.5260+,560,,,5621.04,44141.31,5d3.6s2,a 4F,9/2,,441*,11/2,,,L3475,
260.014,260.0139+,220,,,0.00,38447.99,5d3.6s2,a 4F,3/2,5d3.6s.(3G).6p,y 4F*?,5/2,,,L3475,
260.863,260.8625+,1400,,,2010.10,40333.03,5d3.6s2,a 4F,5/2,,403*,7/2,,,L3475,
260.900,260.8995+,210,,,6068.91,44386.40,5d3.6s2,a 4P,3/2,,443*,5/2,,,L3475,
261.134,261.1340+,310D,,,3963.92,42247.00,5d3.6s2,a 4F,7/2,,422*,9/2,,,L3475,
261.546,261.5657+,340*,,,2010.10,40230.01,5d3.6s2,a 4F,5/2,,402*,3/2,,,L3475,
261.546,261.5255+,340*,,,9705.38,47931.16,5d3.6s2,a 2G,7/2,,479*,7/2,,,L3475,
261.566,261.5657+,310,,,2010.10,40230.01,5d3.6s2,a 4F,5/2,,402*,3/2,,,L3475,
263.667,263.6671+,470,,,3963.92,41879.23,5d3.6s2,a 4F,7/2,,418*,5/2,,,L3475,
263.690,263.688+,860,,,5621.04,43533.3,5d3.6s2,a 4F,9/2,,435*,7/2,,,L3475,
264.622,264.6210+,510,,,10690.32,48468.96,5d3.6s2,a 2G,9/2,,484*,9/2,,,L3475,
264.637,264.6366+,600,,,2010.10,39786.52,5d3.6s2,a 4F,5/2,,397*,5/2,,,L3475,
264.747,264.7470+,2400,,,0.00,37760.67,5d3.6s2,a 4F,3/2,,377*,3/2,,,L3475,
265.327,265.3272+,2600,,,2010.10,39688.20,5d3.6s2,a 4F,5/2,,396*,5/2,,,L3475,
265.661,265.6657+,1900,,,0.00,37630.09,5d3.6s2,a 4F,3/2,,376*,5/2,,,L3475,
266.134,266.1328+,1500,,,5621.04,43185.09,5d3.6s2,a 4F,9/2,,431*,11/2,,,L3475,
266.807,266.8063+,220,,,5621.04,43090.28,5d3.6s2,a 4F,9/2,,430*,9/2,,,L3475,
266.862,266.8617+,600,,,0.00,37461.46,5d3.6s2,a 4F,3/2,,374*,1/2,,,L3475,
268.428,268.4273+,600,,,2010.10,39253.07,5d3.6s2,a 4F,5/2,,392*,3/2,,,L3475,
269.131,269.1310+,340,,,0.00,37145.60,5d3.6s2,a 4F,3/2,,371*,5/2,,,L3475,
269.240,269.2391+,260,,,5621.04,42751.72,5d3.6s2,a 4F,9/2,,427*,7/2,,,L3475,
269.681,269.6808+,240,,,9253.43,46323.31,5d3.6s2,a 4P,5/2,5d4.(5D).6p,y 4P*,5/2,,,L3475,
269.830,269.8297+,1000,,,2010.10,39059.52,5d3.6s2,a 4F,5/2,,390*,5/2,,,L3475,
270.669,270.6679+,470,,,10690.32,47625.01,5d3.6s2,a 2G,9/2,,476*,7/2,,,L3475,
271.013,271.0128+,1200,,,3963.92,40851.61,5d3.6s2,a 4F,7/2,,408*,5/2,,,L3475,
271.467,271.4670+,2600,,,0.00,36825.97,5d3.6s2,a 4F,3/2,5d3.6s.(3G).6p,y 4G*?,5/2,,,L3475,
271.718,271.7178+,240,,,3963.92,40755.90,5d3.6s2,a 4F,7/2,,407*,7/2,,,L3475,
272.076,272.0753+,470,,,2010.10,38753.75,5d3.6s2,a 4F,5/2,,387*,5/2,,,L3475,
272.778,272.7768+,410,,,10690.32,47339.48,5d3.6s2,a 2G,9/2,,473*,11/2,,,L3475,
274.359,274.3584+,210,,,2010.10,38447.99,5d3.6s2,a 4F,5/2,5d3.6s.(3G).6p,y 4F*?,5/2,,,L3475,
274.668,274.6674+,510,,,5621.04,42017.95,5d3.6s2,a 4F,9/2,,420*,7/2,,,L3475,
274.878,274.8773+,1200,,,3963.92,40333.03,5d3.6s2,a 4F,7/2,,403*,7/2,,,L3475,
274.983,274.982+,860,,,9705.38,46060.6,5d3.6s2,a 2G,7/2,,460*,7/2?,,,L3475,
275.831,275.8316+,1000,,,2010.10,38253.39,5d3.6s2,a 4F,5/2,,382*,7/2,,,L3475,
277.588,277.5881+,770,3.6e+07,C+,0.00,36013.97,5d3.6s2,a 4F,3/2,5d3.6s.(3H).6p,z 4G*?,5/2,,T7871,L3475,
278.769,278.7701+,390,,,9253.43,45114.71,5d3.6s2,a 4P,5/2,,451*,7/2,,,L3475,
279.634,279.6334+,680,,,2010.10,37760.67,5d3.6s2,a 4F,5/2,,377*,3/2,,,L3475,
280.207,280.2075+,380,,,3963.92,39641.24,5d3.6s2,a 4F,7/2,,396*,7/2,,,L3475,
280.630,280.6291+,430,,,6068.91,41692.64,5d3.6s2,a 4P,3/2,,416*,3/2,,,L3475,
280.658,280.6585+,510,,,2010.10,37630.09,5d3.6s2,a 4F,5/2,,376*,5/2,,,L3475,
284.282,284.2807+,260,,,11243.63,46409.79,5d4.(5D).6s,a 6D,5/2,5d4.(5D).6p,x 6D*,7/2,,,L3475,
284.425,284.4256+,640*,,,6049.42,41197.67,5d3.6s2,a 4P,1/2,,411*,3/2,,,L3475,
