obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 10
200.353,,25000,,,,,,,L3475,
201.787,,16000,,,,,,,L3475,
204.908,,27000,,,,,,,L3475,
207.470,,4200,,,,,,,L3475,
208.392,,3700,,,,,,,L3475,
208.559,,10000,,,,,,,L3475,
209.712,,9800,,,,,,,L3475,
210.922,,2700,,,,,,,L3475,
214.297,,,,,,,,,L3475,
215.667,,3700,,,,,,,L3475,
216.794,,4900,,,,,,,L3475,
217.621,,3400,,,,,,,L3475,
221.458,,2200,,,,,,,L3475,
222.642,,1700,,,,,,,L3475,
223.544,,920,,,,,,,L3475,
225.573,,440,,,,,,,L3475,
225.619,,860,,,,,,,L3475,
226.439,,2000,,,,,,,L3475,
227.462,,2100,,,,,,,L3475,
228.162,,1600,,,,,,,L3475,
228.751,,2900,,,,,,,L3475,
229.449,,2700,,,,,,,L3475,
229.977,,390,,,,,,,L3475,
230.299,,610,,,,,,,L3475,
230.654,,680,,,,,,,L3475,
231.297,,230,,,,,,,L3475,
231.334,,220,,,,,,,L3475,
231.919,,220,,,,,,,L3475,
232.016,,370,,,,,,,L3475,
232.249,,800,,,,,,,L3475,
232.866,,300,,,,,,,L3475,
233.433,,270,,,,,,,L3475,
233.573,,270,,,,,,,L3475,
233.610,,220,,,,,,,L3475,
233.795,,270,,,,,,,L3475,
234.478,,860,,,,,,,L3475,
234.939,,230,,,,,,,L3475,
235.046,,220bl,,,,,,,L3475,
235.207,,680,,,,,,,L3475,
235.395,,210bl,,,,,,,L3475,
235.650,,250,,,,,,,L3475,
236.532,,200,,,,,,,L3475,
236.590,,1200,,,,,,,L3475,
236.768,,570,,,,,,,L3475,
236.927,,520,,,,,,,L3475,
237.152,,210,,,,,,,L3475,
237.507,,320,,,,,,,L3475,
237.977,,370,,,,,,,L3475,
238.857,,340,,,,,,,L3475,
239.365,,230,,,,,,,L3475,
239.437,,320,,,,,,,L3475,
239.679,,320,,,,,,,L3475,
239.731,,200,,,,,,,L3475,
240.072,,210bl,,,,,,,L3475,
240.089,,,,,,,,,L3475,
240.168,,210,,,,,,,L3475,
240.506,,1500,,,,,,,L3475,
240.560,,740,,,,,,,L3475,
240.670,,320,,,,,,,L3475,
241.037,,270,,,,,,,L3475,
