obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
,11769.0+,,1.34e+05,C,79142.81,79992.50,3s2.3p3.(4S*).5f,5F,3,3s2.3p3.(4S*).6d,5D*,2,,T7952,,
,11769.0+,,5.60e+03,D+,79142.81,79992.50,3s2.3p3.(4S*).5f,5F,1,3s2.3p3.(4S*).6d,5D*,2,,T7952,,
,11771.5+,,3.99e+03,D+,79142.81,79992.32,3s2.3p3.(4S*).5f,5F,2,3s2.3p3.(4S*).6d,5D*,3,,T7952,,
,11771.5+,,4.19e+04,C,79142.81,79992.32,3s2.3p3.(4S*).5f,5F,3,3s2.3p3.(4S*).6d,5D*,3,,T7952,,
,11771.5+,,1.50e+05,C,79142.81,79992.32,3s2.3p3.(4S*).5f,5F,4,3s2.3p3.(4S*).6d,5D*,3,,T7952,,
,11773.8+,,1.55e+03,D+,79142.81,79992.15,3s2.3p3.(4S*).5f,5F,3,3s2.3p3.(4S*).6d,5D*,4,,T7952,,
,11773.8+,,2.33e+04,C,79142.81,79992.15,3s2.3p3.(4S*).5f,5F,4,3s2.3p3.(4S*).6d,5D*,4,,T7952,,
,11773.8+,,1.71e+05,C+,79142.81,79992.15,3s2.3p3.(4S*).5f,5F,5,3s2.3p3.(4S*).6d,5D*,4,,T7952,,
,12287.0+,,1.42e+05,C,80182.16,80996.03,3s2.3p3.(4S*).6d,3D*,3,3s2.3p3.(4S*).8p,3P,2,,T7952,,
,12312.2+,,2.54e+04,C,80183.83,80996.03,3s2.3p3.(4S*).6d,3D*,2,3s2.3p3.(4S*).8p,3P,2,,T7952,,
,12318.8+,,1.27e+05,C,80183.83,80995.60,3s2.3p3.(4S*).6d,3D*,2,3s2.3p3.(4S*).8p,3P,1,,T7952,,
,12339.1+,,1.69e+03,D,80185.60,80996.03,3s2.3p3.(4S*).6d,3D*,1,3s2.3p3.(4S*).8p,3P,2,,T7952,,
,12345.7+,,1.70e+05,C,80185.60,80995.60,3s2.3p3.(4S*).6d,3D*,1,3s2.3p3.(4S*).8p,3P,0,,T7952,,
,12345.7+,,4.24e+04,C,80185.60,80995.60,3s2.3p3.(4S*).6d,3D*,1,3s2.3p3.(4S*).8p,3P,1,,T7952,,
,12468.9+,,8.00e+03,D+,77890.532,78692.53,3s2.3p3.(4S*).6p,3P,2,3s2.3p3.(4S*).5d,3D*,1,,T7952,,
,12480.2+,,2.90e+05,C+,77890.532,78691.80,3s2.3p3.(4S*).6p,3P,2,3s2.3p3.(4S*).5d,3D*,3,,T7952,,
