Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
36.745,0.002,36.746*,a,,,0.000,-,272 140,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>6p,"(3/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
36.894,0.002,36.894*,a,,,0.000,-,271 050,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>4f,"(3/2,5/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
37.193,0.002,37.193*,a,,,0.000,-,268 870,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>6p,"(5/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
37.376,0.002,37.376*,a,,,0.000,-,267 550,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>4f,"(5/2,7/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
39.847,0.002,39.847*,a,,,0.000,-,250 960,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>5p,"(3/2,1/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
39.920,0.002,39.9200+,a,,,0.000,-,250 501,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>5p,"(3/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
40.436,0.002,40.4361+,a,,,0.000,-,247 304,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>5p,"(5/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
82.9529,0.0004,82.952835+,3,2.2e+07,,0.000,-,120 550.431,3d104s2,1S,0,4s5p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8042&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=8042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
84.3752,0.0009,84.375041+,0,,,0.000,-,118 518.461,3d104s2,1S,0,4s5p,3P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
92.9050,0.0009,92.9050+,0,,,48 749.85,-,156 386.7,4s4p,3P°,2,4s8d,3D,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
95.8545,0.0006,95.85554+,1,,,48 749.85,-,153 073.50,4s4p,3P°,2,4s7d,3D,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
