Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
12.55,12.536,0.010,*,,,[494 265.70],-,1 292 000,1s2p,3P°,0,2p3p,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.535,0.010,*,,,[494 260.30],-,1 292 000,1s2p,3P°,1,2p3p,3P,0,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.535,0.010,*,,,[494 262.57],-,1 292 000,1s2p,3P°,2,2p3p,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.535,0.010,*,,,[494 262.57],-,1 292 000,1s2p,3P°,2,2p3p,3P,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.535,0.010,*,,,[494 260.30],-,1 292 000,1s2p,3P°,1,2p3p,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.535,0.010,*,,,[494 260.30],-,1 292 000,1s2p,3P°,1,2p3p,3P,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.551,0.010,*,,,[494 262.57],-,1 291 000,1s2p,3P°,2,2p3p,3D,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.551,0.010,*,,,[494 260.30],-,1 291 000,1s2p,3P°,1,2p3p,3D,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.551,0.010,*,,,[494 262.57],-,1 291 000,1s2p,3P°,2,2p3p,3D,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.551,0.010,*,,,[494 260.30],-,1 291 000,1s2p,3P°,1,2p3p,3D,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.551,0.010,*,,,[494 265.70],-,1 291 000,1s2p,3P°,0,2p3p,3D,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
12.55,12.551,0.010,*,,,[494 262.57],-,1 291 000,1s2p,3P°,2,2p3p,3D,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.647,0.010,*,,,[561 242.28],-,1 294 000,1s3d,3D,2,2p3d,3D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.647,0.010,*,,,[561 243.43],-,1 294 000,1s3d,3D,1,2p3d,3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.647,0.010,*,,,[561 242.90],-,1 294 000,1s3d,3D,3,2p3d,3D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.647,0.010,*,,,[561 243.43],-,1 294 000,1s3d,3D,1,2p3d,3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.647,0.010,*,,,[561 242.90],-,1 294 000,1s3d,3D,3,2p3d,3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.647,0.010,*,,,[561 242.28],-,1 294 000,1s3d,3D,2,2p3d,3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.647,0.010,*,,,[561 242.28],-,1 294 000,1s3d,3D,2,2p3d,3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.652,0.010,*,,,[559 501.45],-,1 292 000,1s3p,3P°,0,2p3p,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.652,0.010,*,,,[559 499.5],-,1 292 000,1s3p,3P°,1,2p3p,3P,0,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.652,0.010,*,,,[559 500.55],-,1 292 000,1s3p,3P°,2,2p3p,3P,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.652,0.010,*,,,[559 500.55],-,1 292 000,1s3p,3P°,2,2p3p,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.652,0.010,*,,,[559 499.5],-,1 292 000,1s3p,3P°,1,2p3p,3P,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
13.65,13.652,0.010,*,,,[559 499.5],-,1 292 000,1s3p,3P°,1,2p3p,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
14.05,14.05,0.10,*,,,[494 262.57],-,1 206 000,1s2p,3P°,2,2p<sup>2</sup>,3P,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
14.05,14.05,0.10,*,,,[494 260.30],-,1 206 000,1s2p,3P°,1,2p<sup>2</sup>,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
14.05,14.05,0.10,*,,,[494 262.57],-,1 206 000,1s2p,3P°,2,2p<sup>2</sup>,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
14.05,14.05,0.10,*,,,[494 260.30],-,1 206 000,1s2p,3P°,1,2p<sup>2</sup>,3P,0,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
14.05,14.05,0.10,*,,,[494 265.70],-,1 206 000,1s2p,3P°,0,2p<sup>2</sup>,3P,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
14.05,14.05,0.10,*,,,[494 260.30],-,1 206 000,1s2p,3P°,1,2p<sup>2</sup>,3P,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3160&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3160&amp;type=
,16.6343,0.0010,,6.1947e+08,AAA,0.0000,-,[601 169],1s2,1S,0,1s7p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
16.721,16.7242,0.0010,,9.8247e+08,AAA,0.0000,-,[597 936.4],1s2,1S,0,1s6p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7397&amp;type=
,16.7257,0.0010,,1.6424e+04,AAA,0.0000,-,[597 881.65],1s2,1S,0,1s6d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,16.7319,0.0010,,1.56e+00,B,0.0000,-,[597 662.53],1s2,1S,0,1s6p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=5612&amp;type=M2,
16.874,16.8743,0.0010,,1.6943e+09,AAA,0.0000,-,[592 618.4],1s2,1S,0,1s5p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7397&amp;type=
,16.8773,0.0010,,2.6846e+04,AAA,0.0000,-,[592 513.56],1s2,1S,0,1s5d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,16.8881,0.0010,,2.78e+00,B,0.0000,-,[592 133.83],1s2,1S,0,1s5p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=5612&amp;type=M2,
17.158,17.1575,0.0010,,3.2984e+09,AAA,0.0000,-,[582 836.5],1s2,1S,0,1s4p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7397&amp;type=
,17.1635,0.0010,,4.6897e+04,AAA,0.0000,-,[582 630.08],1s2,1S,0,1s4d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,17.1855,0.0010,,5.33e+00,B,0.0000,-,[581 885.83],1s2,1S,0,1s4p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=5612&amp;type=M2,
17.802,17.8015,0.0010,,7.7630e+09,AAA,0.0000,-,[561 751.95],1s2,1S,0,1s3p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7397&amp;type=
,17.8166,0.0010,,8.2665e+04,AAA,0.0000,-,[561 272.75],1s2,1S,0,1s3d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,17.8731,0.0010,,1.20e+01,B,0.0000,-,[559 500.55],1s2,1S,0,1s3p,3P°,2,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=5612&amp;type=M2,
19.928,19.9280,0.0010,,2.5569e+10,AAA,0.0000,-,[501 807.72],1s2,1S,0,1s2p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7397&amp;type=
