Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
19.165,19.165,"g,a",,,0.00,-,521 780,2p63s,2S,1/2,2p<sup>5</sup>3s5s?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.240,19.240,"g,a",,,0.00,-,519 750,2p63s,2S,1/2,2p<sup>5</sup>3s4d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.255,19.255,"g,a",,,0.00,-,519 350,2p63s,2S,1/2,2p<sup>5</sup>3s4d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.284,19.284,"g,a",,,0.00,-,518 560,2p63s,2S,1/2,2p<sup>5</sup>3s5s?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.309,19.309,"g,a",,,0.00,-,517 890,2p63s,2S,1/2,2p<sup>5</sup>3s4d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.331,19.331,"g,a",,,0.00,-,517 300,2p63s,2S,1/2,2p<sup>5</sup>3s4d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.340,19.340,"g,a",,,0.00,-,517 060,2p63s,2S,1/2,2p<sup>5</sup>3s5s?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.364,19.364,"g,a",,,0.00,-,516 420,2p63s,2S,1/2,2p<sup>5</sup>3s4d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.776,19.771,"g,a",,,0.00,-,505 780,2p63s,2S,1/2,2p<sup>5</sup>(<sup>2</sup>P°)3p<sup>2</sup>(<sup>3</sup>P),2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.931,19.931,"g,a",,,0.00,-,501 730,2p63s,2S,1/2,2p<sup>5</sup>(<sup>2</sup>P°)3p<sup>2</sup>(<sup>3</sup>P),2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
