Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
123.645,,123.644376,0.000003,3:,,,983.9157,-,81 861.0276,3d3,b 4F,5/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4G°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.667,,123.665053,0.000003,1:*,,,907.9672,-,81 771.556,3d3,b 4F,3/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.667,,123.666369,0.000005,1:*,,,1 215.8329,-,82 078.561,3d3,b 4F,9/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4G°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.677,,123.676572,0.000003,0:,,,1 087.3561,-,81 943.4136,3d3,b 4F,7/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.706,,123.706079,0.000003,2:,,,1 087.3561,-,81 924.127,3d3,b 4F,7/2,3d<sup>2</sup>(<sup>3</sup>F)4f,2H°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.723,,123.723040,0.000003,1:,,,1 087.3561,-,81 913.0457,3d3,b 4F,7/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.738,,123.737318,0.000003,2:,,,907.9672,-,81 724.330,3d3,b 4F,3/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4G°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.778,,123.777324,0.000003,1:,,,983.9157,-,81 774.158,3d3,b 4F,5/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.803,,123.802717,0.000003,0:,,,1 087.3561,-,81 861.0276,3d3,b 4F,7/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4G°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.832,,123.8315136,0.0000021,0:,,,1 087.3561,-,81 842.2440,3d3,b 4F,7/2,3d<sup>2</sup>(<sup>3</sup>F)4f,2G°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
