Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
4.3150,0.0004,4.3150,0.0004,a*,1.3e+10,E,43 053.2,-,2 360 540,2s2p2,4P,5/2,1s2s(<sup>3</sup>S) 2p<sup>3</sup>(<sup>2</sup>D°),4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.3150,0.0004,4.3150,0.0004,a*,1.8e+11,E,43 024.9,-,2 360 540,2s2p2,4P,3/2,1s2s(<sup>3</sup>S) 2p<sup>3</sup>(<sup>2</sup>D°),4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.3150,0.0004,4.3150,0.0004,a*,1.4e+11,E,43 024.9,-,2 360 540,2s2p2,4P,3/2,1s2s(<sup>3</sup>S) 2p<sup>3</sup>(<sup>2</sup>D°),4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.3150,0.0004,4.3150,0.0004,a*,4.2e+10,E,43 024.9,-,2 360 540,2s2p2,4P,3/2,1s2s(<sup>3</sup>S) 2p<sup>3</sup>(<sup>2</sup>D°),4D°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.3169,0.0004,4.3168,0.0004,a*,2.3e+11,E,43 002.8,-,2 359 520,2s2p2,4P,1/2,1s2s(<sup>3</sup>S) 2p<sup>3</sup>(<sup>4</sup>S°),4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.3169,0.0004,4.3169,0.0004,a*,7.e+11,E,43 053.2,-,2 359 520,2s2p2,4P,5/2,1s2s(<sup>3</sup>S) 2p<sup>3</sup>(<sup>4</sup>S°),4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
4.3169,0.0004,4.3169,0.0004,a*,5.e+11,E,43 024.9,-,2 359 520,2s2p2,4P,3/2,1s2s(<sup>3</sup>S) 2p<sup>3</sup>(<sup>4</sup>S°),4S°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9848&amp;comment_code=LS&amp;element=C&amp;spectr_charge=2&amp;ref=9848&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=20274&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=20274&amp;type=
25.96,0.05,25.96,0.05,a*,,,63.395090,-,385 250,2s22p,2P°,3/2,2s3p<sup>2</sup>(<sup>1</sup>D),2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
25.96,0.05,25.96,0.05,a*,,,63.395090,-,385 250,2s22p,2P°,3/2,2s3p<sup>2</sup>(<sup>1</sup>D),2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
25.96,0.05,25.96,0.05,a*,,,0.000000,-,385 250,2s22p,2P°,1/2,2s3p<sup>2</sup>(<sup>1</sup>D),2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
26.74,0.06,26.74,0.08,a*,,,0.000000,-,373 960,2s22p,2P°,1/2,2s3p<sup>2</sup>(<sup>3</sup>P),2P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
26.74,0.06,26.74,0.08,a*,,,0.000000,-,373 960,2s22p,2P°,1/2,2s3s(<sup>1</sup>S)3d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
26.74,0.06,26.74,0.08,a*,,,0.000000,-,373 950,2s22p,2P°,1/2,2s3p<sup>2</sup>(<sup>3</sup>P),2P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
26.74,0.06,26.75,0.08,a*,,,63.395090,-,373 960,2s22p,2P°,3/2,2s3p<sup>2</sup>(<sup>3</sup>P),2P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
26.74,0.06,26.75,0.08,a*,,,63.395090,-,373 960,2s22p,2P°,3/2,2s3s(<sup>1</sup>S)3d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
26.74,0.06,26.75,0.08,a*,,,63.395090,-,373 960,2s22p,2P°,3/2,2s3s(<sup>1</sup>S)3d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
26.74,0.06,26.75,0.08,a*,,,63.395090,-,373 950,2s22p,2P°,3/2,2s3p<sup>2</sup>(<sup>3</sup>P),2P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
31.10,0.04,31.10,0.04,a*,,,0.000000,-,321 500,2s22p,2P°,1/2,2p<sup>2</sup>(<sup>1</sup>D)4d,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
31.10,0.04,31.11,0.04,a*,,,63.395090,-,321 500,2s22p,2P°,3/2,2p<sup>2</sup>(<sup>1</sup>D)4d,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
31.31,0.08,31.30,0.08,a*,,,0.000000,-,319 440,2s22p,2P°,1/2,2p<sup>2</sup>(<sup>1</sup>D)4d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
31.31,0.08,31.31,0.08,a*,,,63.395090,-,319 440,2s22p,2P°,3/2,2p<sup>2</sup>(<sup>1</sup>D)4d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
31.31,0.08,31.31,0.08,a*,,,63.395090,-,319 440,2s22p,2P°,3/2,2p<sup>2</sup>(<sup>1</sup>D)4d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
31.59,0.04,31.58,0.04,a*,,,0.000000,-,316 610,2s22p,2P°,1/2,2p<sup>2</sup>(<sup>3</sup>P)5d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
31.59,0.04,31.59,0.04,a*,,,63.395090,-,316 620,2s22p,2P°,3/2,2p<sup>2</sup>(<sup>3</sup>P)5d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
31.59,0.04,31.59,0.04,a*,,,63.395090,-,316 610,2s22p,2P°,3/2,2p<sup>2</sup>(<sup>3</sup>P)5d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
32.06,0.08,32.06,0.08,a*,,,0.000000,-,311 960,2s22p,2P°,1/2,2p<sup>2</sup>(<sup>3</sup>P)5s,2P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
32.06,0.08,32.06,0.08,a*,,,0.000000,-,311 900,2s22p,2P°,1/2,2p<sup>2</sup>(<sup>3</sup>P)5s,2P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
32.06,0.08,32.06,0.08,a*,,,63.395090,-,311 960,2s22p,2P°,3/2,2p<sup>2</sup>(<sup>3</sup>P)5s,2P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
32.06,0.08,32.07,0.08,a*,,,63.395090,-,311 900,2s22p,2P°,3/2,2p<sup>2</sup>(<sup>3</sup>P)5s,2P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=21570&amp;comment_code=&amp;element=C&amp;spectr_charge=2&amp;ref=21570&amp;type=
