Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
97.32142,0.00005,97.32142,0.00005,26000,4.4e+08,D+,39 168.0177,-,141 920.32,4d9(2D5/2)5s,2[5/2],3,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9142&amp;comment_code=&amp;element=Ag&amp;spectr_charge=2&amp;ref=9142&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
97.67483,0.00005,97.67484,0.00005,76000,2.1e+08,D+,43 742.7348,-,146 123.25,4d9(2D3/2)5s,2[3/2],1,4d<sup>8</sup>(<sup>1</sup>D)5s5p(<sup>3</sup>P°),3F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9142&amp;comment_code=&amp;element=Ag&amp;spectr_charge=2&amp;ref=9142&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
98.05448,0.00005,98.05451,0.00005,58000,,,39 168.0177,-,141 152.11,4d9(2D5/2)5s,2[5/2],3,4d<sup>8</sup>(<sup>3</sup>P)5s5p(<sup>3</sup>P°),5P°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
98.23525,0.00005,98.23528,0.00005,18000,,,39 168.0177,-,140 964.44,4d9(2D5/2)5s,2[5/2],3,4d<sup>8</sup>(<sup>3</sup>P)5s5p(<sup>3</sup>P°),5P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
98.42449,0.00006,98.42453,0.00006,14000,,,40 745.3671,-,142 346.06,4d9(2D5/2)5s,2[5/2],2,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
98.52196,0.00017,98.522059,0.000005,2600,,,43 742.7348,-,145 242.847,4d9(2D3/2)5s,2[3/2],1,4d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)4f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
98.58954,0.00005,98.58952,0.00005,58000,3.1e+08,D+,39 168.0177,-,140 598.68,4d9(2D5/2)5s,2[5/2],3,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3G°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9142&amp;comment_code=&amp;element=Ag&amp;spectr_charge=2&amp;ref=9142&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
98.83865,0.00005,98.83869,0.00005,43000,2.0e+08,D+,40 745.3671,-,141 920.32,4d9(2D5/2)5s,2[5/2],2,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9142&amp;comment_code=&amp;element=Ag&amp;spectr_charge=2&amp;ref=9142&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
99.59494,0.00006,99.59490,0.00006,8500,,,40 745.3671,-,141 152.11,4d9(2D5/2)5s,2[5/2],2,4d<sup>8</sup>(<sup>3</sup>P)5s5p(<sup>3</sup>P°),5P°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
99.75756,0.00005,99.75760,0.00005,18000,,,40 745.3671,-,140 988.36,4d9(2D5/2)5s,2[5/2],2,4d<sup>8</sup>(<sup>3</sup>P)5s5p(<sup>3</sup>P°),5P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
