Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),Lower Level  J,Upper Level  J,Type,TPRef.,LineRef.
71.168,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
81.548,,250,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
85.619,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
88.923,,1000,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
89.664,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
90.599,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
92.256,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
94.897,,1000,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
98.493,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
101.210,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
101.554,,1000,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
103.702,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
104.900,,1000,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
106.476,,450,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7484&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7484&amp;type=
107.187,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
228.517,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
228.760,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
231.730,,500w,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
233.693,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
238.645,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
238.670,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
238.869,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
238.896,,450,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
238.969,,500,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
239.221,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
239.242,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
248.850,,300,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
249.522,,300w,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
252.170,,450,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
254.148,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
255.692,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
269.017,,350,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
271.377,,400,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
274.652,,350w,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
280.755,,300w,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
289.340,,400w,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
291.718,,400w,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
296.721,,400w,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7392&amp;comment_code=&amp;element=Br&amp;spectr_charge=2&amp;ref=7392&amp;type=
