Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
124.1166,124.1166,2,,,4 883.57,-,85 452.99,3p63d2,3F,3,3p<sup>6</sup>3d5f,°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
124.1283,124.1283,1,,,4 883.57,-,85 445.35,3p63d2,3F,3,3p<sup>6</sup>3d5f,3H°,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
124.1979,124.1979,0,,,4 987.79,-,85 504.42,3p63d2,3F,4,3p<sup>6</sup>3d5f,3H°,5,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
124.2693,124.2693,0,,,4 883.57,-,85 353.96,3p63d2,3F,3,3p<sup>6</sup>3d5f,1G°,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
124.7834,124.7834,0,,,10 944.56,-,91 083.4,3p63d2,1D,2,3p<sup>6</sup>3d6f,1F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
126.5653,126.5653,0,,,12 154.42,-,91 165.0,3p63d2,3P,2,3p<sup>6</sup>3d6f,3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
126.6246,126.6246,0,,,12 154.42,-,91 128.0,3p63d2,3P,2,3p<sup>6</sup>3d6f,3D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
129.9787,129.9787,1,,,14 261.32,-,91 197.0,3p63d2,1G,4,3p<sup>6</sup>3d6f,1H°,5,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
130.4182,130.4179,0,,,14 261.32,-,90 937.9,3p63d2,1G,4,3p<sup>6</sup>3d6f,3H°,5,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
133.7684,133.7683,0,,,10 944.56,-,85 700.7,3p63d2,1D,2,3p<sup>6</sup>3d5f,3D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
133.8413,133.8394,1,,,10 944.56,-,85 661.0,3p63d2,1D,2,3p<sup>6</sup>3d5f,3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
133.9077,133.9082,2,,,10 944.56,-,85 622.6,3p63d2,1D,2,3p<sup>6</sup>3d5f,1F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
134.0237,134.0237,1,,,10 944.56,-,85 558.24,3p63d2,1D,2,3p<sup>6</sup>3d5f,1D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
134.2130,134.2130,2,,,10 944.56,-,85 452.99,3p63d2,1D,2,3p<sup>6</sup>3d5f,°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
135.6287,135.6287,0,,,12 101.50,-,85 832.20,3p63d2,3P,1,3p<sup>6</sup>3d5f,3P°,0,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
135.6868,135.6868,0,,,12 101.50,-,85 800.62,3p63d2,3P,1,3p<sup>6</sup>3d5f,3P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
135.7843,135.7843,0,,,12 154.42,-,85 800.62,3p63d2,3P,2,3p<sup>6</sup>3d5f,3P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
