Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
152.0549,,,40,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
153.3139,,,40,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
153.6745,,,30,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
153.8037,,,35,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
156.367,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
157.369,,,40,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
159.176,159.1766,0.0010,60,,,13 325.401,-,76 148.712,6s26p2,3P,1,6s6p<sup>3</sup>,5S°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
160.158,,,25,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
160.969,,,40,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
161.1358,,,40,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
165.281,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
174.929,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
