Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
82.2968,0.0005,82.29683,1,,,0.000,-,121 511.36,4s24p,2P°,1/2,4s<sup>2</sup>9d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
83.5083,0.0005,83.50838,3,,,1 767.357,-,121 515.82,4s24p,2P°,3/2,4s<sup>2</sup>9d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
83.7947,0.0005,83.79483,5,,,0.000,-,119 339.11,4s24p,2P°,1/2,4s<sup>2</sup>8d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
85.0495,0.0005,85.04964,10,,,1 767.357,-,119 345.75,4s24p,2P°,3/2,4s<sup>2</sup>8d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
86.2233,0.0005,86.22340,10,,,0.000,-,115 977.80,4s24p,2P°,1/2,4s<sup>2</sup>7d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
87.5492,0.0005,87.54926,15,,,1 767.357,-,115 988.77,4s24p,2P°,3/2,4s<sup>2</sup>7d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
88.5966,0.0005,88.59663,1,,,1 767.357,-,114 638.47,4s24p,2P°,3/2,4s<sup>2</sup>8s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
90.5976,0.0005,90.59771,15,,,0.000,-,110 378.07,4s24p,2P°,1/2,4s<sup>2</sup>6d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
92.0553,0.0005,92.05537,20,,,1 767.357,-,110 397.63,4s24p,2P°,3/2,4s<sup>2</sup>6d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
92.6473,0.0005,92.64736,1,,,0.000,-,107 936.16,4s24p,2P°,1/2,4s<sup>2</sup>7s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
94.1896,0.0005,94.18963,5,,,1 767.357,-,107 936.16,4s24p,2P°,3/2,4s<sup>2</sup>7s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
99.91009,0.00006,99.910111,50,1.9e+08,D,0.000,-,100 089.970,4s24p,2P°,1/2,4s<sup>2</sup>5d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=22&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=22&amp;type=
101.66381,0.00006,101.663773,100,2.1e+08,D,1 767.357,-,100 130.812,4s24p,2P°,3/2,4s<sup>2</sup>5d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=22&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=22&amp;type=
