Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
290.842,290.84221+,110,,,4 459.872,-,38 832.709,4f5d(3F°)6s,4F°,7/2,4f6s(<sup>3</sup>F°)6p,,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
291.867,291.86651+,100,,,2 641.559,-,36 893.770,4f5d(1G°)6s,°,7/2,4f6s(<sup>1</sup>F°)6p,,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
295.594,295.59394+,120,,,2 382.246,-,36 202.557,4f5d(1G°)6s,°,9/2,4f6s(<sup>3</sup>F°)6p,4G,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
296.480,296.48012+,110,,,5 675.763,-,39 394.990,4f5d(3F°)6s,4F°,9/2,4f5d(<sup>3</sup>P°)6p,,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
297.258,297.25873+,100,,,4 910.963,-,38 541.873,4f5d(3H°)6s,°,11/2,5d<sup>3</sup>,,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
297.691,297.69033+,400,,,4 266.397,-,37 848.550,4f5d(3G°)6s,°,7/2,5d<sup>2</sup>(<sup>3</sup>F)6s,4F,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
297.746,297.74597+,150,,,5 819.113,-,39 394.990,4f5d(3G°)6s,°,9/2,4f5d(<sup>3</sup>P°)6p,,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
298.041,298.04009+,120,,,14 481.930,-,48 024.675,4f(2F°)5d2(1D),°,5/2,4f6s(<sup>3</sup>F°)6p,,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
299.087,299.08714+,250,,,2 382.246,-,35 807.568,4f5d(1G°)6s,°,9/2,4f6s(<sup>1</sup>F°)6p,,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
299.442,299.44217+,110,,,4 266.397,-,37 652.091,4f5d(3G°)6s,°,7/2,4f5d(<sup>3</sup>P°)6p,,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
299.564,299.56456+,320,,,5 437.422,-,38 809.476,4f(2F°)5d2(3F),4G°,7/2,5d<sup>2</sup>(<sup>3</sup>F)6s,4F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
300.879,300.87862+,400,,,2 581.257,-,35 807.568,4f(2F°)5d2(3F),4H°,9/2,4f6s(<sup>1</sup>F°)6p,,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
301.720,301.71952+,370,,,5 675.763,-,38 809.476,4f5d(3F°)6s,4F°,9/2,5d<sup>2</sup>(<sup>3</sup>F)6s,4F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
303.773,303.77310+,210,,,4 322.708,-,37 232.438,4f5d(3G°)6s,°,5/2,4f5d(<sup>3</sup>P°)6p,,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
305.198,305.19723+,200,,,4 322.708,-,37 078.879,4f5d(3G°)6s,°,5/2,4f5d(<sup>1</sup>F°)6p,,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
305.524,305.52360+,350,,,4 511.257,-,37 232.438,4f5d(3G°)6s,4G°,5/2,4f5d(<sup>3</sup>P°)6p,,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
305.678,305.67735+,320,,,2 641.559,-,35 346.282,4f5d(1G°)6s,°,7/2,4f6s(<sup>3</sup>F°)6p,,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
306.301,306.30035+,680,,,7 233.627,-,39 871.833,4f5d(3G°)6s,4G°,11/2,5d<sup>2</sup>(<sup>3</sup>F)6s,4F,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
308.367,308.36645+,320,,,6 389.942,-,38 809.476,4f(2F°)5d2(3F),4G°,9/2,5d<sup>2</sup>(<sup>3</sup>F)6s,4F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
308.444,308.44643+,250,,,5 437.422,-,37 848.550,4f(2F°)5d2(3F),4G°,7/2,5d<sup>2</sup>(<sup>3</sup>F)6s,4F,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
309.037,309.03683+,200,,,7 522.622,-,39 871.833,4f(2F°)5d2(3F),4G°,11/2,5d<sup>2</sup>(<sup>3</sup>F)6s,4F,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
310.338,310.33702+,370,,,3 593.882,-,35 807.568,4f5d(1G°)6s,°,9/2,4f6s(<sup>1</sup>F°)6p,,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
