Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
178.693,178.676+,,4.4e+06,E,5 674.807,-,61 642.0,5d,2D,5/2,8p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3450&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=3450&amp;type=
189.265,189.2505+,,1.3e+07,D,20 261.561,-,73 101.58,6p,2P°,1/2,10d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3225&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=3225&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3450&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=3450&amp;type=
192.46712,192.46710+,10,3.1e+06,E,5 674.807,-,57 631.739,5d,2D,5/2,5f,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9224&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=9224&amp;type=
195.421,195.4272+,,1.4e+07,D,21 952.404,-,73 122.35,6p,2P°,3/2,10d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3225&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=3225&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3450&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=3450&amp;type=
197.019,197.0332+,,6.7e+06,E,21 952.404,-,72 705.28,6p,2P°,3/2,11s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3450&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=3450&amp;type=
198.57548,198.57548+,6,2.0e+07,D,20 261.561,-,70 620.247,6p,2P°,1/2,9d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3225&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=3225&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9224&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=9224&amp;type=
199.952,199.95465+,,1.0e+07,E,0.000,-,50 011.340,6s,2S,1/2,7p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3450&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=3450&amp;type=
200.920,200.92785+,,6.5e+06,C+,20 261.561,-,70 014.584,6p,2P°,1/2,10s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3225&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=3225&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3450&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=3450&amp;type=
202.40561,202.40564+,5,6.9e+06,C,0.000,-,49 389.822,6s,2S,1/2,7p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3225&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=3225&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9224&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=9224&amp;type=
205.27516,205.27516+,12,2.2e+07,D,21 952.404,-,70 651.905,6p,2P°,3/2,9d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3225&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=3225&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9224&amp;comment_code=&amp;element=Ba&amp;spectr_charge=2&amp;ref=9224&amp;type=
