Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
102.070,102.0699,25,8.91e+07,D,0.00,-,97 972.09,3s23p,2P°,1/2,3s<sup>2</sup>5s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7166&amp;comment_code=&amp;element=Si&amp;spectr_charge=2&amp;ref=7166&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3541&amp;comment_code=&amp;element=Si&amp;spectr_charge=2&amp;ref=3541&amp;type=
102.369,102.3700,50,1.77e+08,D+,287.24,-,97 972.09,3s23p,2P°,3/2,3s<sup>2</sup>5s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7166&amp;comment_code=&amp;element=Si&amp;spectr_charge=2&amp;ref=7166&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3541&amp;comment_code=&amp;element=Si&amp;spectr_charge=2&amp;ref=3541&amp;type=
105.705,,30,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3541&amp;comment_code=&amp;element=Si&amp;spectr_charge=2&amp;ref=3541&amp;type=
105.750,,15,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3541&amp;comment_code=&amp;element=Si&amp;spectr_charge=2&amp;ref=3541&amp;type=
112.744,,20w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3541&amp;comment_code=&amp;element=Si&amp;spectr_charge=2&amp;ref=3541&amp;type=
112.791,,40w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3541&amp;comment_code=&amp;element=Si&amp;spectr_charge=2&amp;ref=3541&amp;type=
119.042,119.0416,100,6.53e+08,C+,0.00,-,84 004.26,3s23p,2P°,1/2,3s3p<sup>2</sup>,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c22&amp;element=Si&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3541&amp;comment_code=&amp;element=Si&amp;spectr_charge=2&amp;ref=3541&amp;type=
119.328,119.3290,200,2.69e+09,B,0.00,-,83 801.95,3s23p,2P°,1/2,3s3p<sup>2</sup>,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c22&amp;element=Si&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3541&amp;comment_code=&amp;element=Si&amp;spectr_charge=2&amp;ref=3541&amp;type=
119.450,119.4500,250,3.45e+09,B,287.24,-,84 004.26,3s23p,2P°,3/2,3s3p<sup>2</sup>,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c22&amp;element=Si&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3541&amp;comment_code=&amp;element=Si&amp;spectr_charge=2&amp;ref=3541&amp;type=
119.739,119.7394,100,1.40e+09,C+,287.24,-,83 801.95,3s23p,2P°,3/2,3s3p<sup>2</sup>,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c22&amp;element=Si&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3541&amp;comment_code=&amp;element=Si&amp;spectr_charge=2&amp;ref=3541&amp;type=
121.612,,10w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3541&amp;comment_code=&amp;element=Si&amp;spectr_charge=2&amp;ref=3541&amp;type=
