Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
46.6152,0.0010,46.6152,1,,,0.000,-,214 522.4,4p6,1S,0,4p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)7d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
47.4875,0.0005,47.4875,10,,,0.000,-,210 581.8,4p6,1S,0,4p<sup>5</sup>(<sup>2</sup>P°<sub>3/2</sub>)8d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
48.1115,0.0005,48.11177,40,,,0.000,-,207 849.35,4p6,1S,0,4p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)6d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
48.8532,0.0005,48.85348,5,,,0.000,-,204 693.695,4p6,1S,0,4p<sup>5</sup>(<sup>2</sup>P°<sub>3/2</sub>)8s,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
49.0344,0.0005,49.03449,3,,,0.000,-,203 938.09,4p6,1S,0,4p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)7s,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
49.7428,0.0005,49.74295,90,,,0.000,-,201 033.495,4p6,1S,0,4p<sup>5</sup>(<sup>2</sup>P°<sub>3/2</sub>)6d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
50.3291,0.0005,50.32920,3,,,0.000,-,198 691.823,4p6,1S,0,4p<sup>5</sup>(<sup>2</sup>P°<sub>3/2</sub>)6d,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
50.8436,0.0005,50.84342,20,,,0.000,-,196 682.28,4p6,1S,0,4p<sup>5</sup>(<sup>2</sup>P°<sub>3/2</sub>)7s,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
51.3268,0.0005,51.32661,150,,,0.000,-,194 830.71,4p6,1S,0,4p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)5d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
53.0174,0.0002,53.01729,300,,,0.000,-,188 617.702,4p6,1S,0,4p<sup>5</sup>(<sup>2</sup>P°<sub>3/2</sub>)5d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
