Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
46.079,0.008,46.079,0.008,110a*,,,0.00,-,217 020,1s22s2,1S,0,1s<sup>2</sup>2p4s,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
47.352,0.005,47.349,0.005,23a*,,,37 335.54,-,248 534,1s22s2p,3P°,0,1s<sup>2</sup>2p13p,3P,"0,1,2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
47.352,0.005,47.350,0.005,23a*,,,37 341.65,-,248 534,1s22s2p,3P°,1,1s<sup>2</sup>2p13p,3P,"0,1,2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
47.352,0.005,47.354,0.005,23a*,,,37 357.80,-,248 534,1s22s2p,3P°,2,1s<sup>2</sup>2p13p,3P,"0,1,2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
47.457,0.003,47.454,0.003,27a*,,,37 335.54,-,248 067,1s22s2p,3P°,0,1s<sup>2</sup>2p12p,3P,"0,1,2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
47.457,0.003,47.455,0.003,27a*,,,37 341.65,-,248 067,1s22s2p,3P°,1,1s<sup>2</sup>2p12p,3P,"0,1,2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
47.457,0.003,47.459,0.003,27a*,,,37 357.80,-,248 067,1s22s2p,3P°,2,1s<sup>2</sup>2p12p,3P,"0,1,2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
47.604,0.003,47.601,0.003,43a*,,,37 335.54,-,247 416,1s22s2p,3P°,0,1s<sup>2</sup>2p11p,3P,"0,1,2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
47.604,0.003,47.602,0.003,43a*,,,37 341.65,-,247 416,1s22s2p,3P°,1,1s<sup>2</sup>2p11p,3P,"0,1,2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
47.604,0.003,47.606,0.003,43a*,,,37 357.80,-,247 416,1s22s2p,3P°,2,1s<sup>2</sup>2p11p,3P,"0,1,2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
