obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
350.597,,28522.8,3000,,,,,,,u2,
357.158,,27998.8,3000,,,,,,,u2,
357.284,,27988.9,3000,,,,,,,u2,
361.910,,27631.2,3000,,,,,,,u2,
363.756,,27491.0,10000,,,,,,,u2,
370.379,,26999.3,3000,,,,,,,u2,
375.374,,26640.1,3000,,,,,,,u2,
387.445,,25810.1,3000,,,,,,,u2,
393.294,,25426.3,3000,,,,,,,u2,
398.295,,25107.0,3000,,,,,,,u2,
398.336,,25104.5,10000,,,,,,,u2,
603.745,,16563.3,3000l,,,,,,,u2,
616.427,,16222.5,3000,,,,,,,u2,
636.037,,15722.36,3000l,,,,,,,u2,
638.101,,15671.49,3000,,,,,,,u2,
644.075,,15526.14,3000l,,,,,,,u2,
679.462,,14717.52,3000w,,,,,,,u2,
694.764,,14393.39,10000,,,,,,,u2,
696.201,,14363.67,3000,,,,,,,u2,
696.370,,14360.18,3000w,,,,,,,u2,
699.466,,14296.62,3000s,,,,,,,u2,
707.822,,14127.84,3000,,,,,,,u2,
710.290,,14078.76,3000w,,,,,,,u2,
711.685,,14051.16,10000s,,,,,,,u2,
717.353,,13940.14,3000w,,,,,,,u2,
722.912,,13832.94,3000,,,,,,,u2,
732.081,,13659.70,3000,,,,,,,u2,
737.028,,13568.01,10000l,,,,,,,u2,
747.395,,13379.81,3000w,,,,,,,u2,
749.521,,13341.85,10000w,,,,,,,u2,
756.034,,13226.92,3000w,,,,,,,u2,
761.029,,13140.10,10000w,,,,,,,u2,
762.889,,13108.07,10000,,,,,,,u2,
763.728,,13093.66,10000s,,,,,,,u2,
767.145,,13035.34,10000,,,,,,,u2,
768.131,,13018.61,3000,,,,,,,u2,
775.132,,12901.02,10000w,,,,,,,u2,
787.512,,12698.23,3000,,,,,,,u2,
794.775,,12582.18,3000l,,,,,,,u2,
804.155,,12435.41,10000,,,,,,,u2,
810.207,,12342.53,10000w,,,,,,,u2,
820.129,,12193.20,10000,,,,,,,u2,
827.414,,12085.84,10000,,,,,,,u2,
836.128,,11959.90,3000s,,,,,,,u2,
837.190,,11944.72,3000s,,,,,,,u2,
844.336,,11843.63,3000w,,,,,,,u2,
853.500,,11716.46,10000w,,,,,,,u2,
857.532,,11661.38,10000s,,,,,,,u2,
864.228,,11571.02,3000w,,,,,,,u2,
865.589,,11552.83,3000w,,,,,,,u2,
873.767,,11444.70,10000,,,,,,,u2,
1092.631,,9152.22,3000,,,,,,,u2,
1179.496,,8478.20,10000,,,,,,,u2,
1434.868,,6969.28,10000,,,,,,,u2,
1848.366,,5410.19,3000,,,,,,,u2,
