obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
,224.3239,44578.40,,4.0e+05,E,11361.02,55939.421,3s2.3p3,2D*,3/2,3s2.3p2.(3P).4s,4P,1/2,4,2,,T1220,,
253.4738,253.4748,39451.82,750,2.00e+07,C,18722.71,58174.366,3s2.3p3,2P*,1/2,3s2.3p2.(3P).4s,2P,3/2,2,4,,T1220,L5148,
253.6365,253.6374,39426.50,950,9.5e+07,C,18748.01,58174.366,3s2.3p3,2P*,3/2,3s2.3p2.(3P).4s,2P,3/2,4,4,,T1220,L5148,
255.4028,255.4026,39153.84,750,7.1e+07,C,18722.71,57876.574,3s2.3p3,2P*,1/2,3s2.3p2.(3P).4s,2P,1/2,2,2,,T1220,L5148,
255.5681,255.5678,39128.51,500,3.00e+07,C,18748.01,57876.574,3s2.3p3,2P*,3/2,3s2.3p2.(3P).4s,2P,1/2,4,2,,T1220,L5148,
,266.0166,37591.65,,4.1e+01,E,18748.01,56339.656,3s2.3p3,2P*,3/2,3s2.3p2.(3P).4s,4P,5/2,4,6,,T1220,,
,267.6093,37367.92,,2.7e+04,E,18722.71,56090.626,3s2.3p3,2P*,1/2,3s2.3p2.(3P).4s,4P,3/2,2,4,,T1220,,
,267.7906,37342.62,,1.3e+05,E,18748.01,56090.626,3s2.3p3,2P*,3/2,3s2.3p2.(3P).4s,4P,3/2,4,4,,T1220,,
,268.6965,37216.71,,3.9e+04,E,18722.71,55939.421,3s2.3p3,2P*,1/2,3s2.3p2.(3P).4s,4P,1/2,2,2,,T1220,,
,268.8793,37191.41,,4.1e+04,E,18748.01,55939.421,3s2.3p3,2P*,3/2,3s2.3p2.(3P).4s,4P,1/2,4,2,,T1220,,
,497.9539,20082.18,,1.1e+06,E,55939.421,76021.601,3s2.3p2.(3P).4s,4P,1/2,3s2.3p2.(3P).5p,4S*,3/2,2,4,,"T1619CA,LS",,
,501.7316,19930.97,,2.0e+06,E,56090.626,76021.601,3s2.3p2.(3P).4s,4P,3/2,3s2.3p2.(3P).5p,4S*,3/2,4,4,,"T1619CA,LS",,
