obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
629.732,629.7317+,15879.8,35,,,0.000,15879.778,4f.5d.6s2,1G*,4,4f.5d.(3H*).6s.6p.(3P*),,5,9,11,,,L3475,
630.195,630.1946+,15868.1,23,3.07e+06,B+,1279.424,17147.538,4f.5d.6s2,3H*,4,4f.5d.(3G*).6s.6p.(3P*)?,,4,9,9,,T8748,L3475,
630.838,630.8386+,15851.9,13,,,3210.583,19062.498,4f.(2F*) .5d2.(3F).6s (4F),*,5,4f.5d.(3H*).6s.6p.(3P*),,5,11,11,,,L3475,
631.175,631.1757+,15843.5,35,,,0.000,15843.449,4f.5d.6s2,1G*,4,4f.5d.(3H*).6s.6p.(3P*),5I,4,9,9,,,L3475,
633.711,633.7097+,15780.06,9,,,3764.008,19544.105,4f.(2F*) .5d2.(3F).6s (4F),5I*,5,4f.5d.(3D*).6s.6p.(3P*),,4,11,9,,,L3475,
633.896,633.8965+,15775.45,11,,,1663.120,17438.566,4f.5d.6s2,3F*,3,4f.5d.(3F*).6s.6p.(3P*),,4,7,9,,,L3475,
634.245,634.2454+,15766.77,13,,,8400.730,24167.499,4f.(2F*) .5d2.(3F).6s (2F),*,5,,,6,11,13,,,L3475,
638.861,638.8610+,15652.87,28,,,12114.115,27766.972,4f2.(3H).5d (4I).6s,5I,4,,*,4,9,9,,,L3475,
639.693,639.6898+,15632.50,11,,,10249.014,25881.592,4f.(2F*) .5d2.(3P).6s (4P),5D*,0,,,2,1,5,,,L3475,
643.185,643.1909+,15547.63,35i*,,,10612.867,26160.350,,*,2,,,2,5,5,,,L3475,
643.185,643.1882+,15547.63,35i*,,,13219.389,28766.939,4f.(2F*) .5d2.(1G).6s (2G)?,3H*?,6,,,4,13,9,,,L3475,
643.617,643.6167+,15537.19,19,,,228.849,15766.048,4f.5d.6s2,3F*,2,4f2.(3F).5d (4H).6s?,,3,5,7,,,L3475,
643.818,643.8178+,15532.34,23,3.01e+06,B,3764.008,19296.353,4f.(2F*) .5d2.(3F).6s (4F),5I*,5,4f.(2F*).5d2.(3F) (4I*).6p,,4,11,9,,T8748,L3475,
644.790,644.7908+,15508.92,19,,,14027.718,29536.625,,*,3 or 4 or 5,,,2,7,5,,,L3475,
645.981,645.9818+,15480.32,35,4.12e+06,B+,1388.941,16869.253,4f.5d.6s2,3G*,3,4f2.(3F).5d (4H).6s?,,4,7,9,,T8748,L3475,
646.918,646.9180+,15457.92,28,,,2437.629,17895.539,4f.(2F*) .5d2.(3F).6s (4F),5H*,4,4f2.(3H).5d (4H).6s,,5,9,11,,,L3475,
647.551,647.5486+,15442.80,35,,,5519.751,20962.608,4f.(2F*) .5d2.(3F).6s (4F),*,3,,,2,7,5,,,L3475,
649.276,649.2773+,15401.76,17,,,6663.226,22064.966,4f.(2F*) .5d2.(3F).6s (4F),*,5,4f.5d.(3H*).6s.6p.(3P*),,6,11,13,,,L3475,
651.911,651.9110+,15339.52,19,,,3210.583,18550.101,4f.(2F*) .5d2.(3F).6s (4F),*,5,4f2.(3H).5d (2G).6s,,4,11,9,,,L3475,
655.351,655.3512+,15259.00,19,2.15e+06,B+,3976.104,19235.098,4f.5d.6s2,3H*,6,4f.5d.(3H*).6s.6p.(3P*),,6,13,13,,T8748,L3475,
655.746,655.7460+,15249.80,45,7.1e+06,B+,6475.540,21725.348,4f.(2F*) .5d2.(3F).6s (2F),*,4,4f.(2F*).5d2.(3F) (4I*).6p,5I,5,9,11,,T8748,L3475,
658.092,658.0861+,15195.45,24i*,,,11030.470,26226.051,4f.(2F*) .5d2.(3P).6s (4P),5G*,6,,,5,13,11,,,L3475,
658.092,658.0942+,15195.45,23i*,,,13924.569,29119.963,,*,3,,,2 or 3,7,5,,,L3475,
660.817,660.8176+,15132.77,15,,,2378.827,17511.596,4f.5d.6s2,1D*,2,,,3,5,7,,,L3475,
661.389,661.3808+,15119.70,22,,,13784.151,28904.034,4f.5d.(1G*).6s.6p.(3P*),,5,,*,6,11,13,,,L3475,
