obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
40.5774,,,246443,"a,w",,,,,,,,,,,1,1,,,L6851,
40.6170,,,246202,a,,,,,,,,,,,1,1,,,L6851,
40.6764,,,245843,a,,,,,,,,,,,1,1,,,L6851,
40.9259,,,244344,"a,w",,,,,,,,,,,1,1,,,L6851,
40.9760,,,244045,a,,,,,,,,,,,1,1,,,L6851,
41.1016,,,243300,"a,w",,,,,,,,,,,1,1,,,L6851,
42.2514,42.2515,0.0007,236679,a,,,0.0000,236678,3p6.4s,2S,1/2,3p5.3d.(1P*).23s,2P*,"1/2,3/2",2,6,,,L6851,
42.2567,42.2567,0.0007,236649,a,,,0.0000,236649,3p6.4s,2S,1/2,3p5.3d.(1P*).22s,2P*,"1/2,3/2",2,6,,,L6851,
42.2634,42.2633,0.0007,236611,a,,,0.0000,236612,3p6.4s,2S,1/2,3p5.3d.(1P*).21s,2P*,"1/2,3/2",2,6,,,L6851,
42.2710,42.2710,0.0007,236569,a,,,0.0000,236569,3p6.4s,2S,1/2,3p5.3d.(1P*).20s,2P*,"1/2,3/2",2,6,,,L6851,
42.2803,42.2803,0.0007,236517,a,,,0.0000,236517,3p6.4s,2S,1/2,3p5.3d.(1P*).19s,2P*,"1/2,3/2",2,6,,,L6851,
42.2909,42.2910,0.0007,236457,a,,,0.0000,236457,3p6.4s,2S,1/2,3p5.3d.(1P*).18s,2P*,"1/2,3/2",2,6,,,L6851,
42.3042,42.3042,0.0007,236383,a,,,0.0000,236383,3p6.4s,2S,1/2,3p5.3d.(1P*).17s,2P*,"1/2,3/2",2,6,,,L6851,
42.3191,42.3191,0.0007,236300,a,,,0.0000,236300,3p6.4s,2S,1/2,3p5.3d.(1P*).16s,2P*,"1/2,3/2",2,6,,,L6851,
42.3374,42.3374,0.0007,236198,"a,w",,,0.0000,236198,3p6.4s,2S,1/2,3p5.3d.(1P*).15s,2P*,"1/2,3/2",2,6,,,L6851,
42.3603,42.3603,0.0007,236070,"a,w",,,0.0000,236070,3p6.4s,2S,1/2,3p5.3d.(1P*).14s,2P*,"1/2,3/2",2,6,,,L6851,
42.3862,42.3862,0.0007,235926,"a,w",,,0.0000,235926,3p6.4s,2S,1/2,3p5.3d.(1P*).13s,2P*,"1/2,3/2",2,6,,,L6851,
42.4227,42.4227,0.0007,235723,"a,w",,,0.0000,235723,3p6.4s,2S,1/2,3p5.3d.(1P*).12s,2P*,"1/2,3/2",2,6,,,L6851,
42.4715,42.4715,0.0007,235452,"a,w",,,0.0000,235452,3p6.4s,2S,1/2,3p5.3d.(1P*).11s,2P*,"1/2,3/2",2,6,,,L6851,
