obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
80.2859,,,124554.9,20,,,,,,,,,,,1,1,,,L2131,
80.6471,,,123997.0,100,,,,,,,,,,,1,1,,,L2131,
80.6869,,,123935.9,60,,,,,,,,,,,1,1,,,L2131,
80.7218,,,123882.3,30,,,,,,,,,,,1,1,,,L2131,
80.7653,,,123815.5,40,,,,,,,,,,,1,1,,,L2131,
80.9927,,,123467.9,50,,,,,,,,,,,1,1,,,L2131,
81.6232,,,122514.2,120,,,,,,,,,,,1,1,,,L2131,
81.6464,,,122479.4,70,,,,,,,,,,,1,1,,,L2131,
82.0124,,,121932.8,80,,,,,,,,,,,1,1,,,L2131,
82.5346,,,121161.3,120,,,,,,,,,,,1,1,,,L2131,
82.6365,,,121011.9,120,,,,,,,,,,,1,1,,,L2131,
83.4392,,,119847.7,150,,,,,,,,,,,1,1,,,L2131,
83.5002,,,119760.2,100,,,,,,,,,,,1,1,,,L2131,
84.2805,,,118651.4,100,,,,,,,,,,,1,1,,,L2131,
86.6800,86.6800,0.0010,115366.9,180,3.13e+08,C+,0.0000,115366.866,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,1,3,,"T1355,T1618n",L2131,
86.9754,86.9754,0.0010,114975.0,150,3.50e+07,C,0.0000,114975.019,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,1,3,,"T1355,T1618n,T1372",L2131,
87.6058,87.6058,0.0010,114147.7,180r,2.70e+08,C+,0.0000,114147.732,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,1,3,,"T1355,T1618n",L2131,
87.9947,87.9947,0.0010,113643.2,180r,7.7e+07,C,0.0000,113643.260,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,1,3,,"T1355,T1618n,T1372",L2131,
89.4310,89.43102,0.00004,111818.0,150,,,0.0000,111818.028,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,1,3,,,L2131,
104.8220,104.8220,0.0010,95399.8,1000r,5.32e+08,AA,0.0000,95399.8276,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,1,3,,T7574,L2131,
106.6660,106.6660,0.0010,93750.6,500r,1.320e+08,A+,0.0000,93750.5978,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,1,3,,T7574,L2131,
320.129,,,31237.4,8,,,,,,,,,,,1,1,,,L2131,
332.030,,,30117.8,7,,,,,,,,,,,1,1,,,L3512,
337.444,,,29634.6,7,,,,,,,,,,,1,1,,,L3512,
339.470,,,29457.6,7,,,,,,,,,,,1,1,,,L3512,
,340.7158,0.0010,29349.98,,3.9e+05,D,95399.8276,124749.805,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).7p,2[1/2],0,3,1,,T1086n,,
