obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
308.7183,0.0005,308.7183,32391.99,,8.00e+03,,0.000,32391.99,7s,2S,1/2,20p,2P*,3/2,2,4,,T6898,L12264,
308.7739,0.0005,308.7740,32386.15,,8.01e+03,,0.000,32386.15,7s,2S,1/2,20p,2P*,1/2,2,2,,T6898,L12264,
309.3412,0.0005,309.3411,32326.77,,1.00e+04,,0.000,32326.77,7s,2S,1/2,19p,2P*,3/2,2,4,,T6898,L12264,
309.4095,0.0005,309.4095,32319.63,,9.82e+03,,0.000,32319.63,7s,2S,1/2,19p,2P*,1/2,2,2,,T6898,L12264,
310.1111,0.0005,310.1111,32246.51,,1.23e+04,,0.000,32246.51,7s,2S,1/2,18p,2P*,3/2,2,4,,T6898,L12264,
310.1963,0.0005,310.1963,32237.65,,1.23e+04,,0.000,32237.65,7s,2S,1/2,18p,2P*,1/2,2,2,,T6898,L12264,
311.0787,0.0005,311.0788,32146.20,,1.57e+04,,0.000,32146.20,7s,2S,1/2,17p,2P*,3/2,2,4,,T6898,L12264,
311.1868,0.0005,311.1869,32135.03,,1.57e+04,,0.000,32135.03,7s,2S,1/2,17p,2P*,1/2,2,2,,T6898,L12264,
312.3189,0.0005,312.3190,32018.55,,2.10e+04,,0.000,32018.55,7s,2S,1/2,16p,2P*,3/2,2,4,,T6898,L12264,
312.4590,0.0005,312.4590,32004.20,,2.11e+04,,0.000,32004.20,7s,2S,1/2,16p,2P*,1/2,2,2,,T6898,L12264,
313.9456,0.0005,313.9456,31852.65,,2.81e+04,,0.000,31852.65,7s,2S,1/2,15p,2P*,3/2,2,4,,T6898,L12264,
314.1319,0.0005,314.1319,31833.76,,2.81e+04,,0.000,31833.76,7s,2S,1/2,15p,2P*,1/2,2,2,,T6898,L12264,
316.1407,0.0005,316.1407,31631.49,,4.00e+04,,0.000,31631.49,7s,2S,1/2,14p,2P*,3/2,2,4,,T6898,L12264,
316.3962,0.0005,316.3961,31605.95,,3.91e+04,,0.000,31605.95,7s,2S,1/2,14p,2P*,1/2,2,2,,T6898,L12264,
319.2088,0.0005,319.2088,31327.46,,5.81e+04,,0.000,31327.46,7s,2S,1/2,13p,2P*,3/2,2,4,,T6898,L12264,
319.5734,0.0005,319.5734,31291.72,,5.81e+04,,0.000,31291.72,7s,2S,1/2,13p,2P*,1/2,2,2,,T6898,L12264,
323.6963,0.0005,323.6962,30893.16,,9.16e+04,,0.000,30893.16,7s,2S,1/2,12p,2P*,3/2,2,4,,T6898,L12264,
324.2439,0.0005,324.2439,30840.98,,9.15e+04,,0.000,30840.98,7s,2S,1/2,12p,2P*,1/2,2,2,,T6898,L12264,
330.6704,0.0005,330.6703,30241.60,,1.56e+05,,0.000,30241.60,7s,2S,1/2,11p,2P*,3/2,2,4,,T6898,L12264,
331.5532,0.0006,331.5532,30161.07,,1.56e+05,,0.000,30161.07,7s,2S,1/2,11p,2P*,1/2,2,2,,T6898,L12264,
342.4882,0.0006,342.4882,29198.09,,3.04e+05,,0.000,29198.09,7s,2S,1/2,10p,2P*,3/2,2,4,,T6898,L12264,
344.0661,0.0006,344.0661,29064.18,,3.02e+05,,0.000,29064.18,7s,2S,1/2,10p,2P*,1/2,2,2,,T6898,L12264,
365.4143,0.0007,365.4143,27366.20,,7.52e+05,,0.000,27366.20,7s,2S,1/2,9p,2P*,3/2,2,4,,T6898,L12264,
368.7559,0.0007,368.7559,27118.21,,7.24e+05,,0.000,27118.21,7s,2S,1/2,9p,2P*,1/2,2,2,,T6898,L12264,
422.6845,0.0009,422.68453,23658.31,,2.82e+06,,0.000,23658.306,7s,2S,1/2,8p,2P*,3/2,2,4,,T6898,L12264,
432.6577,0.0009,432.65770,23112.96,,2.64e+06,,0.000,23112.960,7s,2S,1/2,8p,2P*,1/2,2,2,,T6898,L12264,
494.7537,0.0002,494.75378,20212.075,,1.67e+05,,12237.409,32449.483,7p,2P*,1/2,20d,2D,3/2,2,4,,T6898,L12264,
496.0528,0.0002,496.05283,20159.145,,2.00e+05,,12237.409,32396.552,7p,2P*,1/2,19d,2D,3/2,2,4,,T6898,L12264,
497.0418,0.0002,497.04173,20119.034,,4.57e+04,,12237.409,32356.444,7p,2P*,1/2,20s,2S,1/2,2,2,,T6898,L12264,
497.6376,0.0002,497.63759,20094.944,,2.39e+05,,12237.409,32332.354,7p,2P*,1/2,18d,2D,3/2,2,4,,T6898,L12264,
498.8583,0.0002,498.85834,20045.771,,5.59e+04,,12237.409,32283.180,7p,2P*,1/2,19s,2S,1/2,2,2,,T6898,L12264,
499.5993,0.0002,499.59932,20016.039,,2.98e+05,,12237.409,32253.449,7p,2P*,1/2,17d,2D,3/2,2,4,,T6898,L12264,
501.1315,0.0002,501.13150,19954.841,,6.97e+04,,12237.409,32192.251,7p,2P*,1/2,18s,2S,1/2,2,2,,T6898,L12264,
502.0693,0.0002,502.06928,19917.570,,3.81e+05,,12237.409,32154.979,7p,2P*,1/2,16d,2D,3/2,2,4,,T6898,L12264,
504.0301,0.0002,504.03015,19840.084,,8.88e+04,,12237.409,32077.492,7p,2P*,1/2,17s,2S,1/2,2,2,,T6898,L12264,
505.2419,0.0002,505.24188,19792.498,,4.84e+05,,12237.409,32029.909,7p,2P*,1/2,15d,2D,3/2,2,4,,T6898,L12264,
507.8106,0.0002,507.81064,19692.381,,1.15e+05,,12237.409,31929.789,7p,2P*,1/2,16s,2S,1/2,2,2,,T6898,L12264,
509.4172,0.0002,509.41727,19630.274,,6.28e+05,,12237.409,31867.682,7p,2P*,1/2,14d,2D,3/2,2,4,,T6898,L12264,
512.8791,0.0002,512.87909,19497.774,,1.56e+05,,12237.409,31735.182,7p,2P*,1/2,15s,2S,1/2,2,2,,T6898,L12264,
515.0765,0.0002,515.07652,19414.590,,8.48e+05,,12237.409,31652.000,7p,2P*,1/2,13d,2D,3/2,2,4,,T6898,L12264,
519.9111,0.0002,519.91114,19234.056,,2.14e+05,,12237.409,31471.465,7p,2P*,1/2,14s,2S,1/2,2,2,,T6898,L12264,
523.0373,0.0002,523.03725,19119.096,,1.19e+06,,12237.409,31356.506,7p,2P*,1/2,12d,2D,3/2,2,4,,T6898,L12264,
530.1067,0.0002,530.10661,18864.128,,3.05e+05,,12237.409,31101.539,7p,2P*,1/2,13s,2S,1/2,2,2,,T6898,L12264,
534.7904,0.0002,534.79036,18698.915,,1.76e+06,,12237.409,30936.325,7p,2P*,1/2,11d,2D,3/2,2,4,,T6898,L12264,
539.7676,0.0002,539.76765,18526.491,,1.55e+05,,13923.998,32450.488,7p,2P*,3/2,20d,2D,5/2,4,6,,T6898,L12264,
539.7969,0.0002,539.79693,18525.485,,2.62e+04,,13923.998,32449.483,7p,2P*,3/2,20d,2D,3/2,4,4,,T6898,L12264,
541.3082,0.0002,541.30823,18473.763,,1.86e+05,,13923.998,32397.761,7p,2P*,3/2,19d,2D,5/2,4,6,,T6898,L12264,
541.3436,0.0002,541.34366,18472.554,,3.13e+04,,13923.998,32396.552,7p,2P*,3/2,19d,2D,3/2,4,4,,T6898,L12264,
542.5216,0.0002,542.52159,18432.447,,6.99e+04,,13923.998,32356.444,7p,2P*,3/2,20s,2S,1/2,4,2,,T6898,L12264,
543.1881,0.0002,543.18810,18409.828,,6.66e+05,,13923.998,32333.827,7p,2P*,3/2,18d,2D,5/2,4,6,,T6898,L12264,
543.2316,0.0002,543.23156,18408.356,,3.73e+04,,13923.998,32332.354,7p,2P*,3/2,18d,2D,3/2,4,4,,T6898,L12264,
544.6865,0.0002,544.68658,18359.183,,8.73e+04,,13923.998,32283.180,7p,2P*,3/2,19s,2S,1/2,4,2,,T6898,L12264,
545.5158,0.0002,545.51573,18331.276,,2.77e+05,,13923.998,32255.275,7p,2P*,3/2,17d,2D,5/2,4,6,,T6898,L12264,
545.5701,0.0002,545.57008,18329.451,,4.55e+04,,13923.998,32253.449,7p,2P*,3/2,17d,2D,3/2,4,4,,T6898,L12264,
545.7891,0.0002,545.78911,18322.094,,4.56e+05,,12237.409,30559.504,7p,2P*,1/2,12s,2S,1/2,2,2,,T6898,L12264,
547.3978,0.0002,547.39772,18268.251,,1.06e+05,,13923.998,32192.251,7p,2P*,3/2,18s,2S,1/2,4,2,,T6898,L12264,
548.4477,0.0002,548.44779,18233.278,,3.45e+05,,13923.998,32157.274,7p,2P*,3/2,16d,2D,5/2,4,6,,T6898,L12264,
548.5169,0.0002,548.51684,18230.980,,5.80e+04,,13923.998,32154.979,7p,2P*,3/2,16d,2D,3/2,4,4,,T6898,L12264,
550.8582,0.0002,550.85814,18153.492,,1.35e+05,,13923.998,32077.492,7p,2P*,3/2,17s,2S,1/2,4,2,,T6898,L12264,
552.2171,0.0002,552.21700,18108.821,,4.48e+05,,13923.998,32032.821,7p,2P*,3/2,15d,2D,5/2,4,6,,T6898,L12264,
552.3058,0.0002,552.30582,18105.912,,7.37e+04,,13923.998,32029.909,7p,2P*,3/2,15d,2D,3/2,4,4,,T6898,L12264,
553.3252,0.0002,553.32526,18072.553,,2.67e+06,,12237.409,30309.962,7p,2P*,1/2,10d,2D,3/2,2,4,,T6898,L12264,
555.3769,0.0002,555.37688,18005.790,,1.75e+05,,13923.998,31929.789,7p,2P*,3/2,16s,2S,1/2,4,2,,T6898,L12264,
557.1802,0.0002,557.18017,17947.516,,1.74e+06,,13923.998,31871.514,7p,2P*,3/2,14d,2D,5/2,4,6,,T6898,L12264,
557.2991,0.0002,557.29916,17943.686,,9.77e+04,,13923.998,31867.682,7p,2P*,3/2,14d,2D,3/2,4,4,,T6898,L12264,
561.4450,0.0002,561.44499,17811.183,,2.37e+05,,13923.998,31735.182,7p,2P*,3/2,15s,2S,1/2,4,2,,T6898,L12264,
563.9154,0.0002,563.91538,17733.157,,2.35e+06,,13923.998,31657.155,7p,2P*,3/2,13d,2D,5/2,4,6,,T6898,L12264,
564.0793,0.0002,564.07936,17728.003,,1.32e+05,,13923.998,31652.000,7p,2P*,3/2,13d,2D,3/2,4,4,,T6898,L12264,
569.8828,0.0002,569.88282,17547.468,,3.25e+05,,13923.998,31471.465,7p,2P*,3/2,14s,2S,1/2,4,2,,T6898,L12264,
572.0332,0.0002,572.03329,17481.501,,7.38e+05,,12237.409,29718.909,7p,2P*,1/2,11s,2S,1/2,2,2,,T6898,L12264,
573.4058,0.0002,573.40577,17439.656,,1.09e+06,,13923.998,31363.655,7p,2P*,3/2,12d,2D,5/2,4,6,,T6898,L12264,
573.6409,0.0002,573.64092,17432.509,,1.80e+05,,13923.998,31356.506,7p,2P*,3/2,12d,2D,3/2,4,4,,T6898,L12264,
585.5114,0.0002,585.51136,17079.088,,4.44e+06,,12237.409,29316.497,7p,2P*,1/2,9d,2D,3/2,2,4,,T6898,L12264,
587.4528,0.0002,587.45277,17022.645,,1.58e+06,,13923.998,30946.643,7p,2P*,3/2,11d,2D,5/2,4,6,,T6898,L12264,
587.8091,0.0002,587.80906,17012.327,,2.65e+05,,13923.998,30936.325,7p,2P*,3/2,11d,2D,3/2,4,4,,T6898,L12264,
601.1238,0.0002,601.12389,16635.507,,6.84e+05,,13923.998,30559.504,7p,2P*,3/2,12s,2S,1/2,4,2,,T6898,L12264,
609.6963,0.0002,609.69635,16401.608,,3.56e+06,,13923.998,30325.605,7p,2P*,3/2,10d,2D,5/2,4,6,,T6898,L12264,
610.2784,0.0002,610.27841,16385.964,,3.99e+05,,13923.998,30309.962,7p,2P*,3/2,10d,2D,3/2,4,4,,T6898,L12264,
618.731,0.002,618.7307,16162.11,,7.93e+02,,16229.87,32391.99,6d,2D,3/2,20p,2P*,3/2,4,4,,T6898,L12264,
618.954,0.002,618.9544,16156.28,,7.94e+03,,16229.87,32386.15,6d,2D,3/2,20p,2P*,1/2,4,2,,T6898,L12264,
621.238,0.002,621.2376,16096.89,,9.90e+02,,16229.87,32326.77,6d,2D,3/2,19p,2P*,3/2,4,4,,T6898,L12264,
621.513,0.002,621.5133,16089.77,,9.91e+03,,16229.87,32319.63,6d,2D,3/2,19p,2P*,1/2,4,2,,T6898,L12264,
