"=""201.76""","=""0.02""","=""201.763""","=""0.020""","=""""","=""""",,"=""0.000""","=""49547""","=""5s2""","=""1S""","=""0""","=""4d.6p""","=""3P*""","=""1""",,"=""""","=""L7603""",
"=""202.321""","=""0.002""","=""202.3235""","=""0.0006""","=""""","=""""",,"=""0.000""","=""49409.86""","=""5s2""","=""1S""","=""0""","=""4d.6p""","=""3D*""","=""1""",,"=""""","=""L7603""",
"=""219.3977""","=""0.0004""","=""219.39814""","=""0.00014""","=""""","=""2.56e+05""",A',"=""0.000""","=""45565.00""","=""5s2""","=""1S""","=""0""","=""5s.20p""","=""1P*""","=""1""",,"=""T5889""","=""L7603""",
"=""219.6214""","=""0.0004""","=""219.62161""","=""0.00014""","=""""","=""3.2e+05""",B',"=""0.000""","=""45518.64""","=""5s2""","=""1S""","=""0""","=""5s.19p""","=""1P*""","=""1""",,"=""T4337""","=""L7603""",
"=""219.7664""","=""0.0009""","=""219.765764""","=""0.000006""","=""""","=""""",,"=""0.000""","=""45488.7860""","=""5s2""","=""1S""","=""0""","=""5s.19s""","=""1S""","=""0""",2P,"=""""","=""L14021""",
"=""219.8892""","=""0.0004""","=""219.89033""","=""0.00024""","=""""","=""4.2e+05""",B',"=""0.000""","=""45463.02""","=""5s2""","=""1S""","=""0""","=""5s.18p""","=""1P*""","=""1""",,"=""T4337""","=""L7603""",
"=""220.0663""","=""0.0009""","=""220.066879""","=""0.000006""","=""""","=""""",,"=""0.000""","=""45426.5505""","=""5s2""","=""1S""","=""0""","=""5s.18s""","=""1S""","=""0""",2P,"=""""","=""L14021""",
"=""220.2176""","=""0.0004""","=""220.21820""","=""0.00019""","=""""","=""5.0e+05""",B',"=""0.000""","=""45395.34""","=""5s2""","=""1S""","=""0""","=""5s.17p""","=""1P*""","=""1""",,"=""T4337""","=""L7603""",
"=""220.4362""","=""0.0009""","=""220.437273""","=""0.000006""","=""""","=""""",,"=""0.000""","=""45350.2296""","=""5s2""","=""1S""","=""0""","=""5s.17s""","=""1S""","=""0""",2P,"=""""","=""L14021""",
"=""220.6239""","=""0.0004""","=""220.62332""","=""0.00019""","=""""","=""6.4e+05""",B',"=""0.000""","=""45311.99""","=""5s2""","=""1S""","=""0""","=""5s.16p""","=""1P*""","=""1""",,"=""T4337""","=""L7603""",
"=""220.9011""","=""0.0009""","=""220.900063""","=""0.000006""","=""""","=""""",,"=""0.000""","=""45255.2295""","=""5s2""","=""1S""","=""0""","=""5s.16s""","=""1S""","=""0""",2P,"=""""","=""L14021""",
"=""221.1310""","=""0.0004""","=""221.13170""","=""0.00020""","=""""","=""8.5e+05""",B',"=""0.000""","=""45207.83""","=""5s2""","=""1S""","=""0""","=""5s.15p""","=""1P*""","=""1""",,"=""T4337""","=""L7603""",
