obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""307.9815""","=""0.0004""","=""307.98122""","=""0.00006""","=""4""","=""""",,"=""7255.355""","=""39715.439""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d3.(2D2).4p""","=""s 3D*""","=""3""",,"=""""","=""L10989""",
"=""308.1355""","=""0.0004""","=""308.13434""","=""0.00008""","=""5""","=""""",,"=""11531.761""","=""43975.715""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d2.4s.(4F).5p""","=""o 3D*""","=""1""",,"=""""","=""L10989""",
"=""308.1724""","=""0.0004""","=""308.17237""","=""0.00006""","=""3""","=""""",,"=""11639.8109""","=""44079.761""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.4s.(4F).5p""","=""o 3D*""","=""2""",,"=""""","=""L10989""",
"=""308.2613""","=""0.0004""","=""308.26114""","=""0.00006""","=""6""","=""""",,"=""7255.355""","=""39685.964""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d3.(2D2).4p""","=""s 3D*""","=""2""",,"=""""","=""L10989""",
"=""308.4817""","=""0.0004""","=""308.48161""","=""0.00019""","=""8""","=""""",,"=""8436.618""","=""40844.05""","=""3d2.4s2""","=""a 3P""","=""0""","=""3d3.(2P).4p""","=""x 3S*""","=""1""",,"=""""","=""L10989""",
"=""308.4883""","=""0.0004""","=""308.48833""","=""0.00006""","=""00""","=""""",,"=""7255.355""","=""39662.081""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d3.(2D2).4p""","=""s 3D*""","=""1""",,"=""""","=""L10989""",
"=""308.5032""","=""0.0004""","=""308.50394""","=""0.00012""","=""8bl""","=""""",,"=""16267.480""","=""48672.566""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""5""","=""3d2.4s.(4F).5d""","=""5F""","=""4""",,"=""""","=""L10989""",
"=""308.6818""","=""0.0004""","=""308.68176""","=""0.00009""","=""3""","=""""",,"=""11776.812""","=""44163.232""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d2.(1G).4s.4p.(1P*)""","=""x 1H*""","=""5""",,"=""""","=""L10989""",
"=""308.9738""","=""0.0004""","=""308.97302""","=""0.00010""","=""00""","=""""",,"=""16106.076""","=""48461.967""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""4""","=""3d2.4p2""","=""5F""","=""5""",,"=""""","=""L10989""",
"=""309.0137""","=""0.0004""","=""309.01374""","=""0.00019""","=""10""","=""""",,"=""8492.422""","=""40844.05""","=""3d2.4s2""","=""a 3P""","=""1""","=""3d3.(2P).4p""","=""x 3S*""","=""1""",,"=""""","=""L10989""",
"=""309.2034""","=""0.0004""","=""309.20320""","=""0.00009""","=""2""","=""""",,"=""15877.081""","=""48208.887""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""2""","=""3d2.4p2""","=""5F""","=""3""",,"=""""","=""L10989""",
"=""309.3839""","=""0.0004""","=""309.38378""","=""0.00009""","=""6""","=""""",,"=""16458.671""","=""48771.606""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""6""","=""3d2.4s.(4F).5d""","=""5F""","=""5""",,"=""""","=""L10989""",
"=""310.06665""","=""0.00012""","=""310.06633""","=""0.00007""","=""14""","=""""",,"=""8602.3441""","=""40844.151""","=""3d2.4s2""","=""a 3P""","=""2""","=""3d3.(4P).4p""","=""r 3D*""","=""3""",,"=""""","=""L10989""",
"=""310.1486""","=""0.0004""","=""310.14859""","=""0.00009""","=""11""","=""""",,"=""15975.631""","=""48208.887""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""3""","=""3d2.4p2""","=""5F""","=""3""",,"=""""","=""L10989""",
"=""310.1766""","=""0.0004""","=""310.17655""","=""0.00009""","=""5""","=""""",,"=""15877.081""","=""48107.432""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""2""","=""3d2.4p2""","=""5F""","=""2""",,"=""""","=""L10989""",
"=""310.2504""","=""0.0004""","=""310.25048""","=""0.00009""","=""6""","=""""",,"=""16106.076""","=""48328.747""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""4""","=""3d2.4p2""","=""5F""","=""4""",,"=""""","=""L10989""",
"=""310.5221""","=""0.0004""","=""310.52209""","=""0.00010""","=""6""","=""""",,"=""16267.480""","=""48461.967""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""5""","=""3d2.4p2""","=""5F""","=""5""",,"=""""","=""L10989""",
