obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
,,12482.2,0.4,801.14,,2.71e+04,A,38399.79,39200.93,2p6.6f,2F*,7/2,2p6.7d,2D,5/2,8,6,,c30,,
,,12482.2,0.4,801.14,,1.36e+03,A,38399.79,39200.93,2p6.6f,2F*,5/2,2p6.7d,2D,5/2,6,6,,c30,,
,,12626.9,0.5,791.96,,5.21e+04,D,39298.35,40090.31,2p6.8p,2P*,1/2,2p6.9d,2D,3/2,2,4,,"c58,LS",,
,,12634.7,0.5,791.47,,6.24e+04,D+,39298.84,40090.31,2p6.8p,2P*,3/2,2p6.9d,2D,5/2,4,6,,"c58,LS",,
,,12634.7,0.5,791.47,,1.04e+04,E,39298.84,40090.31,2p6.8p,2P*,3/2,2p6.9d,2D,3/2,4,4,,"c58,LS",,
,,13971.9,0.4,715.722,,2.02e+05,A,37296.32,38012.042,2p6.6p,2P*,1/2,2p6.7s,2S,1/2,2,2,,c30,,
,,13997.1,0.4,714.432,,4.03e+05,A,37297.61,38012.042,2p6.6p,2P*,3/2,2p6.7s,2S,1/2,4,2,,c30,,
,,14600.2,0.6,684.92,,1.16e+04,B+,39298.35,39983.27,2p6.8p,2P*,1/2,2p6.10s,2S,1/2,2,2,,c30,,
,,14610.7,0.6,684.43,,2.30e+04,B+,39298.84,39983.27,2p6.8p,2P*,3/2,2p6.10s,2S,1/2,4,2,,c30,,
,,15134.3,0.6,660.75,,1.89e+05,A,38540.18,39200.93,2p6.7p,2P*,1/2,2p6.7d,2D,3/2,2,4,,c30,,
,,15151.5,0.6,660.00,,2.27e+05,A,38540.93,39200.93,2p6.7p,2P*,3/2,2p6.7d,2D,5/2,4,6,,c30,,
,,15151.5,0.6,660.00,,3.78e+04,A,38540.93,39200.93,2p6.7p,2P*,3/2,2p6.7d,2D,3/2,4,4,,c30,,
,,16049.8,0.5,623.061,,3.61e+04,D+,39728.70,[40351.761],2p6.8d,2D,3/2,2p6.10f,2F*,5/2,4,6,,"c58,LS",,
,,16049.8,0.5,623.061,,2.58e+03,E,39728.70,[40351.761],2p6.8d,2D,5/2,2p6.10f,2F*,5/2,6,6,,"c58,LS",,
,,16049.8,0.5,623.061,,3.86e+04,D+,39728.70,[40351.761],2p6.8d,2D,5/2,2p6.10f,2F*,7/2,6,8,,"c58,LS",,
,,16838.4,0.6,593.880,,2.86e+03,B+,39200.93,[39794.810],2p6.7d,2D,5/2,2p6.9p,2P*,3/2,6,4,,c30,,
,,16838.4,0.6,593.880,,3.18e+02,B,39200.93,[39794.810],2p6.7d,2D,3/2,2p6.9p,2P*,3/2,4,4,,c30,,
,,16847.8,0.6,593.549,,3.26e+03,B+,39200.93,[39794.479],2p6.7d,2D,3/2,2p6.9p,2P*,1/2,4,2,,c30,,
,,17787.5,0.6,562.193,,1.06e+04,C,39574.85,40137.043,2p6.9s,2S,1/2,2p6.10p,2P*,3/2,2,4,,"c58,LS",,
,,17794.9,0.6,561.960,,1.06e+04,D+,39574.85,40136.810,2p6.9s,2S,1/2,2p6.10p,2P*,1/2,2,2,,"c58,LS",,
,,18036.25,0.09,554.439,,2.80e+04,C,[39794.479],40348.918,2p6.9p,2P*,1/2,2p6.10d,2D,3/2,2,4,,"c58,LS",,
,,18047.02,0.09,554.108,,5.57e+03,D+,[39794.810],40348.918,2p6.9p,2P*,3/2,2p6.10d,2D,3/2,4,4,,"c58,LS",,
,,18047.12,0.09,554.105,,3.34e+04,C+,[39794.810],40348.915,2p6.9p,2P*,3/2,2p6.10d,2D,5/2,4,6,,"c58,LS",,
,,18753.6,1.0,533.23,,1.14e+05,A,39200.93,39734.16,2p6.7d,2D,5/2,2p6.8f,2F*,7/2,6,8,,c30,,
,,18753.6,1.0,533.23,,7.62e+03,A,39200.93,39734.16,2p6.7d,2D,5/2,2p6.8f,2F*,5/2,6,6,,c30,,
,,18753.6,1.0,533.23,,1.07e+05,A,39200.93,39734.16,2p6.7d,2D,3/2,2p6.8f,2F*,5/2,4,6,,c30,,
,,18907.6,0.7,528.888,,1.70e+05,A,38012.042,38540.93,2p6.7s,2S,1/2,2p6.7p,2P*,3/2,2,4,,c30,,
,,18934.4,0.7,528.138,,1.70e+05,A,38012.042,38540.18,2p6.7s,2S,1/2,2p6.7p,2P*,1/2,2,2,,c30,,
,,19241.1,1.0,519.72,,1.89e+04,A,39208.98,39728.70,2p6.7f,2F*,5/2,2p6.8d,2D,3/2,6,4,,c30,,
,,19241.1,1.0,519.72,,1.80e+04,A,39208.98,39728.70,2p6.7f,2F*,7/2,2p6.8d,2D,5/2,8,6,,c30,,
,,19241.1,1.0,519.72,,8.99e+02,A,39208.98,39728.70,2p6.7f,2F*,5/2,2p6.8d,2D,5/2,6,6,,c30,,
,,20238.0,0.8,494.121,,5.62e+04,A+,34548.729,35042.85,2p6.4d,2D,5/2,2p6.5p,2P*,3/2,6,4,,c30,,
,,20239.4,0.8,494.086,,6.24e+03,A+,34548.764,35042.85,2p6.4d,2D,3/2,2p6.5p,2P*,3/2,4,4,,c30,,
,,20341.1,0.8,491.616,,6.16e+04,A+,34548.764,35040.38,2p6.4d,2D,3/2,2p6.5p,2P*,1/2,4,2,,c30,,
,,20968.01,0.12,476.917,,9.65e+03,D+,[39794.479],40271.396,2p6.9p,2P*,1/2,2p6.11s,2S,1/2,2,2,,"c58,LS",,
,,20982.57,0.12,476.586,,1.93e+04,C,[39794.810],40271.396,2p6.9p,2P*,3/2,2p6.11s,2S,1/2,4,2,,"c58,LS",,
,,23236.9,1.5,430.35,,8.81e+04,A,39298.35,39728.70,2p6.8p,2P*,1/2,2p6.8d,2D,3/2,2,4,,c30,,
,,23263.4,1.5,429.86,,1.76e+04,A,39298.84,39728.70,2p6.8p,2P*,3/2,2p6.8d,2D,3/2,4,4,,c30,,
,,23263.4,1.5,429.86,,1.06e+05,A,39298.84,39728.70,2p6.8p,2P*,3/2,2p6.8d,2D,5/2,4,6,,c30,,
,,23346.5,1.5,428.33,,8.92e+04,A,38540.18,38968.51,2p6.7p,2P*,1/2,2p6.8s,2S,1/2,2,2,,c30,,
,,23387.4,1.5,427.58,,1.78e+05,A,38540.93,38968.51,2p6.7p,2P*,3/2,2p6.8s,2S,1/2,4,2,,c30,,
,,27360.5,2.1,365.49,,3.40e+03,D,39728.70,40094.19,2p6.8d,2D,5/2,2p6.9f,2F*,5/2,6,6,,"c58,LS",,
,,27360.5,2.1,365.49,,4.77e+04,C,39728.70,40094.19,2p6.8d,2D,3/2,2p6.9f,2F*,5/2,4,6,,"c58,LS",,
,,27360.5,2.1,365.49,,5.11e+04,C,39728.70,40094.19,2p6.8d,2D,5/2,2p6.9f,2F*,7/2,6,8,,"c58,LS",,
,,28078.1,2.2,356.15,,1.13e+04,D+,39734.16,40090.31,2p6.8f,2F*,5/2,2p6.9d,2D,3/2,6,4,,"c58,LS",,
,,28078.1,2.2,356.15,,5.40e+02,E,39734.16,40090.31,2p6.8f,2F*,5/2,2p6.9d,2D,5/2,6,6,,"c58,LS",,
,,28078.1,2.2,356.15,,1.08e+04,D+,39734.16,40090.31,2p6.8f,2F*,7/2,2p6.9d,2D,5/2,8,6,,"c58,LS",,
,,30273,3,330.33,,7.64e+04,A,38968.51,39298.84,2p6.8s,2S,1/2,2p6.8p,2P*,3/2,2,4,,c30,,
,,30318,3,329.84,,7.62e+04,A,38968.51,39298.35,2p6.8s,2S,1/2,2p6.8p,2P*,1/2,2,2,,c30,,
,,33803.1,2.3,295.831,,4.70e+04,B,[39794.479],40090.31,2p6.9p,2P*,1/2,2p6.9d,2D,3/2,2,4,,"c58,LS",,
,,33840.9,2.3,295.500,,9.38e+03,C+,[39794.810],40090.31,2p6.9p,2P*,3/2,2p6.9d,2D,3/2,4,4,,"c58,LS",,
,,33840.9,2.3,295.500,,5.63e+04,B,[39794.810],40090.31,2p6.9p,2P*,3/2,2p6.9d,2D,5/2,4,6,,"c58,LS",,
,,36166,4,276.50,,4.27e+04,B+,39298.35,39574.85,2p6.8p,2P*,1/2,2p6.9s,2S,1/2,2,2,,c30,,
,,36231,4,276.01,,8.52e+04,B+,39298.84,39574.85,2p6.8p,2P*,3/2,2p6.9s,2S,1/2,4,2,,c30,,
,,38248,3,261.451,,2.50e+04,B,40090.31,[40351.761],2p6.9d,2D,3/2,2p6.10f,2F*,5/2,4,6,,"c58,LS",,
,,38248,3,261.451,,1.78e+03,C,40090.31,[40351.761],2p6.9d,2D,5/2,2p6.10f,2F*,5/2,6,6,,"c58,LS",,
