obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
297.1206,0.0005,297.1204,33656.36,,,,0.000,33656.39,4p6.5s,2S,1/2,4p6.59p,2P*,1/2,2,2,,,L3287,
297.1319,0.0005,297.1317,33655.08,,,,0.000,33655.11,4p6.5s,2S,1/2,4p6.58p,2P*,1/2,2,2,,,L3287,
297.1319,0.0005,297.1317,33655.08,,,,0.000,33655.11,4p6.5s,2S,1/2,4p6.58p,2P*,3/2,2,4,,,L3287,
297.1435,0.0005,297.1433,33653.77,,,,0.000,33653.80,4p6.5s,2S,1/2,4p6.57p,2P*,3/2,2,4,,,L3287,
297.1435,0.0005,297.1433,33653.77,,,,0.000,33653.80,4p6.5s,2S,1/2,4p6.57p,2P*,1/2,2,2,,,L3287,
297.1557,0.0005,297.1555,33652.39,,,,0.000,33652.41,4p6.5s,2S,1/2,4p6.56p,2P*,3/2,2,4,,,L3287,
297.1557,0.0005,297.1555,33652.39,,,,0.000,33652.41,4p6.5s,2S,1/2,4p6.56p,2P*,1/2,2,2,,,L3287,
297.1686,0.0005,297.1684,33650.93,,,,0.000,33650.95,4p6.5s,2S,1/2,4p6.55p,2P*,1/2,2,2,,,L3287,
297.1686,0.0005,297.1684,33650.93,,,,0.000,33650.95,4p6.5s,2S,1/2,4p6.55p,2P*,3/2,2,4,,,L3287,
297.1829,0.0005,297.1827,33649.31,,,,0.000,33649.33,4p6.5s,2S,1/2,4p6.54p,2P*,3/2,2,4,,,L3287,
297.1829,0.0005,297.1827,33649.31,,,,0.000,33649.33,4p6.5s,2S,1/2,4p6.54p,2P*,1/2,2,2,,,L3287,
297.1972,0.0005,297.1970,33647.69,,,,0.000,33647.72,4p6.5s,2S,1/2,4p6.53p,2P*,3/2,2,4,,,L3287,
297.1972,0.0005,297.1970,33647.69,,,,0.000,33647.72,4p6.5s,2S,1/2,4p6.53p,2P*,1/2,2,2,,,L3287,
297.2131,0.0005,297.2125,33645.89,,,,0.000,33645.96,4p6.5s,2S,1/2,4p6.52p,2P*,3/2,2,4,,,L3287,
297.2131,0.0005,297.2125,33645.89,,,,0.000,33645.96,4p6.5s,2S,1/2,4p6.52p,2P*,1/2,2,2,,,L3287,
297.2299,0.0005,297.2296,33644.00,,,,0.000,33644.02,4p6.5s,2S,1/2,4p6.51p,2P*,1/2,2,2,,,L3287,
297.2299,0.0005,297.2296,33644.00,,,,0.000,33644.02,4p6.5s,2S,1/2,4p6.51p,2P*,3/2,2,4,,,L3287,
297.2477,0.0005,297.2474,33641.98,,,,0.000,33642.01,4p6.5s,2S,1/2,4p6.50p,2P*,3/2,2,4,,,L3287,
297.2477,0.0005,297.2474,33641.98,,,,0.000,33642.01,4p6.5s,2S,1/2,4p6.50p,2P*,1/2,2,2,,,L3287,
297.2664,0.0005,297.2661,33639.86,,,,0.000,33639.89,4p6.5s,2S,1/2,4p6.49p,2P*,3/2,2,4,,,L3287,
297.2664,0.0005,297.2661,33639.86,,,,0.000,33639.89,4p6.5s,2S,1/2,4p6.49p,2P*,1/2,2,2,,,L3287,
297.2864,0.0005,297.2861,33637.60,,,,0.000,33637.63,4p6.5s,2S,1/2,4p6.48p,2P*,1/2,2,2,,,L3287,
297.2864,0.0005,297.2861,33637.60,,,,0.000,33637.63,4p6.5s,2S,1/2,4p6.48p,2P*,3/2,2,4,,,L3287,
297.3078,0.0005,297.3075,33635.18,,,,0.000,33635.21,4p6.5s,2S,1/2,4p6.47p,2P*,3/2,2,4,,,L3287,
297.3078,0.0005,297.3075,33635.18,,,,0.000,33635.21,4p6.5s,2S,1/2,4p6.47p,2P*,1/2,2,2,,,L3287,
297.3309,0.0005,297.3359,33632.56,,,,0.000,33632.00,4p6.5s,2S,1/2,4p6.46p,2P*,3/2,2,4,,,L3287,
297.3309,0.0005,297.3359,33632.56,,,,0.000,33632.00,4p6.5s,2S,1/2,4p6.46p,2P*,1/2,2,2,,,L3287,
297.3556,0.0005,297.3553,33629.77,,,,0.000,33629.80,4p6.5s,2S,1/2,4p6.45p,2P*,1/2,2,2,,,L3287,
297.3556,0.0005,297.3553,33629.77,,,,0.000,33629.80,4p6.5s,2S,1/2,4p6.45p,2P*,3/2,2,4,,,L3287,
297.3819,0.0005,297.3816,33626.80,,,,0.000,33626.83,4p6.5s,2S,1/2,4p6.44p,2P*,3/2,2,4,,,L3287,
297.3819,0.0005,297.3816,33626.80,,,,0.000,33626.83,4p6.5s,2S,1/2,4p6.44p,2P*,1/2,2,2,,,L3287,
297.4104,0.0005,297.4101,33623.57,,,,0.000,33623.61,4p6.5s,2S,1/2,4p6.43p,2P*,3/2,2,4,,,L3287,
297.4104,0.0005,297.4101,33623.57,,,,0.000,33623.61,4p6.5s,2S,1/2,4p6.43p,2P*,1/2,2,2,,,L3287,
297.4409,0.0005,297.4407,33620.12,,,,0.000,33620.15,4p6.5s,2S,1/2,4p6.42p,2P*,3/2,2,4,,,L3287,
297.4409,0.0005,297.4407,33620.12,,,,0.000,33620.15,4p6.5s,2S,1/2,4p6.42p,2P*,1/2,2,2,,,L3287,
297.4742,0.0005,297.4740,33616.36,,,,0.000,33616.38,4p6.5s,2S,1/2,4p6.41p,2P*,3/2,2,4,,,L3287,
297.4742,0.0005,297.4740,33616.36,,,,0.000,33616.38,4p6.5s,2S,1/2,4p6.41p,2P*,1/2,2,2,,,L3287,
297.5100,0.0005,297.5098,33612.31,,,,0.000,33612.34,4p6.5s,2S,1/2,4p6.40p,2P*,1/2,2,2,,,L3287,
297.5100,0.0005,297.5098,33612.31,,,,0.000,33612.34,4p6.5s,2S,1/2,4p6.40p,2P*,3/2,2,4,,,L3287,
297.5488,0.0005,297.5486,33607.93,,,,0.000,33607.96,4p6.5s,2S,1/2,4p6.39p,2P*,1/2,2,2,,,L3287,
297.5488,0.0005,297.5486,33607.93,,,,0.000,33607.96,4p6.5s,2S,1/2,4p6.39p,2P*,3/2,2,4,,,L3287,
297.5914,0.0005,297.5912,33603.12,,,,0.000,33603.14,4p6.5s,2S,1/2,4p6.38p,2P*,3/2,2,4,,,L3287,
297.5914,0.0005,297.5912,33603.12,,,,0.000,33603.14,4p6.5s,2S,1/2,4p6.38p,2P*,1/2,2,2,,,L3287,
297.6374,0.0005,297.6371,33597.93,,,,0.000,33597.96,4p6.5s,2S,1/2,4p6.37p,2P*,3/2,2,4,,,L3287,
297.6374,0.0005,297.6371,33597.93,,,,0.000,33597.96,4p6.5s,2S,1/2,4p6.37p,2P*,1/2,2,2,,,L3287,
