obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
213.772,213.77092,0.00010,46778.7,50r,,,18464.202,65243.250,5p3,2P*,3/2,5p2.(1D).5d,2D,5/2,4,6,,,L7406,
214.036,214.03726,0.00010,46721.0,100r,1.74e+08,,8512.125,55232.963,5p3,2D*,3/2,5p2.(1D).6s,2D,3/2,4,4,,T3880,L7406,
214.250,214.25152,0.00010,46674.3,50r,,,9854.018,56528.132,5p3,2D*,5/2,5p2.(3P).5d,4F,7/2,6,8,,,L7406,
214.554,214.55168,0.00010,46608.4,100r,,,8512.125,55120.943,5p3,2D*,3/2,5p2.(3P).5d,4F,5/2,4,6,,,L7406,
215.959,215.95953,0.00010,46305.1,50,,,18464.202,64769.175,5p3,2P*,3/2,5p2.(3P).6d,4D,1/2,4,2,,,L7406,
217.649,217.64993,0.00010,45945.5,1500r,1.75e+08,,0.000,45945.340,5p3,4S*,3/2,5p2.(3P).6s,4P,3/2,4,4,,T3880,L7406,
217.987,217.98723,0.00010,45874.2,250r,2.39e+08,,9854.018,55728.264,5p3,2D*,5/2,5p2.(1D).6s,2D,5/2,6,6,,T3880,L7406,
220.201,220.19962,0.00010,45413.1,200r,,,16395.359,61808.698,5p3,2P*,1/2,5p2.(3P).5d,2D,3/2,2,4,,,L7406,
220.914,220.91185,0.00010,45266.5,300r,,,9854.018,55120.943,5p3,2D*,5/2,5p2.(3P).5d,4F,5/2,6,6,,,L7406,
222.142,222.14407,0.00010,45016.2,150r,,,8512.125,53527.956,5p3,2D*,3/2,5p2.(3P).5d,4F,3/2,4,4,,,L7406,
222.267,222.26593,0.00010,44990.9,100,,,16395.359,61386.509,5p3,2P*,1/2,5p2.(3P).7s,2P,1/2,2,2,,,L7406,
222.562,222.56427,0.00010,44931.3,120r,,,8512.125,53442.967,5p3,2D*,3/2,5p2.(3P).5d,4P,5/2,4,6,,,L7406,
226.321,226.31838,0.00010,44185.0,300r,,,16395.359,60580.899,5p3,2P*,1/2,5p2.(3P).6d,2D,3/2,2,4,,,L7406,
228.969,228.96951,0.00010,43674.1,120,,,9854.018,53527.956,5p3,2D*,5/2,5p2.(3P).5d,4F,3/2,6,4,,,L7406,
229.415,229.41595,0.00010,43589.2,150r,,,9854.018,53442.967,5p3,2D*,5/2,5p2.(3P).5d,4P,5/2,6,6,,,L7406,
230.717,230.70980,0.00010,43343.1,300r*,,,18464.202,61808.698,5p3,2P*,3/2,5p2.(3P).5d,2D,3/2,4,4,,,L7406,
230.717,230.72167,0.00010,43343.1,300r*,,,16395.359,59737.625,5p3,2P*,1/2,5p2.(3P).5d,2P,1/2,2,2,,,L7406,
231.218,231.21742,0.00010,43249.2,2500r,1.69e+08,,0.000,43249.337,5p3,4S*,3/2,5p2.(3P).6s,4P,1/2,4,2,,T3880,L7406,
231.660,231.65918,0.00010,43166.7,150,,,18464.202,61631.065,5p3,2P*,3/2,5p2.(3P).5d,2D,5/2,4,6,,,L7406,
237.439,237.43552,0.00010,42116.0,400w,,,18464.202,60580.899,5p3,2P*,3/2,5p2.(3P).6d,2D,3/2,4,4,,,L7406,
238.437,238.43431,0.00010,41939.9,300w,,,18464.202,60404.475,5p3,2P*,3/2,5p2.(3P).5d,,5/2,4,6,,,L7406,
239.595,239.59386,0.00010,41737.1,100,,,16395.359,58132.656,5p3,2P*,1/2,5p2.(3P).7s,4P,1/2,2,2,,,L7406,
242.287,242.28666,0.00010,41273.4,150,,,18464.202,59737.625,5p3,2P*,3/2,5p2.(3P).5d,2P,1/2,4,2,,,L7406,
242.709,242.70758,0.00010,41201.7,250,,,16395.359,57597.203,5p3,2P*,1/2,5p2.(3P).5d,4D,1/2,2,2,,,L7406,
244.625,244.62433,0.00010,40878.9,400r,,,8512.125,49391.133,5p3,2D*,3/2,5p2.(3P).6s,2P,3/2,4,4,,,L7406,
247.907,247.90641,0.00010,40337.7,400,,,16395.359,56733.162,5p3,2P*,1/2,5p2.(3P).5d,2P,3/2,2,4,,,L7406,
248.119,248.11895,0.00010,40303.3,150,,,16395.359,56698.608,5p3,2P*,1/2,5p2.(3P).5d,4P,1/2,2,2,,,L7406,
251.130,251.12820,0.00010,39820.1,100,,,8512.125,48332.424,5p3,2D*,3/2,5p2.(3P).6s,4P,5/2,4,6,,,L7406,
252.928,252.92690,0.00010,39536.9,2000r,1.77e+08,,9854.018,49391.133,5p3,2D*,5/2,5p2.(3P).6s,2P,3/2,6,4,,T3880,L7406,
257.483,257.48241,0.00010,38837.5,150,,,16395.359,55232.963,5p3,2P*,1/2,5p2.(1D).6s,2D,3/2,2,4,,,L7406,
259.883,259.88247,0.00010,38478.9,1500r,2.10e+07,,8512.125,46991.058,5p3,2D*,3/2,5p2.(3P).6s,2P,1/2,4,2,,T3880,L7406,
259.887,259.88603,0.00010,38478.3,500r,,,9854.018,48332.424,5p3,2D*,5/2,5p2.(3P).6s,4P,5/2,6,6,,,L7406,
261.309,261.30838,0.00010,38268.9,300r,,,18464.202,56733.162,5p3,2P*,3/2,5p2.(3P).5d,2P,3/2,4,4,,,L7406,
265.339,265.33926,0.00010,37687.6,200r,,,18464.202,56151.802,5p3,2P*,3/2,5p2.(3P).5d,4P,3/2,4,4,,,L7406,
267.143,267.14243,0.00010,37433.1,300r,,,8512.125,45945.340,5p3,2D*,3/2,5p2.(3P).6s,4P,3/2,4,4,,,L7406,
268.356,268.35507,0.00010,37264.0,200r,,,18464.202,55728.264,5p3,2P*,3/2,5p2.(1D).6s,2D,5/2,4,6,,,L7406,
269.305,269.30516,0.00010,37132.6,120,,,16395.359,53527.956,5p3,2P*,1/2,5p2.(3P).5d,4F,3/2,2,4,,,L7406,
271.971,271.97000,0.00010,36768.7,150r,,,18464.202,55232.963,5p3,2P*,3/2,5p2.(1D).6s,2D,3/2,4,4,,,L7406,
277.077,277.07492,0.00010,36091.1,400r,,,9854.018,45945.340,5p3,2D*,5/2,5p2.(3P).6s,4P,3/2,6,4,,,L7406,
