obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
159.445,0.002,159.4434,0.0016,62717.6,"g,a*",,,168.3371,62886.5,3d.4s2,2D,5/2,4s2.8f,2F*,5/2,6,6,,,L2110,
159.445,0.002,159.445,0.003,62717.6,"g,a*",,,168.3371,62885.9,3d.4s2,2D,5/2,4s2.8f,2F*,7/2,6,8,,,L2110,
160.402,0.002,160.4011,0.0016,62343.4,"g,a",,,0.0000,62343.7,3d.4s2,2D,3/2,4s2.7f,2F*,5/2,4,6,,,L2110,
160.834,0.002,160.834,0.003,62175.9,"g,a*",,,168.3371,62344.2,3d.4s2,2D,5/2,4s2.7f,2F*,7/2,6,8,,,L2110,
160.834,0.002,160.8354,0.0016,62175.9,"g,a*",,,168.3371,62343.7,3d.4s2,2D,5/2,4s2.7f,2F*,5/2,6,6,,,L2110,
162.608,0.002,162.6072,0.0016,61497.6,"g,a",,,0.0000,61497.9,3d.4s2,2D,3/2,4s2.6f,2F*,5/2,4,6,,,L2110,
163.052,0.002,163.052,0.003,61330.1,"g,a*",,,168.3371,61498.5,3d.4s2,2D,5/2,4s2.6f,2F*,7/2,6,8,,,L2110,
163.052,0.002,163.0535,0.0016,61330.1,"g,a*",,,168.3371,61497.9,3d.4s2,2D,5/2,4s2.6f,2F*,5/2,6,6,,,L2110,
166.416,0.002,166.4159,0.0016,60090.4,"g,a",,,0.0000,60090.4,3d.4s2,2D,3/2,4s2.5f,2F*,5/2,4,6,,,L2110,
166.883,0.002,166.883,0.003,59922.2,"g,a*",,,168.3371,60090.6,3d.4s2,2D,5/2,4s2.5f,2F*,7/2,6,8,,,L2110,
166.883,0.002,166.8834,0.0016,59922.2,"g,a*",,,168.3371,60090.4,3d.4s2,2D,5/2,4s2.5f,2F*,5/2,6,6,,,L2110,
173.6083,0.0004,173.6086,0.0003,57600.93,"g,a",,,0.0000,57600.83,3d.4s2,2D,3/2,,,3/2 or 5/2,4,6,,,L2110,
173.6661,0.0004,173.6659,0.0003,57581.76,"g,a",,,0.0000,57581.83,3d.4s2,2D,3/2,,,3/2 or 5/2,4,6,,,L2110,
173.6811,0.0004,173.6805,0.0003,57576.79,"g,a",,,0.0000,57576.98,3d.4s2,2D,3/2,,,3/2 or 5/2,4,6,,,L2110,
173.901,0.002,173.9012,0.0014,57504.0,"g,a",,,0.0000,57503.9,3d.4s2,2D,3/2,4s2.4f,2F*,5/2,4,6,,,L2110,
173.9786,0.0004,173.9780,0.0003,57478.33,"g,a",,,0.0000,57478.54,3d.4s2,2D,3/2,,,3/2 or 5/2,4,6,,,L2110,
173.9992,0.0004,,,57471.53,a,,,,,,,,,,,1,1,,,L2110,
174.0515,0.0004,174.0516,0.0003,57454.26,"g,a",,,0.0000,57454.24,3d.4s2,2D,3/2,,,3/2 or 5/2,4,6,,,L2110,
174.1178,0.0004,174.1175,0.0003,57432.38,"g,a",,,168.3371,57600.83,3d.4s2,2D,5/2,,,3/2 or 5/2,6,6,,,L2110,
174.1391,0.0004,174.1391,0.0003,57425.36,"g,a",,,0.0000,57425.35,3d.4s2,2D,3/2,,,3/2 or 5/2,4,6,,,L2110,
174.1749,0.0004,174.1751,0.0003,57413.55,"g,a",,,168.3371,57581.83,3d.4s2,2D,5/2,,,3/2 or 5/2,6,6,,,L2110,
